ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2003,2003-12-14,14,24.309,WAS,,DAL,L 0-27,,0,,,,,0.0%,,,,,,,,,
2,2003,2003-12-21,15,24.316,WAS,@,CHI,L 24-27,,0,,,,,0.0%,,,,,,,,,
3,2003,2003-12-27,16,24.322,WAS,,PHI,L 7-31,,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
4,2004,2004-10-03,4,25.238,CIN,@,PIT,L 17-28,*,1,0,0,,0,0.0%,0.00,1,13,13.00,0,2,42,21.00,0
5,2004,2004-10-17,5,25.252,CIN,@,CLE,L 17-34,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,3,79,26.33,0
6,2004,2004-10-25,6,25.260,CIN,,DEN,W 23-10,,0,0,0,,0,0.0%,,1,-8,-8.00,0,2,39,19.50,0
7,2004,2004-10-31,7,25.266,CIN,@,TEN,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,4,87,21.75,0
8,2004,2004-11-07,8,25.273,CIN,,DAL,W 26-3,,1,0,0,,0,0.0%,0.00,1,10,10.00,0,2,37,18.50,0
9,2004,2004-11-14,9,25.280,CIN,@,WAS,W 17-10,,0,,,,,0.0%,,,,,,,,,
10,2004,2004-11-21,10,25.287,CIN,,PIT,L 14-19,,0,0,0,,0,0.0%,,0,0,,0,2,41,20.50,0
11,2004,2004-11-28,11,25.294,CIN,,CLE,W 58-48,,0,0,0,,0,0.0%,,0,0,,0,5,114,22.80,0
12,2004,2004-12-05,12,25.301,CIN,@,BAL,W 27-26,,0,0,0,,0,0.0%,,0,0,,0,7,148,21.14,0
13,2004,2004-12-12,13,25.308,CIN,@,NWE,L 28-35,,0,0,0,,0,0.0%,,0,0,,0,4,94,23.50,0
14,2004,2004-12-19,14,25.315,CIN,,BUF,L 17-33,,0,0,0,,0,0.0%,,0,0,,0,3,56,18.67,0
15,2004,2004-12-26,15,25.322,CIN,,NYG,W 23-22,,0,0,0,,0,0.0%,,0,0,,0,4,113,28.25,0
16,2004,2005-01-02,16,25.329,CIN,@,PHI,W 38-10,,0,0,0,,0,0.0%,,0,0,,0,1,22,22.00,0
17,2005,2005-12-04,12,26.299,MIA,,BUF,W 24-23,,,,,,,0.0%,,,,,,,,,
18,2005,2005-12-11,13,26.306,MIA,@,SDG,W 23-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
19,2006,2006-09-07,1,27.211,MIA,@,PIT,L 17-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
20,2006,2006-09-17,2,27.221,MIA,,BUF,L 6-16,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
21,2006,2006-10-15,6,27.249,MIA,@,NYJ,L 17-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
22,2008,2008-09-21,3,29.226,DEN,,NOR,W 34-32,,1,,,,,0.0%,,,,,,,,,
23,2008,2008-09-28,4,29.233,DEN,@,KAN,L 19-33,,1,0,0,,0,0.0%,0.00,0,0,,0,2,44,22.00,0
