ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-10-25,7,25.072,OAK,,CIN,W 27-10,,1,,,,,0.0%,,,,,,,,,
2,1998,1998-11-01,8,25.079,OAK,@,SEA,W 31-18,,,,,,,0.0%,,,,,,,,,
3,1998,1998-11-15,10,25.093,OAK,,SEA,W 20-17,,1,,,,,0.0%,,,,,,,,,
4,1998,1998-11-22,11,25.100,OAK,@,DEN,L 14-40,,,,,,,0.0%,,,,,,,,,
5,1998,1998-11-29,12,25.107,OAK,,WAS,L 19-29,,,,,,,0.0%,,,,,,,,,
6,1998,1998-12-06,13,25.114,OAK,,MIA,L 17-27,,,,,,,0.0%,,,,,,,,,
7,1998,1998-12-13,14,25.121,OAK,@,BUF,L 21-44,,,,,,,0.0%,,,,,,,,,
8,1998,1998-12-20,15,25.128,OAK,@,SDG,W 17-10,,,,,,,0.0%,,,,,,,,,
9,1998,1998-12-26,16,25.134,OAK,,KAN,L 24-31,,,,,,,0.0%,,,,,,,,,
10,1999,1999-09-12,1,26.029,OAK,@,GNB,L 24-28,,0,,,,,0.0%,,,,,,,,,
11,1999,1999-09-19,2,26.036,OAK,@,MIN,W 22-17,,0,,,,,0.0%,,,,,,,,,
12,1999,1999-09-26,3,26.043,OAK,,CHI,W 24-17,,,,,,,0.0%,,,,,,,,,
13,1999,1999-10-03,4,26.050,OAK,@,SEA,L 21-22,,,,,,,0.0%,,,,,,,,,
14,1999,1999-10-10,5,26.057,OAK,,DEN,L 13-16,,0,,,,,0.0%,,,,,,,,,
15,1999,1999-10-24,7,26.071,OAK,,NYJ,W 24-23,,1,,,,,0.0%,,,,,,,,,
16,1999,1999-10-31,8,26.078,OAK,,MIA,L 9-16,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0
17,1999,1999-11-14,9,26.092,OAK,,SDG,W 28-9,,0,,,,,0.0%,,,,,,,,,
18,1999,1999-11-22,10,26.100,OAK,@,DEN,L 21-27,,0,,,,,0.0%,,,,,,,,,
19,1999,1999-11-28,11,26.106,OAK,,KAN,L 34-37,,0,,,,,0.0%,,,,,,,,,
20,1999,1999-12-05,12,26.113,OAK,,SEA,W 30-21,,,,,,,0.0%,,,,,,,,,
21,1999,1999-12-09,13,26.117,OAK,@,TEN,L 14-21,,0,,,,,0.0%,,,,,,,,,
22,1999,1999-12-19,14,26.127,OAK,,TAM,W 45-0,,0,,,,,0.0%,,,,,,,,,
23,1999,1999-12-26,15,26.134,OAK,@,SDG,L 20-23,,0,,,,,0.0%,,,,,,,,,
24,1999,2000-01-02,16,26.141,OAK,@,KAN,W 41-38,,,,,,,0.0%,,,,,,,,,
25,2000,2000-11-12,10,27.090,JAX,,SEA,L 21-28,,,,,,,0.0%,,,,,,,,,
26,2000,2000-11-19,11,27.097,JAX,@,PIT,W 34-24,,,,,,,0.0%,,,,,,,,,
27,2000,2000-11-26,12,27.104,JAX,,TEN,W 16-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
28,2000,2000-12-03,13,27.111,JAX,,CLE,W 48-0,,0,,,,,0.0%,,,,,,,,,
29,2000,2000-12-10,14,27.118,JAX,,ARI,W 44-10,,0,0,0,,0,0.0%,,2,8,4.00,0,0,0,,0
30,2000,2000-12-17,15,27.125,JAX,@,CIN,L 14-17,,,,,,,0.0%,,,,,,,,,
31,2000,2000-12-23,16,27.131,JAX,@,NYG,L 25-28,,0,0,0,,0,0.0%,,0,0,,0,2,50,25.00,0
32,2001,2001-09-09,1,28.026,KAN,,OAK,L 24-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
33,2001,2001-09-23,2,28.040,KAN,,NYG,L 3-13,,,,,,,0.0%,,,,,,,,,
34,2001,2001-09-30,3,28.047,KAN,@,WAS,W 45-13,,,,,,,0.0%,,,,,,,,,
35,2001,2001-10-07,4,28.054,KAN,@,DEN,L 6-20,*,0,,,,,0.0%,,,,,,,,,
36,2001,2001-10-14,5,28.061,KAN,,PIT,L 17-20,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0
37,2001,2001-10-21,6,28.068,KAN,@,ARI,L 16-24,,0,,,,,0.0%,,,,,,,,,
38,2001,2001-10-25,7,28.072,KAN,,IND,L 28-35,,,,,,,0.0%,,,,,,,,,
39,2001,2001-11-04,8,28.082,KAN,@,SDG,W 25-20,,,,,,,0.0%,,,,,,,,,
40,2001,2001-11-11,9,28.089,KAN,@,NYJ,L 7-27,,,,,,,0.0%,,,,,,,,,
41,2001,2001-11-25,10,28.103,KAN,,SEA,W 19-7,,,,,,,0.0%,,,,,,,,,
42,2001,2001-11-29,11,28.107,KAN,,PHI,L 10-23,,0,,,,,0.0%,,,,,,,,,
43,2001,2001-12-09,12,28.117,OAK,,KAN,W 28-26,,0,,,,,0.0%,,,,,,,,,
