ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2005,2005-10-02,4,24.083,SFO,@,ARI,L 14-31,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
2,2005,2005-10-09,5,24.090,SFO,,IND,L 3-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2005,2005-10-23,6,24.104,SFO,@,WAS,L 17-52,,1,-7,-7.00,0,2,1,-1,-1.00,0,50.0%,-0.50,1,20,20.00,0,2,12,6.00,0
4,2005,2005-10-30,7,24.111,SFO,,TAM,W 15-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,18,4.50,0
5,2005,2005-11-06,8,24.118,SFO,,NYG,L 6-24,,0,0,,0,0,0,0,,0,0.0%,,4,81,20.25,0,3,30,10.00,0
6,2005,2005-11-13,9,24.125,SFO,@,CHI,L 9-17,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,2,0,0.00,0
7,2005,2005-11-20,10,24.132,SFO,,SEA,L 25-27,,0,0,,0,0,0,0,,0,0.0%,,6,125,20.83,0,2,12,6.00,0
8,2005,2005-11-27,11,24.139,SFO,@,TEN,L 22-33,,0,0,,0,1,0,0,,0,0.0%,0.00,6,106,17.67,0,0,0,,0
9,2005,2005-12-04,12,24.146,SFO,,ARI,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,5,76,15.20,0,1,1,1.00,0
10,2005,2005-12-11,13,24.153,SFO,@,SEA,L 3-41,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
11,2005,2005-12-18,14,24.160,SFO,@,JAX,L 9-10,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,2,1,0.50,0
12,2005,2005-12-24,15,24.166,SFO,@,STL,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,3,64,21.33,0,1,13,13.00,0
