ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2017,2017-09-11,1,22.330,DEN,,LAC,W 24-21,,0,0,,0,0,0,,0,0.0,0,0
2,2017,2017-10-01,4,22.350,DEN,,OAK,W 16-10,,0,0,,0,0,0,,0,0.0,0,0
3,2017,2017-10-15,5,22.364,DEN,,NYG,L 10-23,,2,75,37.50,0,1,6,6.00,0,0.0,0,0
4,2017,2017-10-22,6,23.006,DEN,@,LAC,L 0-21,,3,93,31.00,0,0,0,,0,0.0,0,0
5,2017,2017-10-30,7,23.014,DEN,@,KAN,L 19-29,,0,0,,0,0,0,,0,0.0,0,0
6,2017,2017-11-05,8,23.020,DEN,@,PHI,L 23-51,,0,0,,0,0,0,,0,0.0,0,0
7,2017,2017-11-12,9,23.027,DEN,,NWE,L 16-41,,0,0,,0,0,0,,0,0.0,0,0
8,2017,2017-11-19,10,23.034,DEN,,CIN,L 17-20,,0,0,,0,0,0,,0,0.0,0,0
9,2017,2017-11-26,11,23.041,DEN,@,OAK,L 14-21,,0,0,,0,0,0,,0,0.0,1,0
10,2017,2017-12-03,12,23.048,DEN,@,MIA,L 9-35,,1,15,15.00,0,0,0,,0,0.0,0,0
11,2017,2017-12-31,16,23.076,DEN,,KAN,L 24-27,,0,0,,0,0,0,,0,0.0,1,0
