ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2011-01-02,16,23.094,MIN,@,DET,L 13-20,,,,,,,,,,,,,,,,,
2,2011,2011-09-11,1,23.346,MIN,@,SDG,L 17-24,,0,0,,0,2,17,8.50,0,0,0,0.0,0,0,0,0,0
3,2011,2011-09-18,2,23.353,MIN,,TAM,L 20-24,,0,0,,0,2,3,1.50,0,0,0,0.0,0,0,0,0,0
4,2011,2011-09-25,3,23.360,MIN,,DET,L 23-26,,0,0,,0,4,90,22.50,0,0,0,0.0,0,0,0,0,0
5,2011,2011-10-02,4,24.002,MIN,@,KAN,L 17-22,,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0,0,0
6,2011,2011-10-09,5,24.009,MIN,,ARI,W 34-10,*,0,0,,0,2,45,22.50,0,0,0,0.0,0,0,0,0,0
7,2011,2011-10-16,6,24.016,MIN,@,CHI,L 10-39,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0
8,2011,2011-10-23,7,24.023,MIN,,GNB,L 27-33,,0,0,,0,2,12,6.00,0,0,0,1.0,4,1,0,0,0
9,2011,2011-10-30,8,24.030,MIN,@,CAR,W 24-21,,1,78,78.00,0,3,2,0.67,0,0,0,0.0,2,0,0,0,0
10,2011,2011-11-14,9,24.045,MIN,@,GNB,L 7-45,,0,0,,0,2,13,6.50,0,0,0,0.0,0,0,0,0,0
11,2011,2011-11-20,10,24.051,MIN,,OAK,L 21-27,,1,35,35.00,0,5,38,7.60,0,0,0,0.0,0,0,0,0,0
12,2011,2011-11-27,11,24.058,MIN,@,ATL,L 14-24,,2,49,24.50,0,3,5,1.67,0,0,0,0.0,3,0,0,0,0
13,2011,2011-12-04,12,24.065,MIN,,DEN,L 32-35,,5,111,22.20,0,3,14,4.67,0,0,0,0.0,0,0,0,0,0
14,2011,2011-12-11,13,24.072,MIN,@,DET,L 28-34,,1,16,16.00,0,2,22,11.00,0,0,0,0.0,2,2,0,0,0
15,2011,2011-12-18,14,24.079,MIN,,NOR,L 20-42,*,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
16,2011,2011-12-24,15,24.085,MIN,@,WAS,W 33-26,*,4,98,24.50,0,1,4,4.00,0,0,0,0.0,2,2,0,0,0
17,2011,2012-01-01,16,24.093,MIN,,CHI,L 13-17,,2,58,29.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
18,2012,2012-09-09,1,24.345,MIN,,JAX,W 26-23,,0,0,,0,2,22,11.00,0,0,0,0.0,0,0,0,0,0
19,2012,2012-09-16,2,24.352,MIN,@,IND,L 20-23,,1,23,23.00,0,5,51,10.20,0,0,0,0.0,0,1,0,0,0
20,2012,2012-09-23,3,24.359,MIN,,SFO,W 24-13,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
21,2012,2012-09-30,4,25.000,MIN,@,DET,W 20-13,,0,0,,0,1,77,77.00,1,0,6,0.0,0,0,0,0,0
22,2012,2012-10-07,5,25.007,MIN,,TEN,W 30-7,,0,0,,0,2,-1,-0.50,0,0,0,0.0,0,0,0,0,0
23,2012,2012-10-14,6,25.014,MIN,@,WAS,L 26-38,,0,0,,0,1,-2,-2.00,0,0,0,0.0,0,0,0,0,0
