ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1987,1987-09-13,1,22.280,GNB,,RAI,L 0-20,0,0,,0,,
2,1987,1987-09-20,2,22.287,GNB,,DEN,T 17-17,0,0,,0,,
3,1987,1987-10-25,6,22.322,GNB,@,DET,W 34-33,1,6,6.00,0,0,0
4,1987,1987-11-01,7,22.329,GNB,,TAM,L 17-23,1,33,33.00,0,0,0
5,1987,1987-11-08,8,22.336,GNB,,CHI,L 24-26,0,0,,0,,
6,1987,1987-11-15,9,22.343,GNB,@,SEA,L 13-24,1,47,47.00,1,1,6
7,1987,1987-11-22,10,22.350,GNB,@,KAN,W 23-3,1,41,41.00,0,0,0
8,1987,1987-11-29,11,22.357,GNB,@,CHI,L 10-23,0,0,,0,,
9,1987,1987-12-06,12,22.364,GNB,,SFO,L 12-23,3,23,7.67,0,0,0
10,1987,1987-12-13,13,23.006,GNB,,MIN,W 16-10,0,0,,0,,
11,1987,1987-12-19,14,23.012,GNB,@,NYG,L 10-20,5,38,7.60,0,0,0
12,1987,1987-12-27,15,23.020,GNB,@,NOR,L 24-33,0,0,,0,,
