ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2013,2013-10-20,7,22.212,TEN,,SFO,L 17-31,*,,,,,,0.0%,,,,
2,2013,2013-11-03,8,22.226,TEN,@,STL,W 28-21,*,,,,,,0.0%,,,,
3,2013,2013-11-10,9,22.233,TEN,,JAX,L 27-29,*,,0,0,,0,0.0%,,0.0,1,0
4,2013,2013-11-24,11,22.247,TEN,@,OAK,W 23-19,*,,,,,,0.0%,,,,
5,2013,2013-12-01,12,22.254,TEN,@,IND,L 14-22,*,,0,0,,0,0.0%,,0.0,1,0
6,2013,2013-12-08,13,22.261,TEN,@,DEN,L 28-51,*,,,,,,0.0%,,,,
7,2013,2013-12-15,14,22.268,TEN,,ARI,L 34-37,*,,0,0,,0,0.0%,,0.0,0,0
8,2013,2013-12-22,15,22.275,TEN,@,JAX,W 20-16,*,,,,,,0.0%,,,,
9,2013,2013-12-29,16,22.282,TEN,,HOU,W 16-10,*,,,,,,0.0%,,,,
10,2014,2014-09-07,1,23.169,TEN,@,KAN,W 26-10,*,,,,,,0.0%,,,,
11,2014,2014-09-14,2,23.176,TEN,,DAL,L 10-26,*,,,,,,0.0%,,,,
12,2014,2014-09-21,3,23.183,TEN,@,CIN,L 7-33,*,,,,,,0.0%,,,,
13,2014,2014-09-28,4,23.190,TEN,@,IND,L 17-41,*,0,0,0,,0,0.0%,,0.0,1,0
14,2014,2014-10-05,5,23.197,TEN,,CLE,L 28-29,*,,,,,,0.0%,,,,
15,2014,2014-10-12,6,23.204,TEN,,JAX,W 16-14,*,,,,,,0.0%,,,,
16,2014,2014-10-19,7,23.211,TEN,@,WAS,L 17-19,*,0,,,,,0.0%,,,,
17,2014,2014-10-26,8,23.218,TEN,,HOU,L 16-30,*,,0,0,,0,0.0%,,0.0,1,0
18,2014,2014-11-09,9,23.232,TEN,@,BAL,L 7-21,*,,,,,,0.0%,,,,
19,2014,2014-11-17,10,23.240,TEN,,PIT,L 24-27,*,,,,,,0.0%,,,,
20,2014,2014-11-23,11,23.246,TEN,@,PHI,L 24-43,*,1,1,6,6.00,0,100.0%,6.00,0.0,1,0
21,2015,2015-09-13,1,24.175,TEN,@,TAM,W 42-14,*,0,0,0,,0,0.0%,,0.0,0,0
22,2015,2015-09-20,2,24.182,TEN,@,CLE,L 14-28,*,0,0,0,,0,0.0%,,0.0,0,0
23,2015,2015-09-27,3,24.189,TEN,,IND,L 33-35,*,0,0,0,,0,0.0%,,0.0,0,0
24,2015,2015-10-11,4,24.203,TEN,,BUF,L 13-14,*,0,0,0,,0,0.0%,,0.0,0,0
25,2015,2015-10-18,5,24.210,TEN,,MIA,L 10-38,*,0,0,0,,0,0.0%,,0.0,0,0
26,2016,2016-09-11,1,25.173,TEN,,MIN,L 16-25,,0,0,0,,0,0.0%,,0.0,0,0
27,2016,2016-09-18,2,25.180,TEN,@,DET,W 16-15,,0,0,0,,0,0.0%,,0.0,0,0
28,2016,2016-09-25,3,25.187,TEN,,OAK,L 10-17,,0,0,0,,0,0.0%,,0.0,0,0
29,2016,2016-10-02,4,25.194,TEN,@,HOU,L 20-27,,0,0,0,,0,0.0%,,0.0,0,0
30,2016,2016-10-09,5,25.201,TEN,@,MIA,W 30-17,,0,0,0,,0,0.0%,,0.0,0,0
31,2016,2016-10-16,6,25.208,TEN,,CLE,W 28-26,,0,0,0,,0,0.0%,,0.0,0,0
32,2016,2016-10-23,7,25.215,TEN,,IND,L 26-34,,0,0,0,,0,0.0%,,0.0,0,0
33,2016,2016-10-27,8,25.219,TEN,,JAX,W 36-22,*,0,0,0,,0,0.0%,,0.0,0,0
34,2016,2016-11-06,9,25.229,TEN,@,SDG,L 35-43,*,0,0,0,,0,0.0%,,0.0,0,0
35,2016,2016-11-13,10,25.236,TEN,,GNB,W 47-25,*,0,0,0,,0,0.0%,,0.0,0,0
36,2016,2016-11-20,11,25.243,TEN,@,IND,L 17-24,,0,0,0,,0,0.0%,,0.0,0,0
37,2016,2016-11-27,12,25.250,TEN,@,CHI,W 27-21,,0,0,0,,0,0.0%,,0.0,0,0
38,2016,2016-12-11,13,25.264,TEN,,DEN,W 13-10,,0,0,0,,0,0.0%,,0.0,0,0
39,2016,2016-12-18,14,25.271,TEN,@,KAN,W 19-17,,0,0,0,,0,0.0%,,0.0,0,0
40,2016,2016-12-24,15,25.277,TEN,@,JAX,L 17-38,,0,0,0,,0,0.0%,,0.0,0,0
41,2016,2017-01-01,16,25.285,TEN,,HOU,W 24-17,,0,0,0,,0,0.0%,,0.0,0,0
42,2017,2017-09-10,1,26.172,TEN,,OAK,L 16-26,,0,0,0,,0,0.0%,,0.0,0,0
43,2017,2017-09-17,2,26.179,TEN,@,JAX,W 37-16,,0,0,0,,0,0.0%,,0.0,0,0
44,2017,2017-09-24,3,26.186,TEN,,SEA,W 33-27,,0,0,0,,0,0.0%,,0.0,0,0
45,2017,2017-10-01,4,26.193,TEN,@,HOU,L 14-57,,0,0,0,,0,0.0%,,0.0,0,0
46,2017,2017-10-08,5,26.200,TEN,@,MIA,L 10-16,,0,0,0,,0,0.0%,,0.0,0,0
47,2017,2017-10-16,6,26.208,TEN,,IND,W 36-22,,0,0,0,,0,0.0%,,0.0,0,0
48,2017,2017-10-22,7,26.214,TEN,@,CLE,W 12-9,,0,0,0,,0,0.0%,,0.0,0,0
