ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-09-11,1,23.121,MIN,,NOR,W 29-19,,0,0,,0,0,0,,0
2,2017,2017-10-15,6,23.155,MIN,,GNB,W 23-10,,1,19,19.00,0,0,0,,0
3,2017,2017-10-22,7,23.162,MIN,,BAL,W 24-16,,0,0,,0,0,0,,0
4,2017,2017-10-29,8,23.169,MIN,@,CLE,W 33-16,,0,0,,0,0,0,,0
5,2018,2018-09-09,1,24.119,MIN,,SFO,W 24-16,,0,0,,0,0,0,,0
6,2018,2018-09-16,2,24.126,MIN,@,GNB,T 29-29,,0,0,,0,0,0,,0
7,2018,2018-09-23,3,24.133,NYG,@,HOU,W 27-22,,2,27,13.50,0,2,6,3.00,0
