ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-12-28,16,22.364,BAL,,JAX,W 27-7,,2,27,13.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
2,2009,2009-09-20,2,23.264,BAL,@,SDG,W 31-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
3,2009,2009-11-29,11,23.334,BAL,,PIT,W 20-17,,,,,,,,,,,0.0%,,,,,,,,
4,2009,2009-12-07,12,23.342,BAL,@,GNB,L 14-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
5,2009,2009-12-13,13,23.348,BAL,,DET,W 48-3,,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
6,2009,2009-12-20,14,23.355,BAL,,CHI,W 31-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2009,2009-12-27,15,23.362,BAL,@,PIT,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,5,145,29.00,0,0.0,0,0
8,2009,2010-01-03,16,24.004,BAL,@,OAK,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,4,138,34.50,0,0.0,0,0
9,2010,2010-09-13,1,24.257,BAL,@,NYJ,W 10-9,,0,0,,0,0,0,0,,0,0.0%,,3,57,19.00,0,0.0,0,0
10,2010,2010-09-19,2,24.263,BAL,@,CIN,L 10-15,,0,0,,0,0,0,0,,0,0.0%,,3,92,30.67,0,0.0,0,0
11,2010,2010-09-26,3,24.270,BAL,,CLE,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,4,85,21.25,0,0.0,0,0
12,2010,2010-10-03,4,24.277,BAL,@,PIT,W 17-14,,0,0,,0,0,0,0,,0,0.0%,,2,42,21.00,0,0.0,0,0
13,2010,2010-10-10,5,24.284,BAL,,DEN,W 31-17,,,,,,,,,,,0.0%,,,,,,,,
14,2010,2010-10-17,6,24.291,BAL,@,NWE,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,2,36,18.00,0,0.0,2,0
15,2010,2010-10-24,7,24.298,BAL,,BUF,W 37-34,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,0.0,0,0
16,2010,2010-11-07,8,24.312,BAL,,MIA,W 26-10,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,0.0,0,0
17,2010,2010-11-11,9,24.316,BAL,@,ATL,L 21-26,,,,,,,,,,,0.0%,,,,,,,,
18,2010,2010-11-21,10,24.326,BAL,@,CAR,W 37-13,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,0.0,0,0
19,2010,2010-11-28,11,24.333,BAL,,TAM,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
20,2010,2010-12-05,12,24.340,BAL,,PIT,L 10-13,,,,,,,,,,,0.0%,,,,,,,,
21,2010,2010-12-13,13,24.348,BAL,@,HOU,W 34-28,,,,,,,,,,,0.0%,,,,,,,,
22,2010,2010-12-19,14,24.354,BAL,,NOR,W 30-24,,0,0,,0,0,0,0,,0,0.0%,,3,79,26.33,0,0.0,0,0
23,2010,2010-12-26,15,24.361,BAL,@,CLE,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,0
24,2010,2011-01-02,16,25.003,BAL,,CIN,W 13-7,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0,0.0,0,0
25,2012,2012-09-09,1,26.254,JAX,@,MIN,L 23-26,,1,0,0.00,0,0,0,0,,0,0.0%,,3,63,21.00,0,0.0,0,0
26,2012,2012-09-16,2,26.261,JAX,,HOU,L 7-27,,0,0,,0,0,0,0,,0,0.0%,,3,79,26.33,0,0.0,0,0
27,2012,2012-09-23,3,26.268,JAX,@,IND,W 22-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
28,2012,2012-09-30,4,26.275,JAX,,CIN,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,2,43,21.50,0,0.0,0,0
29,2012,2012-10-07,5,26.282,JAX,,CHI,L 3-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
30,2012,2012-10-21,6,26.296,JAX,@,OAK,L 23-26,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
31,2012,2012-10-28,7,26.303,JAX,@,GNB,L 15-24,,2,3,1.50,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0.0,0,0
32,2012,2012-11-04,8,26.310,JAX,,DET,L 14-31,,5,15,3.00,0,1,1,8,8.00,0,100.0%,8.00,2,48,24.00,0,0.0,0,0
33,2012,2012-11-08,9,26.314,JAX,,IND,L 10-27,,0,0,,0,2,1,26,26.00,0,50.0%,13.00,0,0,,0,0.0,0,0
34,2012,2012-11-18,10,26.324,JAX,@,HOU,L 37-43,*,24,80,3.33,0,3,3,3,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
35,2012,2012-11-25,11,26.331,JAX,,TEN,W 24-19,*,8,45,5.63,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
36,2014,2014-09-21,3,28.265,ARI,,SFO,W 23-14,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
