ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.351,JAX,,KAN,L 2-28,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
2,2013,2013-09-15,2,22.358,JAX,@,OAK,L 9-19,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
3,2013,2013-09-22,3,23.000,JAX,@,SEA,L 17-45,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,54,27.00,0,0,0,0.0,0,0
4,2013,2013-09-29,4,23.007,JAX,,IND,L 3-37,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,0.0,0,0
5,2013,2013-10-06,5,23.014,JAX,@,STL,L 20-34,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
6,2013,2013-10-13,6,23.021,JAX,@,DEN,L 19-35,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
7,2013,2013-10-20,7,23.028,JAX,,SDG,L 6-24,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
8,2013,2013-10-27,8,23.035,JAX,,SFO,L 10-42,,4,15,3.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
9,2013,2013-11-10,9,23.049,JAX,@,TEN,W 29-27,,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
10,2013,2013-11-17,10,23.056,JAX,,ARI,L 14-27,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
11,2013,2013-11-24,11,23.063,JAX,@,HOU,W 13-6,,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0
12,2013,2013-12-01,12,23.070,JAX,@,CLE,W 32-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1
13,2013,2013-12-05,13,23.074,JAX,,HOU,W 27-20,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
14,2013,2013-12-15,14,23.084,JAX,,BUF,L 20-27,,2,28,14.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
15,2013,2013-12-22,15,23.091,JAX,,TEN,L 16-20,,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
16,2013,2013-12-29,16,23.098,JAX,@,IND,L 10-30,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
17,2014,2014-09-07,1,23.350,JAX,@,PHI,L 17-34,,3,8,2.67,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
18,2014,2014-09-14,2,23.357,JAX,@,WAS,L 10-41,,0,0,,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
19,2014,2014-09-21,3,23.364,JAX,,IND,L 17-44,,8,33,4.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
20,2014,2014-09-28,4,24.006,JAX,@,SDG,L 14-33,*,9,25,2.78,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
