ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-12-10,14,24.167,NYJ,@,OAK,L 7-31,,2,5,40.00,67,1,0,127.1,1,4,13.40,17.40,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
2,2001,2001-09-09,1,25.075,NYJ,,IND,L 24-45,,1,6,16.67,24,0,0,43.7,0,0,4.00,4.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
3,2001,2001-10-21,6,25.117,NYJ,,STL,L 14-34,,9,14,64.29,68,1,0,99.7,1,8,4.86,6.29,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
4,2002,2002-09-15,2,26.081,NYJ,,NWE,L 7-44,,3,10,30.00,39,0,0,43.3,2,4,3.90,3.90,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
5,2002,2002-09-22,3,26.088,NYJ,@,MIA,L 3-30,,2,3,66.67,32,0,1,62.5,1,8,10.67,-4.33,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
6,2002,2002-09-29,4,26.095,NYJ,@,JAX,L 3-28,,21,34,61.76,281,0,1,75.7,1,4,8.26,6.94,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
7,2002,2002-10-06,5,26.102,NYJ,,KAN,L 25-29,*,22,29,75.86,237,2,1,108.0,3,25,8.17,8.00,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
8,2002,2002-10-20,6,26.116,NYJ,,MIN,W 20-7,*,24,29,82.76,324,1,0,124.7,2,8,11.17,11.86,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
9,2002,2002-10-27,7,26.123,NYJ,,CLE,L 21-24,*,19,26,73.08,183,2,1,101.9,1,8,7.04,6.85,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
10,2002,2002-11-03,8,26.130,NYJ,@,SDG,W 44-13,*,28,37,75.68,253,1,0,102.6,2,5,6.84,7.38,3,21,7.00,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
