ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-11-14,9,23.235,SFO,,CAR,L 27-37,,,,,,,,,,,,,
2,2004,2004-11-21,10,23.242,SFO,@,TAM,L 3-35,,,,,,,,,,,,,
3,2004,2004-11-28,11,23.249,SFO,,MIA,L 17-24,,0,0,,0,0,0,0.0,,,1,0,0
4,2004,2004-12-05,12,23.256,SFO,@,STL,L 6-16,,,,,,,,,,,,,
5,2004,2004-12-12,13,23.263,SFO,@,ARI,W 31-28,,,,,,,,,,,,,
6,2004,2004-12-18,14,23.269,SFO,,WAS,L 16-26,,,,,,,,,,,,,
7,2004,2004-12-26,15,23.277,SFO,,BUF,L 7-41,,,,,,,,,,,,,
8,2004,2005-01-02,16,23.284,SFO,@,NWE,L 7-21,,,,,,,,,,,,,
9,2005,2005-09-11,1,24.171,SFO,,STL,W 28-25,,0,0,,0,0,0,1.0,,,1,0,0
10,2005,2005-09-18,2,24.178,SFO,@,PHI,L 3-42,,,,,,,,,,,,,
11,2005,2005-09-25,3,24.185,SFO,,DAL,L 31-34,,,,,,,,,,,,,
12,2005,2005-10-02,4,24.192,SFO,@,ARI,L 14-31,*,,,,,,,,,,,,
13,2005,2005-10-09,5,24.199,SFO,,IND,L 3-28,*,,,,,,,,,,,,
14,2005,2005-10-23,6,24.213,SFO,@,WAS,L 17-52,*,,,,,,,,,,,,
15,2005,2005-10-30,7,24.220,SFO,,TAM,W 15-10,*,,,,,,,,,,,,
16,2005,2005-11-06,8,24.227,SFO,,NYG,L 6-24,*,,,,,,,,,,,,
17,2005,2005-11-13,9,24.234,SFO,@,CHI,L 9-17,*,,,,,,,,,,,,
18,2005,2005-11-20,10,24.241,SFO,,SEA,L 25-27,*,,,,,,,,,,,,
19,2005,2005-11-27,11,24.248,SFO,@,TEN,L 22-33,*,,,,,,,,,,,,
20,2005,2005-12-04,12,24.255,SFO,,ARI,L 10-17,*,0,0,,0,0,0,0.0,,,1,0,0
21,2005,2005-12-24,15,24.275,SFO,@,STL,W 24-20,,,,,,,,,,,,,
22,2005,2006-01-01,16,24.283,SFO,,HOU,W 20-17,*,0,0,,0,1,6,0.0,,,2,36,1
23,2006,2006-09-10,1,25.170,SFO,@,ARI,L 27-34,*,,,,,,,,,,,,
24,2006,2006-09-17,2,25.177,SFO,,STL,W 20-13,*,,,,,,,,,,,,
25,2006,2006-09-24,3,25.184,SFO,,PHI,L 24-38,*,,,,,,,,,,,,
26,2006,2006-10-01,4,25.191,SFO,@,KAN,L 0-41,*,,,,,,,,,,,,
27,2006,2006-10-08,5,25.198,SFO,,OAK,W 34-20,*,,,,,,,,,,,,
28,2006,2006-10-15,6,25.205,SFO,,SDG,L 19-48,*,,,,,,,,,,,,
29,2006,2006-10-29,7,25.219,SFO,@,CHI,L 10-41,*,,,,,,,,,,,,
30,2006,2006-11-05,8,25.226,SFO,,MIN,W 9-3,,,,,,,,,,,,,
31,2006,2006-11-12,9,25.233,SFO,@,DET,W 19-13,,,,,,,,,,,,,
32,2006,2006-11-19,10,25.240,SFO,,SEA,W 20-14,,,,,,,,,,,,,
33,2006,2006-11-26,11,25.247,SFO,@,STL,L 17-20,,,,,,,,,,,,,
