ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,25.251,PHI,@,ATL,L 31-35,,,,,,,
2,2011,2011-09-25,3,25.258,PHI,,NYG,L 16-29,,,,,,,
3,2011,2011-10-02,4,25.265,PHI,,SFO,L 23-24,,,0,0,0.0,1,0
4,2011,2011-10-09,5,25.272,PHI,@,BUF,L 24-31,,,0,0,0.0,0,0
5,2011,2011-10-16,6,25.279,PHI,@,WAS,W 20-13,,,,,,,
6,2011,2011-12-11,13,25.335,PHI,@,MIA,W 26-10,,1,0,2,1.0,1,0
7,2011,2011-12-18,14,25.342,PHI,,NYJ,W 45-19,,,0,0,1.0,5,1
8,2011,2011-12-24,15,25.348,PHI,@,DAL,W 20-7,,,0,0,0.0,0,0
9,2011,2012-01-01,16,25.356,PHI,,WAS,W 34-10,,,,,,,
10,2012,2012-09-09,1,26.243,PHI,@,CLE,W 17-16,,,,,,,
11,2012,2012-09-16,2,26.250,PHI,,BAL,W 24-23,,,,,,,
12,2012,2012-09-23,3,26.257,PHI,@,ARI,L 6-27,,,0,0,0.0,1,0
13,2012,2012-09-30,4,26.264,PHI,,NYG,W 19-17,,,,,,,
14,2012,2012-10-07,5,26.271,PHI,@,PIT,L 14-16,,,0,0,0.0,1,0
15,2012,2012-10-14,6,26.278,PHI,,DET,L 23-26,,,,,,,
16,2012,2012-10-28,7,26.292,PHI,,ATL,L 17-30,,,,,,,
17,2012,2012-11-05,8,26.300,PHI,@,NOR,L 13-28,,,0,0,0.0,2,0
18,2012,2012-12-02,12,26.327,PHI,@,DAL,L 33-38,,,0,0,0.0,1,0
19,2012,2012-12-09,13,26.334,PHI,@,TAM,W 23-21,,,,,,,
20,2012,2012-12-13,14,26.338,PHI,,CIN,L 13-34,,,0,0,0.0,1,0
21,2012,2012-12-23,15,26.348,PHI,,WAS,L 20-27,,,,,,,
22,2012,2012-12-30,16,26.355,PHI,@,NYG,L 7-42,,,0,0,1.0,1,0
23,2015,2015-09-13,1,29.246,DET,@,SDG,L 28-33,,,0,0,1.0,4,1
24,2015,2015-09-20,2,29.253,DET,@,MIN,L 16-26,,,0,0,0.0,2,0
