ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-10-22,8,23.065,BAL,,TEN,L 6-14,,,,,,,,,,,,,
2,2000,2000-11-05,10,23.079,BAL,@,CIN,W 27-7,,,,,,,,,,,,,
3,2000,2000-11-12,11,23.086,BAL,@,TEN,W 24-23,,,,,,,,,,,,,
4,2001,2001-09-09,1,24.022,BAL,,CHI,W 17-6,,,,,,,,,,,,,
5,2001,2001-09-23,2,24.036,BAL,@,CIN,L 10-21,,,,,,,,,,,,,
6,2001,2001-09-30,3,24.043,BAL,@,DEN,W 20-13,,,,,,,,,,,,,
7,2001,2001-10-07,4,24.050,BAL,,TEN,W 26-7,,,,,,,,,,,,,
8,2001,2001-10-14,5,24.057,BAL,@,GNB,L 23-31,,,,,,,,,,,,,
9,2001,2001-10-21,6,24.064,BAL,@,CLE,L 14-24,,,,,,,,,,,,,
10,2001,2001-10-28,7,24.071,BAL,,JAX,W 18-17,,,,,,,,,,,,,
11,2001,2001-11-04,8,24.078,BAL,@,PIT,W 13-10,,,,,,,,,,,,,
12,2001,2001-11-12,9,24.086,BAL,@,TEN,W 16-10,,,,,,,,,,,,,
13,2001,2001-11-18,10,24.092,BAL,,CLE,L 17-27,,,,,,,,,,,,,
14,2001,2001-11-25,11,24.099,BAL,@,JAX,W 24-21,*,0,0,,0,0,0,1.0,,,0,0,0
15,2001,2001-12-02,12,24.106,BAL,,IND,W 39-27,*,0,0,,0,0,0,1.5,,,0,0,0
16,2001,2001-12-16,13,24.120,BAL,,PIT,L 21-26,,,,,,,,,,,,,
17,2001,2001-12-23,14,24.127,BAL,,CIN,W 16-0,,,,,,,,,,,,,
18,2001,2001-12-29,15,24.133,BAL,@,TAM,L 10-22,,,,,,,,,,,,,
19,2001,2002-01-07,16,24.142,BAL,,MIN,W 19-3,*,0,0,,0,0,0,1.0,,,0,0,0
20,2002,2002-09-08,1,25.021,BAL,@,CAR,L 7-10,,0,0,,0,0,0,0.5,,,0,0,0
21,2002,2002-09-15,2,25.028,BAL,,TAM,L 0-25,,,,,,,,,,,,,
22,2002,2002-09-30,3,25.043,BAL,,DEN,W 34-23,,,,,,,,,,,,,
23,2002,2002-10-06,4,25.049,BAL,@,CLE,W 26-21,*,,,,,,,,,,,,
24,2002,2002-10-13,5,25.056,BAL,@,IND,L 20-22,,,,,,,,,,,,,
25,2002,2002-10-20,6,25.063,BAL,,JAX,W 17-10,*,0,0,,0,0,0,0.0,,,1,32,0
26,2002,2002-10-27,7,25.070,BAL,,PIT,L 18-31,*,,,,,,,,,,,,
27,2002,2002-11-03,8,25.077,BAL,@,ATL,L 17-20,*,0,0,,0,0,0,1.5,,,0,0,0
28,2002,2002-11-10,9,25.084,BAL,,CIN,W 38-27,*,0,0,,0,1,6,0.0,,,1,25,1
29,2002,2002-11-17,10,25.091,BAL,@,MIA,L 7-26,*,,,,,,,,,,,,
30,2002,2002-11-24,11,25.098,BAL,,TEN,W 13-12,*,,,,,,,,,,,,
31,2002,2002-12-01,12,25.105,BAL,@,CIN,W 27-23,*,,,,,,,,,,,,
32,2002,2002-12-08,13,25.112,BAL,,NOR,L 25-37,*,,,,,,,,,,,,
33,2002,2002-12-15,14,25.119,BAL,@,HOU,W 23-19,*,0,0,,0,0,0,1.0,,,0,0,0
