ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1955,1955-09-25,1,23.015,BAL,,CHI,W 23-17,7,10,1.43,0,1,25,25.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
2,1955,1955-10-01,2,23.021,BAL,,DET,W 28-13,5,7,1.40,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
3,1955,1955-10-08,3,23.028,BAL,@,GNB,W 24-20,1,1,1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
4,1955,1955-10-29,6,23.049,BAL,,GNB,W 14-10,14,88,6.29,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,1,
5,1955,1955-11-05,7,23.056,BAL,@,DET,L 14-24,6,13,2.17,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
6,1955,1955-11-13,8,23.064,BAL,@,NYG,L 7-17,14,80,5.71,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
7,1955,1955-11-20,9,23.071,BAL,,RAM,T 17-17,8,26,3.25,0,2,20,10.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
8,1955,1955-11-27,10,23.078,BAL,,SFO,W 26-14,17,65,3.82,0,1,30,30.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
9,1955,1955-12-04,11,23.085,BAL,@,RAM,L 14-20,10,37,3.70,0,4,40,10.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
10,1955,1955-12-11,12,23.092,BAL,@,SFO,L 24-35,6,11,1.83,0,2,38,19.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
11,1956,1956-09-30,1,24.020,BAL,,CHI,W 28-21,6,61,10.17,0,4,55,13.75,0,0,0,,0,0,,,,,,,,,,,,,,,0,
12,1956,1956-10-06,2,24.026,BAL,,DET,L 14-31,3,5,1.67,1,3,81,27.00,1,0,0,,0,0,,,,,,,,,,,,,,,2,
13,1956,1956-10-14,3,24.034,BAL,@,GNB,L 33-38,8,28,3.50,0,2,32,16.00,1,0,0,,0,0,,,,,,,,,,,,,,,1,
14,1956,1956-10-21,4,24.041,BAL,@,CHI,L 27-58,6,-5,-0.83,0,2,23,11.50,0,0,0,,0,0,,,,,,,,,,,,,,,0,
15,1956,1956-10-28,5,24.048,BAL,,GNB,W 28-21,8,46,5.75,0,1,7,7.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
16,1956,1956-11-11,6,24.062,BAL,@,CLE,W 21-7,7,34,4.86,1,2,11,5.50,0,0,0,,0,0,,,,,,,,,,,,,,,1,
17,1956,1956-11-18,7,24.069,BAL,@,DET,L 3-27,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
18,1956,1956-12-02,9,24.083,BAL,,SFO,L 17-20,4,-1,-0.25,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
19,1956,1956-12-09,10,24.090,BAL,@,RAM,L 7-31,3,8,2.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
20,1956,1956-12-16,11,24.097,BAL,@,SFO,L 17-30,2,0,0.00,0,1,2,2.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
21,1956,1956-12-23,12,24.104,BAL,,WAS,W 19-17,1,3,3.00,0,1,5,5.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
22,1957,1957-09-29,1,25.019,BAL,,DET,W 34-14,6,22,3.67,0,5,70,14.00,2,0,0,,0,0,,,,,,,,,,,,,,,2,
23,1957,1957-10-05,2,25.025,BAL,,CHI,W 21-10,13,52,4.00,0,5,39,7.80,0,0,0,,0,0,,,,,,,,,,,,,,,0,
24,1957,1957-10-13,3,25.033,BAL,@,GNB,W 45-17,9,39,4.33,0,1,10,10.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
25,1957,1957-10-27,5,25.047,BAL,,GNB,L 21-24,5,6,1.20,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
26,1957,1957-11-03,6,25.054,BAL,,PIT,L 13-19,8,32,4.00,0,2,29,14.50,0,0,0,,0,0,,,,,,,,,,,,,,,0,
27,1957,1957-11-10,7,25.061,BAL,@,WAS,W 21-17,6,23,3.83,0,2,13,6.50,0,0,0,,0,0,,,,,,,,,,,,,,,0,
28,1957,1957-11-17,8,25.068,BAL,@,CHI,W 29-14,10,23,2.30,1,3,32,10.67,0,0,0,,0,0,,,,,,,,,,,,,,,1,
29,1957,1957-11-24,9,25.075,BAL,,SFO,W 27-21,9,49,5.44,1,3,70,23.33,0,0,0,,0,0,,,,,,,,,,,,,,,1,
30,1957,1957-12-01,10,25.082,BAL,,RAM,W 31-14,13,45,3.46,0,2,45,22.50,0,0,0,,0,0,,,,,,,,,,,,,,,0,
31,1957,1957-12-08,11,25.089,BAL,@,SFO,L 13-17,12,39,3.25,0,8,15,1.88,0,0,0,,0,0,,,,,,,,,,,,,,,0,
32,1957,1957-12-15,12,25.096,BAL,@,RAM,L 21-37,10,45,4.50,0,1,16,16.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
33,1958,1958-09-28,1,26.018,BAL,,DET,W 28-15,14,51,3.64,1,1,-1,-1.00,0,0,0,,0,0,,,,,,,,,,,,,,,1,
34,1958,1958-10-04,2,26.024,BAL,,CHI,W 51-38,10,30,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,
35,1958,1958-10-12,3,26.032,BAL,@,GNB,W 24-17,10,84,8.40,0,1,8,8.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,
