ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1974,1974-09-15,1,22.199,MIN,@,GNB,W 32-17,,,,,,,,,,,,,,
2,1974,1974-09-22,2,22.206,MIN,@,DET,W 7-6,,,,,,,,,,,,,,
3,1974,1974-10-06,4,22.220,MIN,@,DAL,W 23-21,3,55,18.33,0,0,0,,0,0,0,,0,0,0
4,1974,1974-10-13,5,22.227,MIN,,HOU,W 51-10,,,,,,,,,,,,,,
5,1974,1974-10-20,6,22.234,MIN,,DET,L 16-20,,,,,,,,,,,,,,
6,1974,1974-10-27,7,22.241,MIN,,NWE,L 14-17,1,20,20.00,0,0,0,,0,0,0,,0,0,0
7,1974,1974-11-03,8,22.248,MIN,@,CHI,W 17-0,,,,,,,,,,,,,,
8,1974,1974-11-11,9,22.256,MIN,@,STL,W 28-24,1,9,9.00,0,0,0,,0,0,0,,0,0,0
9,1974,1974-11-17,10,22.262,MIN,,GNB,L 7-19,,,,,,,,,,,,,,
10,1974,1974-12-14,14,22.289,MIN,@,KAN,W 35-15,,,,,,,,,,,,,,
11,1975,1975-09-21,1,23.205,BUF,,NYJ,W 42-14,1,23,23.00,0,0,0,,0,2,8,4.00,0,0,0
12,1975,1975-09-28,2,23.212,BUF,@,PIT,W 30-21,0,0,,0,1,9,9.00,0,1,4,4.00,0,0,0
13,1975,1975-10-05,3,23.219,BUF,,DEN,W 38-14,0,0,,0,2,33,16.50,0,0,0,,0,0,0
14,1975,1975-10-12,4,23.226,BUF,@,BAL,W 38-31,6,121,20.17,1,0,0,,0,0,0,,0,1,6
15,1975,1975-10-26,6,23.240,BUF,,MIA,L 30-35,0,0,,0,0,0,,0,1,13,13.00,0,0,0
16,1975,1975-11-02,7,23.247,BUF,@,NYJ,W 24-23,0,0,,0,1,25,25.00,0,0,0,,0,0,0
17,1975,1975-11-09,8,23.254,BUF,,BAL,L 35-42,,,,,,,,,,,,,,
18,1975,1975-11-23,10,23.268,BUF,,NWE,W 45-31,,,,,,,,,,,,,,
19,1975,1975-11-27,11,23.272,BUF,@,STL,W 32-14,,,,,,,,,,,,,,
20,1975,1975-12-07,12,23.282,BUF,@,MIA,L 21-31,,,,,,,,,,,,,,
21,1975,1975-12-14,13,23.289,BUF,@,NWE,W 34-14,0,0,,0,0,0,,0,1,3,3.00,0,0,0
22,1975,1975-12-20,14,23.295,BUF,,MIN,L 13-35,0,0,,0,0,0,,0,2,25,12.50,0,0,0
23,1976,1976-09-13,1,24.198,BUF,,MIA,L 21-30,2,111,55.50,2,0,0,,0,0,0,,0,2,12
24,1976,1976-09-19,2,24.204,BUF,,HOU,L 3-13,,,,,,,,,,,,,,
25,1976,1976-09-26,3,24.211,BUF,@,TAM,W 14-9,1,9,9.00,0,0,0,,0,0,0,,0,0,0
26,1976,1976-10-03,4,24.218,BUF,,KAN,W 50-17,3,37,12.33,0,0,0,,0,0,0,,0,0,0
27,1976,1976-10-17,6,24.232,BUF,,BAL,L 13-31,3,51,17.00,0,0,0,,0,0,0,,0,0,0
28,1976,1976-10-24,7,24.239,BUF,,NWE,L 22-26,3,34,11.33,0,0,0,,0,0,0,,0,0,0
29,1976,1976-10-31,8,24.246,BUF,,NYJ,L 14-19,1,31,31.00,0,0,0,,0,0,0,,0,0,0
30,1976,1976-11-07,9,24.253,BUF,@,NWE,L 10-20,1,13,13.00,0,0,0,,0,0,0,,0,0,0
31,1976,1976-11-15,10,24.261,BUF,@,DAL,L 10-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0
32,1976,1976-11-21,11,24.267,BUF,,SDG,L 13-34,0,0,,0,0,0,,0,1,0,0.00,0,0,0
33,1976,1976-11-25,12,24.271,BUF,@,DET,L 14-27,0,0,,0,0,0,,0,1,8,8.00,0,0,0
34,1976,1976-12-05,13,24.281,BUF,@,MIA,L 27-45,1,13,13.00,0,0,0,,0,1,3,3.00,0,0,0
35,1976,1976-12-12,14,24.288,BUF,@,BAL,L 20-58,0,0,,0,4,62,15.50,0,0,0,,0,0,0
36,1977,1977-09-18,1,25.202,BUF,,MIA,L 0-13,3,44,14.67,0,0,0,,0,0,0,,0,0,0
37,1977,1977-09-25,2,25.209,BUF,@,DEN,L 6-26,2,24,12.00,0,0,0,,0,0,0,,0,0,0
38,1977,1977-10-02,3,25.216,BUF,@,BAL,L 14-17,3,39,13.00,0,0,0,,0,0,0,,0,0,0
