ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1966,1966-09-11,1,21.363,NYG,@,PIT,T 34-34,1,12,12.00,0,1,0,0.00,0
2,1966,1966-09-18,2,22.005,NYG,@,DAL,L 7-52,3,66,22.00,0,0,0,,0
3,1966,1966-09-25,3,22.012,NYG,@,PHI,L 17-35,1,26,26.00,0,1,-3,-3.00,0
4,1966,1966-10-02,4,22.019,NYG,,CLE,L 7-28,3,40,13.33,0,0,0,,0
5,1966,1966-10-09,5,22.026,NYG,@,STL,L 19-24,1,55,55.00,0,0,0,,0
6,1966,1966-10-23,7,22.040,NYG,,PHI,L 3-31,2,28,14.00,0,0,0,,0
7,1966,1966-11-06,8,22.054,NYG,,STL,L 17-20,2,34,17.00,0,0,0,,0
8,1966,1966-11-20,10,22.068,NYG,,ATL,L 16-27,1,16,16.00,0,0,0,,0
9,1966,1966-11-27,11,22.075,NYG,@,WAS,L 41-72,5,103,20.60,0,2,5,2.50,0
10,1966,1966-12-04,12,22.082,NYG,@,CLE,L 40-49,2,66,33.00,0,1,5,5.00,0
11,1966,1966-12-11,13,22.089,NYG,,PIT,L 28-47,1,34,34.00,0,0,0,,0
