ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,22.206,CHI,,TAM,W 34-14,3,18,6.00,0,0,0,,0,0,0,,0
2,1984,1984-09-09,2,22.213,CHI,,DEN,W 27-0,2,2,1.00,0,0,0,,0,0,0,,0
3,1984,1984-09-16,3,22.220,CHI,@,GNB,W 9-7,0,0,,0,0,0,,0,0,0,,0
4,1984,1984-09-23,4,22.227,CHI,@,SEA,L 9-38,0,0,,0,0,0,,0,0,0,,0
5,1984,1984-09-30,5,22.234,CHI,,DAL,L 14-23,0,0,,0,0,0,,0,0,0,,0
6,1984,1984-10-07,6,22.241,CHI,,NOR,W 20-7,0,0,,0,0,0,,0,0,0,,0
7,1984,1984-10-14,7,22.248,CHI,@,STL,L 21-38,0,0,,0,0,0,,0,0,0,,0
8,1984,1984-10-21,8,22.255,CHI,@,TAM,W 44-9,2,25,12.50,0,0,0,,0,0,0,,0
9,1984,1984-10-28,9,22.262,CHI,,MIN,W 16-7,0,0,,0,0,0,,0,0,0,,0
10,1984,1984-11-04,10,22.269,CHI,,RAI,W 17-6,0,0,,0,0,0,,0,0,0,,0
11,1984,1984-11-11,11,22.276,CHI,@,RAM,L 13-29,0,0,,0,0,0,,0,5,62,12.40,0
12,1984,1984-11-18,12,22.283,CHI,,DET,W 16-14,0,0,,0,0,0,,0,0,0,,0
13,1984,1984-11-25,13,22.290,CHI,@,MIN,W 34-3,4,25,6.25,0,1,6,6.00,0,0,0,,0
