ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.354,CHI,,IND,W 41-21,*,1,0,0,,0,0.0%,0.00,0.0,0,0
2,2012,2012-09-13,2,23.358,CHI,@,GNB,L 10-23,,,,,,,0.0%,,,,
3,2012,2012-09-23,3,24.002,CHI,,STL,W 23-6,,,,,,,0.0%,,,,
4,2012,2012-11-04,8,24.044,CHI,@,TEN,W 51-20,,1,0,0,,0,0.0%,0.00,0.0,0,0
5,2012,2012-11-11,9,24.051,CHI,,HOU,L 6-13,,,,,,,0.0%,,,,
6,2012,2012-11-19,10,24.059,CHI,@,SFO,L 7-32,*,1,0,0,,0,0.0%,0.00,0.0,0,0
7,2012,2012-11-25,11,24.065,CHI,,MIN,W 28-10,*,1,1,11,11.00,0,100.0%,11.00,0.0,0,0
8,2012,2012-12-02,12,24.072,CHI,,SEA,L 17-23,,2,2,8,4.00,0,100.0%,4.00,0.0,0,0
9,2012,2012-12-09,13,24.079,CHI,@,MIN,L 14-21,,,,,,,0.0%,,,,
10,2012,2012-12-16,14,24.086,CHI,,GNB,L 13-21,*,,,,,,0.0%,,,,
11,2012,2012-12-23,15,24.093,CHI,@,ARI,W 28-13,*,1,0,0,,0,0.0%,0.00,0.0,0,0
12,2012,2012-12-30,16,24.100,CHI,@,DET,W 26-24,,1,1,2,2.00,0,100.0%,2.00,0.0,0,0
13,2013,2013-11-10,10,25.050,BUF,@,PIT,L 10-23,,,,,,,0.0%,,,,
14,2013,2013-11-17,11,25.057,BUF,,NYJ,W 37-14,,0,0,0,,0,0.0%,,0.0,1,0
15,2013,2013-12-01,12,25.071,BUF,,ATL,L 31-34,,0,0,0,,0,0.0%,,0.0,1,3
16,2013,2013-12-08,13,25.078,BUF,@,TAM,L 6-27,,,,,,,0.0%,,,,
17,2013,2013-12-15,14,25.085,BUF,@,JAX,W 27-20,,,,,,,0.0%,,,,
18,2013,2013-12-22,15,25.092,BUF,,MIA,W 19-0,,,,,,,0.0%,,,,
19,2013,2013-12-29,16,25.099,BUF,@,NWE,L 20-34,,1,0,0,,0,0.0%,0.00,0.0,0,0
20,2014,2014-12-28,16,26.098,TAM,,NOR,L 20-23,,,,,,,0.0%,,,,
