ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-10-07,4,25.119,NWE,,BAL,W 24-16,3,3,100.0,1,2,50.0,0,6,0,0,,0
2,1973,1973-10-14,5,25.126,NWE,,NYJ,L 7-9,1,1,100.0,,1,0.0,0,1,0,0,,0
3,1973,1973-10-21,6,25.133,NWE,@,CHI,W 13-10,1,1,100.0,2,3,66.7,0,7,0,0,,0
4,1973,1973-10-28,7,25.140,NWE,,MIA,L 14-30,2,2,100.0,,,,0,2,6,163,27.17,0
5,1973,1973-11-04,8,25.147,NWE,@,PHI,L 23-24,2,3,66.7,1,5,20.0,0,5,0,0,,0
6,1973,1973-11-11,9,25.154,NWE,@,NYJ,L 13-33,1,2,50.0,,,,0,1,,,,
7,1973,1973-11-18,10,25.161,NWE,,GNB,W 33-24,3,3,100.0,4,4,100.0,0,15,0,0,,0
8,1973,1973-11-25,11,25.168,NWE,@,HOU,W 32-0,3,3,100.0,3,5,60.0,0,12,0,0,,0
9,1973,1973-12-02,12,25.175,NWE,,SDG,W 30-14,3,4,75.0,1,1,100.0,0,6,0,0,,0
10,1973,1973-12-09,13,25.182,NWE,@,BUF,L 13-37,1,1,100.0,2,2,100.0,0,7,0,0,,0
11,1973,1973-12-16,14,25.189,NWE,@,BAL,L 13-18,1,2,50.0,,2,0.0,0,1,0,0,,0
