ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1970,1970-09-20,1,23.181,DET,@,GNB,W 40-0,,,,,,,,
2,1970,1970-09-27,2,23.188,DET,,CIN,W 38-3,,,,,,,,
3,1970,1970-10-05,3,23.196,DET,,CHI,W 28-14,,,,,,,,
4,1970,1970-10-11,4,23.202,DET,@,WAS,L 10-31,,,,,,,,
5,1970,1970-10-18,5,23.209,DET,@,CLE,W 41-24,,,,,,,,
6,1970,1970-10-25,6,23.216,DET,@,CHI,W 16-10,,,,,,,,
7,1970,1970-11-01,7,23.223,DET,,MIN,L 17-30,0,0,,0,1,20,20.00,0
8,1970,1970-11-08,8,23.230,DET,@,NOR,L 17-19,,,,,,,,
9,1970,1970-12-06,12,23.258,DET,,STL,W 16-3,,,,,,,,
10,1970,1970-12-14,13,23.266,DET,@,RAM,W 28-23,,,,,,,,
11,1970,1970-12-20,14,23.272,DET,,GNB,W 20-0,1,9,9.00,0,0,0,,0
