ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.178,DAL,,PHI,W 27-7,,,,,,,,,,,,,,,
2,1976,1976-09-19,2,22.185,DAL,@,NOR,W 24-6,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0
3,1976,1976-09-26,3,22.192,DAL,,BAL,W 30-27,,,,,,,,,,,,,,,
4,1976,1976-10-10,5,22.206,DAL,@,NYG,W 24-14,,,,,,,,,,,,,,,
5,1976,1976-10-24,7,22.220,DAL,,CHI,W 31-21,,,,,,,,,,,,,,,
6,1976,1976-11-07,9,22.234,DAL,,NYG,W 9-3,,,,,,,,,,,,,,,
7,1976,1976-11-15,10,22.242,DAL,,BUF,W 17-10,,,,,,,,,,,,,,,
8,1976,1976-11-21,11,22.248,DAL,@,ATL,L 10-17,,,,,,,,,,,,,,,
9,1976,1976-12-05,13,22.262,DAL,@,PHI,W 26-7,,,,,,,,,,,,,,,
10,1976,1976-12-12,14,22.269,DAL,,WAS,L 14-27,,,,,,,,,,,,,,,
11,1977,1977-09-18,1,23.184,NYG,,WAS,W 20-17,,,,,,,,,,,,,,,
12,1977,1977-09-25,2,23.191,NYG,@,DAL,L 21-41,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0
13,1977,1977-10-02,3,23.198,NYG,@,ATL,L 3-17,,,,,,,,,,,,,,,
14,1977,1977-10-09,4,23.205,NYG,,PHI,L 10-28,,,,,,,,,,,,,,,
15,1977,1977-10-16,5,23.212,NYG,,SFO,W 20-17,,,,,,,,,,,,,,,
16,1977,1977-10-23,6,23.219,NYG,@,WAS,W 17-6,,,,,,,,,,,,,,,
17,1977,1977-10-31,7,23.227,NYG,@,STL,L 0-28,0,0,,0,2,62,31.00,0,0,0,,0,0,0,0
18,1977,1977-11-06,8,23.233,NYG,,DAL,L 10-24,0,0,,0,3,65,21.67,0,0,0,,0,0,0,0
19,1977,1977-11-13,9,23.240,NYG,@,TAM,W 10-0,0,0,,0,0,0,,0,1,-5,-5.00,0,0,0,0
20,1977,1977-11-20,10,23.247,NYG,,CLE,L 7-21,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0
21,1978,1978-09-02,1,24.168,NYG,@,TAM,W 19-13,,,,,,,,,,,,,,,
22,1978,1978-09-10,2,24.176,NYG,,DAL,L 24-34,,,,,,,,,,,,,,,
23,1978,1978-09-17,3,24.183,NYG,,KAN,W 26-10,,,,,,,,,,,,,,,
24,1978,1978-09-24,4,24.190,NYG,,SFO,W 27-10,,,,,,,,,,,,,,,
25,1978,1978-10-01,5,24.197,NYG,@,ATL,L 20-23,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0
26,1978,1978-10-08,6,24.204,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,,
27,1978,1978-10-15,7,24.211,NYG,,TAM,W 17-14,,,,,,,,,,,,,,,
28,1978,1978-10-22,8,24.218,NYG,,WAS,W 17-6,,,,,,,,,,,,,,,
29,1979,1979-09-02,1,25.168,NYG,@,PHI,L 17-23,,,,,,,,,,,,,,,
30,1979,1979-09-09,2,25.175,NYG,,STL,L 14-27,,,,,,,,,,,,,,,
31,1979,1979-09-17,3,25.183,NYG,@,WAS,L 0-27,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0
32,1979,1979-09-23,4,25.189,NYG,,PHI,L 13-17,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0
33,1979,1979-09-30,5,25.196,NYG,@,NOR,L 14-24,0,0,,0,1,20,20.00,0,0,0,,0,1,3,0
34,1979,1979-10-07,6,25.203,NYG,,TAM,W 17-14,0,0,,0,1,17,17.00,0,1,8,8.00,0,0,0,0
35,1979,1979-10-14,7,25.210,NYG,,SFO,W 32-16,,,,,,,,,,,,,,,
36,1979,1979-10-21,8,25.217,NYG,@,KAN,W 21-17,,,,,,,,,,,,,,,
37,1979,1979-10-28,9,25.224,NYG,@,RAM,W 20-14,0,0,,0,1,-4,-4.00,0,0,0,,0,0,0,0
38,1979,1979-11-04,10,25.231,NYG,,DAL,L 14-16,0,0,,0,1,6,6.00,0,0,0,,0,0,0,0
39,1979,1979-11-11,11,25.238,NYG,,ATL,W 24-3,,,,,,,,,,,,,,,
40,1979,1979-11-18,12,25.245,NYG,@,TAM,L 3-31,,,,,,,,,,,,,,,
41,1979,1979-11-25,13,25.252,NYG,,WAS,W 14-6,,,,,,,,,,,,,,,
42,1979,1979-12-02,14,25.259,NYG,@,DAL,L 7-28,,,,,,,,,,,,,,,
43,1979,1979-12-09,15,25.266,NYG,@,STL,L 20-29,,,,,,,,,,,,,,,
44,1979,1979-12-16,16,25.273,NYG,,BAL,L 7-31,,,,,,,,,,,,,,,
45,1980,1980-09-07,1,26.173,NYG,@,STL,W 41-35,,,,,,,,,,,,,,,
46,1980,1980-09-14,2,26.180,NYG,,WAS,L 21-23,,,,,,,,,,,,,,,
47,1980,1980-09-22,3,26.188,NYG,@,PHI,L 3-35,,,,,,,,,,,,,,,
48,1980,1980-09-28,4,26.194,NYG,,RAM,L 7-28,,,,,,,,,,,,,,,
49,1980,1980-10-05,5,26.201,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,,
50,1980,1980-10-12,6,26.208,NYG,,PHI,L 16-31,,,,,,,,,,,,,,,
51,1980,1980-10-19,7,26.215,NYG,@,SDG,L 7-44,,,,,,,,,,,,,,,
52,1980,1980-10-26,8,26.222,NYG,,DEN,L 9-14,,,,,,,,,,,,,,,
53,1980,1980-11-02,9,26.229,NYG,@,TAM,L 13-30,0,0,,0,5,99,19.80,0,0,0,,0,0,0,0
54,1980,1980-11-09,10,26.236,NYG,,DAL,W 38-35,0,0,,0,4,63,15.75,0,0,0,,0,0,0,0
55,1980,1980-11-16,11,26.243,NYG,,GNB,W 27-21,0,0,,0,2,38,19.00,0,0,0,,0,1,10,0
56,1980,1980-11-23,12,26.250,NYG,@,SFO,L 0-12,0,0,,0,1,19,19.00,0,1,15,15.00,0,1,8,0
57,1980,1980-11-30,13,26.257,NYG,,STL,L 7-23,0,0,,0,3,73,24.33,0,0,0,,0,1,6,0
58,1980,1980-12-07,14,26.264,NYG,@,SEA,W 27-21,0,0,,0,2,36,18.00,0,0,0,,0,0,0,0
59,1980,1980-12-13,15,26.270,NYG,@,WAS,L 13-16,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0
60,1980,1980-12-21,16,26.278,NYG,,OAK,L 17-33,0,0,,0,5,102,20.40,0,1,0,0.00,0,0,0,0
61,1981,1981-09-06,1,27.172,NYG,,PHI,L 10-24,,,,,0,0,,0,0,0,,0,,,
62,1981,1981-09-13,2,27.179,NYG,@,WAS,W 17-7,,,,,0,0,,0,0,0,,0,,,
63,1981,1981-09-20,3,27.186,NYG,,NOR,W 20-7,0,0,,0,0,0,,0,0,0,,0,1,31,0
64,1981,1981-09-27,4,27.193,NYG,@,DAL,L 10-18,,,,,0,0,,0,0,0,,0,,,
65,1981,1981-10-04,5,27.200,NYG,,GNB,L 14-27,0,0,,0,0,0,,0,0,0,,0,1,7,0
