ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1997,1997-11-23,12,24.026,TEN,,BUF,W 31-14,,,,,,,,,
2,1997,1997-11-27,13,24.030,TEN,@,DAL,W 27-14,,,,,,,,,
3,1997,1997-12-04,14,24.037,TEN,@,CIN,L 14-41,,,,,,,,,
4,1997,1997-12-14,15,24.047,MIA,@,IND,L 0-41,,,,,,,,,
5,1997,1997-12-21,16,24.054,TEN,,PIT,W 16-6,,,,,,,,,
6,1998,1998-11-08,9,25.011,TEN,@,TAM,W 31-22,,,,,,,,,
7,1998,1998-11-15,10,25.018,TEN,,PIT,W 23-14,,,,,,,,,
8,1998,1998-11-22,11,25.025,TEN,,NYJ,L 3-24,,,,,,,,,
9,1998,1998-11-29,12,25.032,TEN,@,SEA,L 18-20,,,,,,,,,
10,1999,1999-09-12,1,25.319,TEN,,CIN,W 36-35,,4,63,15.75,0,1,18,18.00,0
11,1999,1999-09-19,2,25.326,TEN,,CLE,W 26-9,,,,,,,,,
12,1999,1999-09-26,3,25.333,TEN,@,JAX,W 20-19,,,,,,,,,
13,1999,1999-10-03,4,25.340,TEN,@,SFO,L 22-24,,,,,,,,,
14,1999,1999-10-10,5,25.347,TEN,,BAL,W 14-11,,,,,,,,,
15,1999,1999-10-17,6,25.354,TEN,@,NOR,W 24-21,,,,,,,,,
16,1999,1999-10-31,7,26.003,TEN,,STL,W 24-21,,,,,,,,,
17,1999,2000-01-02,16,26.066,TEN,@,PIT,W 47-36,,,,,,,,,
