ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,22.025,SDG,,NYJ,L 29-41,,,,,,,,,,,,,0,0,,0,,,,
2,1983,1983-09-12,2,22.033,SDG,@,KAN,W 17-14,,,,,,,,,,,,,0,0,,0,,,,
3,1983,1983-09-18,3,22.039,SDG,@,SEA,L 31-34,,,,,,,,,,,,,0,0,,0,,,,
4,1983,1983-09-25,4,22.046,SDG,,CLE,L 24-30,,,,,,,,,,,,,0,0,,0,,,,
5,1983,1983-10-02,5,22.053,SDG,@,NYG,W 41-34,,,,,,,,,,,,,0,0,,0,,,,
6,1983,1983-10-09,6,22.060,SDG,,SEA,W 28-21,,,,,,,,,,,,,0,0,,0,,,,
7,1983,1983-10-16,7,22.067,SDG,@,NWE,L 21-37,,0,0,,0,0,0,,,,,,1,10,10.00,0,0.0,0,0,0
8,1983,1983-10-23,8,22.074,SDG,@,DEN,L 6-14,,,,,,,,,,,,,0,0,,0,,,,
9,1983,1983-10-31,9,22.082,SDG,,WAS,L 24-27,,,,,,,,,,,,,0,0,,0,,,,
10,1983,1983-11-06,10,22.088,SDG,@,PIT,L 3-26,,0,0,,0,0,0,,,,,,0,0,,0,1.0,0,0,0
11,1983,1983-11-13,11,22.095,SDG,,DAL,W 24-23,,,,,,,,,,,,,0,0,,0,,,,
12,1983,1983-11-20,12,22.102,SDG,@,STL,L 14-44,,,,,,,,,,,,,0,0,,0,,,,
13,1983,1983-11-27,13,22.109,SDG,,DEN,W 31-7,,0,0,,0,0,0,,,,,,0,0,,0,1.0,0,0,0
14,1983,1983-12-01,14,22.113,SDG,,RAI,L 10-42,,0,0,,0,0,0,,,,,,0,0,,0,1.0,0,0,0
15,1983,1983-12-11,15,22.123,SDG,,KAN,W 41-38,,,,,,,,,,,,,0,0,,0,,,,
16,1983,1983-12-18,16,22.130,SDG,@,RAI,L 14-30,,,,,,,,,,,,,0,0,,0,,,,
17,1984,1984-09-16,3,23.037,SDG,,HOU,W 31-14,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
18,1984,1984-09-30,5,23.051,SDG,,DET,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
19,1984,1984-10-07,6,23.058,SDG,@,GNB,W 34-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,13,0
20,1984,1984-10-21,8,23.072,SDG,,RAI,L 37-44,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,7,0
21,1984,1984-10-29,9,23.080,SDG,,SEA,L 0-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,21,0
22,1984,1984-12-03,14,23.115,SDG,,CHI,W 20-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
23,1985,1985-09-22,3,24.043,SDG,@,CIN,W 44-41,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
24,1985,1985-10-13,6,24.064,SDG,,KAN,W 31-20,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
25,1985,1985-11-03,9,24.085,SDG,,DEN,W 30-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,0
