ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2000,2000-09-03,1,22.154,JAX,@,CLE,W 27-7,,,,,,,,,,,
2,2000,2000-09-10,2,22.161,JAX,@,BAL,L 36-39,,0,0,,0,2,60,30.00,0,0,0
3,2000,2000-09-17,3,22.168,JAX,,CIN,W 13-0,,,,,,,,,,,
4,2000,2000-09-25,4,22.176,JAX,@,IND,L 14-43,,,,,,,,,,,
5,2000,2000-10-01,5,22.182,JAX,,PIT,L 13-24,,0,0,,0,3,91,30.33,0,0,0
6,2000,2000-10-08,6,22.189,JAX,,BAL,L 10-15,,0,0,,0,2,50,25.00,0,0,0
7,2000,2000-10-16,7,22.197,JAX,@,TEN,L 13-27,,1,4,4.00,0,4,107,26.75,0,0,0
8,2000,2000-10-22,8,22.203,JAX,,WAS,L 16-35,,1,2,2.00,0,4,85,21.25,0,0,0
9,2000,2000-10-29,9,22.210,JAX,@,DAL,W 23-17,,1,12,12.00,0,3,74,24.67,0,0,0
10,2000,2000-11-19,11,22.231,JAX,@,PIT,W 34-24,,3,5,1.67,0,5,114,22.80,0,0,0
11,2000,2000-11-26,12,22.238,JAX,,TEN,W 16-13,,0,0,,0,4,84,21.00,0,0,0
12,2000,2000-12-03,13,22.245,JAX,,CLE,W 48-0,,11,27,2.45,1,1,25,25.00,0,1,6
13,2000,2000-12-10,14,22.252,JAX,,ARI,W 44-10,,2,3,1.50,0,2,36,18.00,0,0,0
14,2000,2000-12-17,15,22.259,JAX,@,CIN,L 14-17,,1,2,2.00,0,3,59,19.67,0,0,0
15,2002,2002-09-08,1,24.159,IND,@,JAX,W 28-25,,,,,,,,,,,
