ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1979,1979-09-02,1,22.279,NYG,@,PHI,L 17-23,9,34,3.78,0,6,43,7.17,0,0,0
2,1979,1979-09-09,2,22.286,NYG,,STL,L 14-27,9,14,1.56,0,3,20,6.67,0,0,0
3,1979,1979-09-30,5,22.307,NYG,@,NOR,L 14-24,9,20,2.22,0,2,22,11.00,1,1,6
4,1979,1979-10-07,6,22.314,NYG,,TAM,W 17-14,9,21,2.33,0,2,11,5.50,0,0,0
5,1979,1979-11-11,11,22.349,NYG,,ATL,W 24-3,7,20,2.86,0,0,0,,0,0,0
6,1979,1979-11-18,12,22.356,NYG,@,TAM,L 3-31,6,14,2.33,0,2,-3,-1.50,0,0,0
7,1979,1979-11-25,13,22.363,NYG,,WAS,W 14-6,7,18,2.57,0,0,0,,0,0,0
8,1979,1979-12-02,14,23.005,NYG,@,DAL,L 7-28,6,27,4.50,0,1,15,15.00,0,0,0
9,1979,1979-12-02,14,23.005,BUF,,DEN,L 16-19,,,,,,,,,,
10,1979,1979-12-09,15,23.012,BUF,@,MIN,L 3-10,,,,,,,,,,
11,1979,1979-12-16,16,23.019,BUF,@,PIT,L 0-28,,,,,,,,,,
