ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1997,1997-10-19,7,21.332,OAK,,DEN,W 28-25,0,0,,0,,0,0,,0,0.0%,,0,0,,0
2,1997,1997-10-26,8,21.339,OAK,@,SEA,L 34-45,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0
3,1997,1997-11-02,9,21.346,OAK,@,CAR,L 14-38,0,0,,0,,0,0,,0,0.0%,,0,0,,0
4,1997,1997-11-09,10,21.353,OAK,,NOR,L 10-13,0,0,,0,1,0,0,,0,0.0%,0.00,1,12,12.00,0
5,1997,1997-11-16,11,21.360,OAK,@,SDG,W 38-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0
6,1997,1997-11-24,12,22.003,OAK,@,DEN,L 3-31,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
7,1997,1997-11-30,13,22.009,OAK,,MIA,L 16-34,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0
8,1997,1997-12-07,14,22.016,OAK,@,KAN,L 0-30,0,0,,0,,0,0,,0,0.0%,,0,0,,0
9,1997,1997-12-14,15,22.023,OAK,,SEA,L 21-22,0,0,,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0
10,1997,1997-12-21,16,22.030,OAK,,JAX,L 9-20,2,3,1.50,0,2,0,0,,0,0.0%,0.00,0,0,,0
