ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1987,1987-09-13,1,23.080,ATL,@,TAM,L 10-48,,,,,
2,1987,1987-09-20,2,23.087,ATL,,WAS,W 21-20,,,,,
3,1987,1987-10-25,6,23.122,ATL,@,HOU,L 33-37,,,,,
4,1987,1987-11-08,8,23.136,ATL,@,CLE,L 3-38,,,,,
5,1987,1987-11-15,9,23.143,ATL,,CIN,L 10-16,,,,,
6,1987,1987-11-22,10,23.150,ATL,@,MIN,L 13-24,,,,,
7,1987,1987-11-29,11,23.157,ATL,,STL,L 21-34,,,,,
8,1987,1987-12-06,12,23.164,ATL,@,DAL,W 21-10,,,,,
9,1987,1987-12-13,13,23.171,ATL,@,RAM,L 0-33,,,,,
10,1987,1987-12-20,14,23.178,ATL,@,SFO,L 7-35,,,,,
11,1987,1987-12-27,15,23.185,ATL,,DET,L 13-30,,,,,
12,1988,1988-09-04,1,24.071,ATL,@,DET,L 17-31,,,,,
13,1988,1988-09-11,2,24.078,ATL,,NOR,L 21-29,,,,,
14,1988,1988-09-18,3,24.085,ATL,@,SFO,W 34-17,,,,,
15,1988,1988-09-25,4,24.092,ATL,@,DAL,L 20-26,,,,,
16,1988,1988-10-02,5,24.099,ATL,,SEA,L 20-31,,,,,
17,1988,1988-10-09,6,24.106,ATL,,RAM,L 0-33,,,,,
18,1988,1988-10-16,7,24.113,ATL,@,DEN,L 14-30,,,,,
19,1988,1988-10-23,8,24.120,ATL,,NYG,L 16-23,,,,,
20,1988,1988-10-30,9,24.127,ATL,@,PHI,W 27-24,,,,,
21,1988,1988-11-06,10,24.134,ATL,,GNB,W 20-0,,,,,
22,1988,1988-11-13,11,24.141,ATL,,SDG,L 7-10,,,,,
23,1988,1988-11-20,12,24.148,ATL,@,RAI,W 12-6,,,,,
24,1988,1988-11-27,13,24.155,ATL,,TAM,W 17-10,,,,,
25,1988,1988-12-04,14,24.162,ATL,,SFO,L 3-13,,,,,
26,1988,1988-12-11,15,24.169,ATL,@,RAM,L 7-22,,,,,
27,1988,1988-12-18,16,24.176,ATL,@,NOR,L 9-10,,,,,
28,1989,1989-09-10,1,25.077,ATL,,RAM,L 21-31,,,,,
29,1989,1989-09-17,2,25.084,ATL,,DAL,W 27-21,,,,,
30,1989,1989-09-24,3,25.091,ATL,@,IND,L 9-13,,,,,
31,1989,1989-10-01,4,25.098,ATL,@,GNB,L 21-23,,,,,
32,1989,1989-10-08,5,25.105,ATL,@,RAM,L 14-26,,,,,
33,1989,1989-10-15,6,25.112,ATL,,NWE,W 16-15,,,,,
34,1989,1989-10-22,7,25.119,ATL,@,PHO,L 20-34,,,,,
35,1989,1989-10-29,8,25.126,ATL,@,NOR,L 13-20,,,,,
36,1989,1989-11-05,9,25.133,ATL,,BUF,W 30-28,,,,,
37,1989,1989-11-12,10,25.140,ATL,@,SFO,L 3-45,0,0,,0,1.0
38,1989,1989-11-19,11,25.147,ATL,,NOR,L 17-26,,,,,
39,1989,1989-11-26,12,25.154,ATL,@,NYJ,L 7-27,,,,,
40,1989,1989-12-03,13,25.161,ATL,,SFO,L 10-23,,,,,
41,1989,1989-12-10,14,25.168,ATL,@,MIN,L 17-43,,,,,
42,1989,1989-12-17,15,25.175,ATL,,WAS,L 30-31,,,,,
43,1989,1989-12-24,16,25.182,ATL,,DET,L 24-31,,,,,
44,1990,1990-09-09,1,26.076,ATL,,HOU,W 47-27,0,0,,0,
45,1990,1990-09-16,2,26.083,ATL,@,DET,L 14-21,0,0,,0,
46,1990,1990-09-23,3,26.090,ATL,@,SFO,L 13-19,0,0,,0,2.0
47,1990,1990-10-07,4,26.104,ATL,,NOR,W 28-27,0,0,,0,
48,1990,1990-10-14,5,26.111,ATL,,SFO,L 35-45,1,0,0.00,0,1.0
49,1990,1990-10-21,6,26.118,ATL,@,RAM,L 24-44,0,0,,0,
50,1991,1991-09-01,1,27.068,ATL,@,KAN,L 3-14,,,,,
51,1991,1991-09-08,2,27.075,ATL,,MIN,L 19-20,,,,,
52,1992,1992-09-06,1,28.073,ATL,,NYJ,W 20-17,,,,,
53,1992,1992-09-13,2,28.080,ATL,@,WAS,L 17-24,,,,,
54,1992,1992-09-20,3,28.087,ATL,,NOR,L 7-10,,,,,
55,1992,1992-09-27,4,28.094,ATL,@,CHI,L 31-41,,,,,
56,1992,1992-10-04,5,28.101,ATL,,GNB,W 24-10,,,,,
57,1992,1992-10-11,6,28.108,ATL,@,MIA,L 17-21,,,,,
58,1992,1992-10-18,7,28.115,ATL,@,SFO,L 17-56,,,,,
59,1992,1992-11-01,8,28.129,ATL,,RAM,W 30-28,,,,,
60,1992,1992-11-09,9,28.137,ATL,,SFO,L 3-41,,,,,
61,1992,1992-11-15,10,28.143,ATL,,PHO,W 20-17,,,,,
62,1992,1992-11-22,11,28.150,ATL,@,BUF,L 14-41,,,,,
63,1992,1992-11-29,12,28.157,ATL,,NWE,W 34-0,,,,,
64,1992,1992-12-03,13,28.161,ATL,@,NOR,L 14-22,,,,,
65,1992,1992-12-13,14,28.171,ATL,@,TAM,W 35-7,,,,,
66,1992,1992-12-21,15,28.179,ATL,,DAL,L 17-41,,,,,
67,1992,1992-12-27,16,28.185,ATL,@,RAM,L 27-38,,,,,
