ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-10,1,22.019,LAC,,DTX,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,160,40.00,0
2,1960,1960-09-18,2,22.027,LAC,@,HOU,L 28-38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,5,216,43.20,0
3,1960,1960-09-25,3,22.034,LAC,@,DTX,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,124,41.33,0
4,1960,1960-10-02,4,22.041,LAC,@,BUF,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,37,0,5,219,43.80,0
5,1960,1960-10-08,5,22.047,LAC,,BOS,L 0-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,243,40.50,0
6,1960,1960-10-16,6,22.055,LAC,@,DEN,W 23-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,198,39.60,0
7,1960,1960-10-28,7,22.067,LAC,@,BOS,W 45-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,119,39.67,0
8,1960,1960-11-04,8,22.074,LAC,@,NYT,W 21-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,165,33.00,0
9,1960,1960-11-13,9,22.083,LAC,,HOU,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,79,39.50,0
10,1960,1960-11-20,10,22.090,LAC,,BUF,L 3-32,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,220,44.00,0
