ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1973,1973-09-30,3,23.016,BUF,,NYJ,W 9-7,,,,,,,,,,,,,,,
2,1973,1973-10-07,4,23.023,BUF,,PHI,W 27-26,,,,,,,,,,,,,,,
3,1973,1973-10-14,5,23.030,BUF,,BAL,W 31-13,,,,,,,,,,,,,0,31,0
4,1973,1973-10-21,6,23.037,BUF,@,MIA,L 6-27,,,,,,,,,,,,,,,
5,1973,1973-10-29,7,23.045,BUF,,KAN,W 23-14,,,,,,,,,,,,,,,
6,1973,1973-11-04,8,23.051,BUF,@,NOR,L 0-13,,,,,,,,,,,,,,,
7,1973,1973-11-22,11,23.069,WAS,@,DET,W 20-0,,,,,,,,,,,,,,,
8,1973,1973-12-02,12,23.079,WAS,,NYG,W 27-24,,,,,,,,,,,,,,,
9,1973,1973-12-09,13,23.086,WAS,@,DAL,L 7-27,,,,,,,,,,,,,,,
10,1973,1973-12-16,14,23.093,WAS,,PHI,W 38-20,,,,,,,,,,,,,,,
11,1974,1974-09-15,1,24.001,WAS,@,NYG,W 13-10,,,,,,,,,,,,,,,
12,1974,1974-09-22,2,24.008,WAS,,STL,L 10-17,,,,,,,,,,,,,,,
13,1974,1974-09-30,3,24.016,WAS,,DEN,W 30-3,,,,,,,,,,,,,,,
14,1974,1974-10-06,4,24.022,WAS,@,CIN,L 17-28,,,,,,,,,,,,,,,
15,1974,1974-10-13,5,24.029,WAS,,MIA,W 20-17,0,0,,0,0,0,,0,0,0,,0,1,21,0
16,1974,1974-10-20,6,24.036,WAS,,NYG,W 24-3,,,,,,,,,,,,,,,
17,1974,1974-10-27,7,24.043,WAS,@,STL,L 20-23,,,,,,,,,,,,,,,
18,1974,1974-11-03,8,24.050,WAS,@,GNB,W 17-6,,,,,,,,,,,,,,,
19,1974,1974-11-10,9,24.057,WAS,@,PHI,W 27-20,0,0,,0,0,0,,0,0,0,,0,1,31,0
20,1974,1974-11-17,10,24.064,WAS,,DAL,W 28-21,,,,,,,,,,,,,,,
21,1974,1974-11-24,11,24.071,WAS,,PHI,W 26-7,0,0,,0,0,0,,0,0,0,,0,1,21,0
22,1974,1974-11-28,12,24.075,WAS,@,DAL,L 23-24,,,,,,,,,,,,,,,
23,1974,1974-12-09,13,24.086,WAS,@,RAM,W 23-17,0,0,,0,0,0,,0,1,2,2.00,0,1,0,0
24,1974,1974-12-15,14,24.092,WAS,,CHI,W 42-0,0,0,,0,0,0,,0,0,0,,0,1,22,0
25,1975,1975-09-21,1,25.007,WAS,,NOR,W 41-3,,,,,,,,,,,,,,,
26,1975,1975-09-28,2,25.014,WAS,,NYG,W 49-13,,,,,,,,,,,,,,,
27,1975,1975-10-05,3,25.021,WAS,@,PHI,L 10-26,,,,,,,,,,,,,,,
28,1976,1976-09-12,1,25.364,TAM,@,HOU,L 0-20,0,0,,0,0,0,,0,0,0,,0,1,21,0
29,1976,1976-09-19,2,26.005,TAM,,SDG,L 0-23,,,,,,,,,,,,,,,
30,1976,1976-09-26,3,26.012,TAM,,BUF,L 9-14,,,,,,,,,,,,,,,
31,1976,1976-10-03,4,26.019,TAM,@,BAL,L 17-42,,,,,,,,,,,,,,,
32,1976,1976-10-10,5,26.026,TAM,@,CIN,L 0-21,,,,,,,,,,,,,,,
33,1976,1976-10-17,6,26.033,TAM,,SEA,L 10-13,,,,,,,,,,,,,,,
34,1976,1976-10-24,7,26.040,TAM,,MIA,L 20-23,,,,,,,,,,,,,,,
35,1976,1976-10-31,8,26.047,TAM,,KAN,L 19-28,,,,,,,,,,,,,,,
36,1976,1976-11-07,9,26.054,TAM,@,DEN,L 13-48,,,,,,,,,,,,,,,
37,1976,1976-11-14,10,26.061,TAM,@,NYJ,L 0-34,,,,,,,,,,,,,,,
38,1976,1976-11-21,11,26.068,TAM,,CLE,L 7-24,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0
39,1976,1976-11-28,12,26.075,TAM,@,OAK,L 16-49,,,,,,,,,,,,,,,
40,1976,1976-12-05,13,26.082,TAM,@,PIT,L 0-42,,,,,,,,,,,,,,,
41,1976,1976-12-12,14,26.089,TAM,,NWE,L 14-31,0,0,,0,0,0,,0,0,0,,0,1,26,0
42,1977,1977-09-18,1,27.004,STL,@,DEN,L 0-7,1,40,40.00,0,0,0,,0,0,0,,0,0,0,0
43,1977,1977-09-25,2,27.011,STL,,CHI,W 16-13,,,,,,,,,,,,,,,
44,1977,1977-10-02,3,27.018,STL,@,WAS,L 14-24,,,,,,,,,,,,,,,
45,1977,1977-10-09,4,27.025,STL,,DAL,L 24-30,,,,,,,,,,,,,,,
46,1977,1977-10-16,5,27.032,STL,@,PHI,W 21-17,,,,,,,,,,,,,,,
47,1977,1977-10-23,6,27.039,STL,,NOR,W 49-31,,,,,,,,,,,,,,,
48,1977,1977-10-31,7,27.047,STL,,NYG,W 28-0,,,,,,,,,,,,,,,
49,1977,1977-11-06,8,27.053,STL,@,MIN,W 27-7,,,,,,,,,,,,,,,
