ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.187,HOU,@,NYG,L 14-34,0,0,,0,0.0,1,18,0
2,1973,1973-09-23,2,22.194,HOU,@,CIN,L 10-24,,,,,,,,
3,1973,1973-09-30,3,22.201,HOU,,PIT,L 7-36,,,,,,,,
4,1973,1973-10-07,4,22.208,HOU,,RAM,L 26-31,,,,,,,,
5,1973,1973-10-14,5,22.215,HOU,,DEN,L 20-48,,,,,,,,
6,1973,1973-10-21,6,22.222,HOU,@,CLE,L 13-42,,,,,,,,
7,1973,1973-10-28,7,22.229,HOU,@,CHI,L 14-35,,,,,,,,
8,1973,1973-11-04,8,22.236,HOU,@,BAL,W 31-27,,,,,,,,
9,1973,1973-11-11,9,22.243,HOU,,CLE,L 13-23,,,,,,,,
10,1973,1973-11-18,10,22.250,HOU,@,KAN,L 14-38,,,,,,,,
11,1973,1973-11-25,11,22.257,HOU,,NWE,L 0-32,,,,,,,,
12,1973,1973-12-02,12,22.264,HOU,,OAK,L 6-17,0,0,,0,0.0,1,4,0
13,1973,1973-12-09,13,22.271,HOU,@,PIT,L 7-33,,,,,,,,
14,1973,1973-12-16,14,22.278,HOU,,CIN,L 24-27,,,,,,,,
15,1974,1974-09-15,1,23.186,HOU,,SDG,W 21-14,,,,,,,,
16,1974,1974-09-22,2,23.193,HOU,@,CLE,L 7-20,,,,,,,,
17,1974,1974-09-29,3,23.200,HOU,,KAN,L 7-17,,,,,,,,
18,1974,1974-10-06,4,23.207,HOU,,PIT,L 7-13,,,,,,,,
19,1974,1974-10-13,5,23.214,HOU,@,MIN,L 10-51,,,,,,,,
20,1974,1974-10-20,6,23.221,HOU,,STL,L 27-31,,,,,,,,
21,1974,1974-10-27,7,23.228,HOU,@,CIN,W 34-21,,,,,,,,
22,1974,1974-11-03,8,23.235,HOU,@,NYJ,W 27-22,,,,,,,,
23,1974,1974-11-10,9,23.242,HOU,@,BUF,W 21-9,0,0,,0,0.0,2,5,0
24,1974,1974-11-17,10,23.249,HOU,,CIN,W 20-3,,,,,,,,
25,1974,1974-11-24,11,23.256,HOU,,DAL,L 0-10,,,,,,,,
26,1974,1974-12-01,12,23.263,HOU,@,PIT,W 13-10,0,0,,0,0.0,2,31,0
27,1974,1974-12-08,13,23.270,HOU,@,DEN,L 14-37,,,,,,,,
28,1974,1974-12-15,14,23.277,HOU,,CLE,W 28-24,,,,,,,,
29,1975,1975-09-21,1,24.192,HOU,@,NWE,W 7-0,,,,,,,,
30,1975,1975-09-28,2,24.199,HOU,,SDG,W 33-17,,,,,,,,
31,1975,1975-10-05,3,24.206,HOU,,CIN,L 19-21,,,,,,,,
32,1975,1975-10-12,4,24.213,HOU,@,CLE,W 40-10,0,0,,0,0.0,1,16,0
33,1975,1975-10-19,5,24.220,HOU,,WAS,W 13-10,,,,,,,,
34,1975,1975-10-26,6,24.227,HOU,,DET,W 24-8,,,,,,,,
35,1975,1975-11-02,7,24.234,HOU,@,KAN,W 17-13,,,,,,,,
36,1975,1975-11-09,8,24.241,HOU,@,PIT,L 17-24,,,,,,,,
37,1975,1975-11-16,9,24.248,HOU,,MIA,W 20-19,0,0,,0,0.0,1,26,0
38,1975,1975-11-24,10,24.256,HOU,,PIT,L 9-32,0,0,,0,0.0,1,6,0
39,1975,1975-11-30,11,24.262,HOU,@,CIN,L 19-23,,,,,,,,
40,1975,1975-12-07,12,24.269,HOU,@,SFO,W 27-13,,,,,,,,
41,1975,1975-12-14,13,24.276,HOU,@,OAK,W 27-26,0,0,,0,0.0,1,9,0
42,1975,1975-12-21,14,24.283,HOU,,CLE,W 21-10,,,,,,,,
43,1976,1976-09-12,1,25.183,HOU,,TAM,W 20-0,,,,,,,,
44,1976,1976-09-19,2,25.190,HOU,@,BUF,W 13-3,,,,,,,,
45,1976,1976-09-26,3,25.197,HOU,,OAK,L 13-14,,,,,,,,
46,1976,1976-10-03,4,25.204,HOU,@,NOR,W 31-26,,,,,,,,
47,1976,1976-10-10,5,25.211,HOU,,DEN,W 17-3,,,,,,,,
48,1976,1976-10-17,6,25.218,HOU,@,SDG,L 27-30,,,,,,,,
49,1976,1976-10-24,7,25.225,HOU,,CIN,L 7-27,,,,,,,,
50,1976,1976-11-01,8,25.233,HOU,@,BAL,L 14-38,,,,,,,,
51,1976,1976-11-07,9,25.239,HOU,,CLE,L 7-21,,,,,,,,
52,1976,1976-11-14,10,25.246,HOU,@,CIN,L 27-31,,,,,,,,
