ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,23.296,CIN,@,IND,W 24-21,,,0,0,,0,0.0%,,,
2,1995,1995-09-10,2,23.303,CIN,,JAX,W 24-17,,1,1,3,3.00,1,100.0%,3.00,1,6
3,1995,1995-09-17,3,23.310,CIN,@,SEA,L 21-24,,,0,0,,0,0.0%,,,
4,1995,1995-09-24,4,23.317,CIN,,HOU,L 28-38,,,0,0,,0,0.0%,,,
5,1995,1995-10-01,5,23.324,CIN,,MIA,L 23-26,,,0,0,,0,0.0%,,,
6,1995,1995-10-08,6,23.331,CIN,@,TAM,L 16-19,,,0,0,,0,0.0%,,,
7,1995,1995-10-19,7,23.342,CIN,@,PIT,W 27-9,,,0,0,,0,0.0%,,,
8,1995,1995-10-29,8,23.352,CIN,,CLE,L 26-29,,,0,0,,0,0.0%,,,
9,1995,1995-11-05,9,23.359,CIN,,OAK,L 17-20,,,0,0,,0,0.0%,,,
10,1995,1995-11-12,10,24.001,CIN,@,HOU,W 32-25,,,0,0,,0,0.0%,,,
11,1995,1995-11-19,11,24.008,CIN,,PIT,L 31-49,,1,1,9,9.00,0,100.0%,9.00,0,0
12,1995,1995-11-26,12,24.015,CIN,@,JAX,W 17-13,,0,0,0,,0,0.0%,,,
13,1995,1995-12-03,13,24.022,CIN,@,GNB,L 10-24,,,0,0,,0,0.0%,,,
14,1995,1995-12-10,14,24.029,CIN,,CHI,W 16-10,,0,0,0,,0,0.0%,,,
15,1995,1995-12-17,15,24.036,CIN,@,CLE,L 10-26,,0,0,0,,0,0.0%,,,
16,1995,1995-12-24,16,24.043,CIN,,MIN,W 27-24,,0,0,0,,0,0.0%,,,
17,1996,1996-09-01,1,24.295,CIN,@,STL,L 16-26,,,,,,,0.0%,,,
18,1996,1996-09-08,2,24.302,CIN,@,SDG,L 14-27,,,,,,,0.0%,,,
19,1996,1996-09-15,3,24.309,CIN,,NOR,W 30-15,,,,,,,0.0%,,,
