ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1986,1986-09-07,1,22.164,STL,,RAM,L 10-16,,,,
2,1986,1986-09-14,2,22.171,STL,@,ATL,L 13-33,,,,
3,1986,1986-09-21,3,22.178,STL,@,BUF,L 10-17,,,,
4,1986,1986-09-29,4,22.186,STL,,DAL,L 7-31,,,,
5,1986,1986-10-05,5,22.192,STL,,NYG,L 6-13,,,,
6,1986,1986-10-12,6,22.199,STL,@,TAM,W 30-19,,,,
7,1986,1986-10-19,7,22.206,STL,@,WAS,L 21-28,,,,
8,1986,1986-10-26,8,22.213,STL,@,DAL,L 6-37,,,,
9,1986,1986-11-02,9,22.220,STL,,PHI,W 13-10,,,,
10,1986,1986-11-09,10,22.227,STL,@,SFO,L 17-43,,,,
11,1986,1986-11-16,11,22.234,STL,,NOR,L 7-16,,,,
12,1986,1986-11-23,12,22.241,STL,,KAN,W 23-14,,,,
13,1986,1986-11-30,13,22.248,STL,,WAS,L 17-20,,,,
14,1986,1986-12-07,14,22.255,STL,@,PHI,T 10-10,,,,
15,1986,1986-12-14,15,22.262,STL,@,NYG,L 7-27,,,,
16,1986,1986-12-21,16,22.269,STL,,TAM,W 21-17,,,,
17,1987,1987-09-13,1,23.170,STL,,DAL,W 24-13,,,,
18,1987,1987-09-20,2,23.177,STL,@,SDG,L 24-28,,,,
19,1987,1987-10-25,6,23.212,STL,@,NYG,L 7-30,,,,
20,1987,1987-11-01,7,23.219,STL,,PHI,L 23-28,,,,
21,1987,1987-11-15,9,23.233,STL,,RAM,L 24-27,,,,
22,1987,1987-11-22,10,23.240,STL,@,PHI,W 31-19,,,,
23,1987,1987-11-29,11,23.247,STL,@,ATL,W 34-21,,,,
24,1987,1987-12-06,12,23.254,STL,,WAS,L 17-34,,,,
25,1987,1987-12-13,13,23.261,STL,,NYG,W 27-24,,,,
26,1987,1987-12-20,14,23.268,STL,@,TAM,W 31-14,,,,
27,1987,1987-12-27,15,23.275,STL,@,DAL,L 16-21,,,,
28,1989,1989-09-10,1,25.167,KAN,@,DEN,L 20-34,,,,
29,1989,1989-09-17,2,25.174,KAN,,RAI,W 24-19,,,,
30,1989,1989-09-24,3,25.181,KAN,@,SDG,L 6-21,,,,
31,1989,1989-10-01,4,25.188,KAN,,CIN,L 17-21,,,,
32,1989,1989-10-08,5,25.195,KAN,@,SEA,W 20-16,,,,
33,1989,1989-10-15,6,25.202,KAN,@,RAI,L 14-20,,,,
34,1989,1989-10-22,7,25.209,KAN,,DAL,W 36-28,,,,
35,1989,1989-10-29,8,25.216,KAN,@,PIT,L 17-23,,,,
36,1989,1989-11-05,9,25.223,KAN,,SEA,W 20-10,,,,
37,1989,1989-11-12,10,25.230,KAN,,DEN,L 13-16,,,,
38,1989,1989-11-19,11,25.237,KAN,@,CLE,T 10-10,,,,
39,1989,1989-11-26,12,25.244,KAN,,HOU,W 34-0,,,,
40,1989,1989-12-03,13,25.251,KAN,,MIA,W 26-21,,,,
41,1989,1989-12-10,14,25.258,KAN,@,GNB,W 21-3,,,,
42,1989,1989-12-17,15,25.265,KAN,,SDG,L 13-20,,,,
43,1989,1989-12-24,16,25.272,KAN,@,MIA,W 27-24,,,,
44,1990,1990-09-16,2,26.173,NWE,@,IND,W 16-14,,,,
45,1990,1990-09-23,3,26.180,NWE,@,CIN,L 7-41,,,,
46,1990,1990-09-30,4,26.187,NWE,,NYJ,L 13-37,,,,
47,1990,1990-10-07,5,26.194,NWE,,SEA,L 20-33,,,,
48,1991,1991-09-01,1,27.158,NWE,@,IND,W 16-7,,,,
49,1991,1991-09-08,2,27.165,NWE,,CLE,L 0-20,,,,
50,1991,1991-09-15,3,27.172,NWE,@,PIT,L 6-20,,,,
51,1991,1991-09-22,4,27.179,NWE,,HOU,W 24-20,,,,
52,1991,1991-09-29,5,27.186,NWE,@,PHO,L 10-24,,,,
53,1991,1991-10-06,6,27.193,NWE,,MIA,L 10-20,,,,
54,1991,1991-10-20,7,27.207,NWE,,MIN,W 26-23,,,,
55,1991,1991-10-27,8,27.214,NWE,,DEN,L 6-9,,,,
56,1991,1991-11-03,9,27.221,NWE,@,BUF,L 17-22,,,,
57,1991,1991-11-10,10,27.228,NWE,@,MIA,L 20-30,,,,
58,1991,1991-11-17,11,27.235,NWE,,NYJ,L 21-28,1,0,0.00,0
59,1991,1991-11-24,12,27.242,NWE,,BUF,W 16-13,,,,
60,1991,1991-12-01,13,27.249,NWE,@,DEN,L 3-20,,,,
61,1991,1991-12-08,14,27.256,NWE,,IND,W 23-17,,,,
62,1991,1991-12-15,15,27.263,NWE,@,NYJ,W 6-3,,,,
63,1991,1991-12-22,16,27.270,NWE,@,CIN,L 7-29,,,,
64,1992,1992-09-13,1,28.170,NWE,@,RAM,L 0-14,,,,
65,1992,1992-09-20,2,28.177,NWE,,SEA,L 6-10,,,,
66,1992,1992-09-27,3,28.184,NWE,,BUF,L 7-41,,,,
67,1992,1992-10-04,4,28.191,NWE,@,NYJ,L 21-30,,,,
68,1992,1992-10-11,5,28.198,NWE,,SFO,L 12-24,,,,
69,1992,1992-10-18,6,28.205,NWE,@,MIA,L 17-38,,,,
70,1992,1992-10-25,7,28.212,NWE,,CLE,L 17-19,,,,
71,1992,1992-11-01,8,28.219,NWE,@,BUF,L 7-16,,,,
72,1992,1992-11-08,9,28.226,NWE,,NOR,L 14-31,,,,
73,1992,1992-11-15,10,28.233,NWE,@,IND,W 37-34,,,,
74,1992,1992-11-22,11,28.240,NWE,,NYJ,W 24-3,,,,
75,1992,1992-11-29,12,28.247,NWE,@,ATL,L 0-34,,,,
76,1992,1992-12-06,13,28.254,NWE,,IND,L 0-6,,,,
77,1992,1992-12-13,14,28.261,NWE,@,KAN,L 20-27,,,,
78,1992,1992-12-20,15,28.268,NWE,@,CIN,L 10-20,,,,
79,1992,1992-12-27,16,28.275,NWE,,MIA,L 13-16,,,,
