ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-09,2,21.120,CIN,@,BUF,L 24-51,,,,,,,,,,,,,,,,,,,,,,,,,
2,1979,1979-09-16,3,21.127,CIN,,NWE,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,,
3,1979,1979-09-23,4,21.134,CIN,,HOU,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,
4,1979,1979-09-30,5,21.141,CIN,@,DAL,L 13-38,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1979,1979-10-07,6,21.148,CIN,,KAN,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
6,1979,1979-10-14,7,21.155,CIN,,PIT,W 34-10,,,,,,,,,,,,,,,,,,,,,,,,,
7,1979,1979-10-21,8,21.162,CIN,@,CLE,L 27-28,,,,,,,,,,,,,,,,,,,,,,,,,
8,1979,1979-10-28,9,21.169,CIN,,PHI,W 37-13,,,,,,,,,,,,,,,,,,,,,,,,,
9,1979,1979-11-04,10,21.176,CIN,@,BAL,L 28-38,,,,,,,,,,,,,,,,,,,,,,,,,
10,1979,1979-11-11,11,21.183,CIN,,SDG,L 24-26,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1979,1979-11-18,12,21.190,CIN,@,HOU,L 21-42,,,,,,,,,,,,,,,,,,,,,,,,,
12,1979,1979-11-25,13,21.197,CIN,,STL,W 34-28,,,,,,,,,,,,,,,,,,,,,,,,,
13,1979,1979-12-02,14,21.204,CIN,@,PIT,L 17-37,,,,,,,,,,,,,,,,,,,,,,,,,
