ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1971,1971-09-19,1,23.166,BUF,,DAL,L 37-49,2,35,17.50,0,1,3,3.00,0
2,1971,1971-09-26,2,23.173,BUF,,MIA,L 14-29,2,14,7.00,0,1,0,0.00,0
3,1971,1971-10-03,3,23.180,BUF,@,MIN,L 0-19,3,60,20.00,0,0,0,,0
4,1971,1971-10-10,4,23.187,BUF,,BAL,L 0-43,3,75,25.00,0,0,0,,0
5,1971,1971-10-17,5,23.194,BUF,@,NYJ,L 17-28,1,44,44.00,0,0,0,,0
6,1971,1971-10-23,6,23.200,BUF,@,SDG,L 3-20,0,0,,0,1,0,0.00,0
7,1971,1971-10-31,7,23.208,BUF,,STL,L 23-28,3,40,13.33,0,0,0,,0
8,1971,1971-11-07,8,23.215,BUF,@,MIA,L 0-34,3,53,17.67,0,1,10,10.00,0
9,1971,1971-11-14,9,23.222,BUF,@,NWE,L 33-38,2,50,25.00,0,0,0,,0
10,1971,1971-11-21,10,23.229,BUF,,NYJ,L 7-20,1,23,23.00,0,2,9,4.50,0
11,1971,1971-11-28,11,23.236,BUF,,NWE,W 27-20,0,0,,0,1,0,0.00,0
12,1971,1971-12-19,14,23.257,BUF,@,KAN,L 9-22,,,,,,,,
