ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,1,26.151,DET,@,GNB,L 9-28,,0,0,,0,0,0,,0,0,,,1,18,0
2,1960,1960-10-09,2,26.158,DET,,SFO,L 10-14,,0,0,,0,0,0,,0,0,,,1,26,0
3,1960,1960-11-20,8,26.200,DET,@,CHI,L 7-28,,,,,,,,,,,,,0,5,0
4,1961,1961-09-24,2,27.143,DET,@,BAL,W 16-15,,0,0,,0,0,0,,0,0,,,1,3,0
5,1961,1961-10-22,6,27.171,DET,,BAL,L 14-17,,0,0,,0,0,0,,0,0,,,1,0,0
6,1961,1961-10-29,7,27.178,DET,@,RAM,W 28-10,,0,0,,0,0,0,,0,0,,,1,11,0
7,1961,1961-12-10,13,27.220,DET,,MIN,W 13-7,,0,0,,0,0,0,,0,0,,,1,0,0
8,1961,1961-12-17,14,27.227,DET,,PHI,L 24-27,,0,0,,0,0,0,,0,0,,,1,2,0
9,1962,1962-09-30,3,28.149,DET,@,BAL,W 29-20,,0,0,,0,0,0,,0,0,,,1,20,0
10,1962,1962-10-14,5,28.163,DET,,RAM,W 13-10,,0,0,,0,0,0,,0,0,,,1,0,0
11,1963,1963-09-14,1,29.133,DET,@,RAM,W 23-2,,0,0,,0,0,0,,0,0,,,1,0,0
12,1963,1963-09-22,2,29.141,DET,@,GNB,L 10-31,,0,0,,0,0,0,,0,0,,,1,14,0
13,1964,1964-11-22,11,30.202,DET,,MIN,T 23-23,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,0
