ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.359,PIT,,DAL,L 7-37,,,,,,,,,,
2,1997,1997-09-07,2,23.001,PIT,,WAS,W 14-13,,,,,,,,,,
3,1997,1997-10-12,6,23.036,PIT,,IND,W 24-22,,,,,,,,,,
4,1997,1997-10-19,7,23.043,PIT,@,CIN,W 26-10,,,,,,,,,,
5,1997,1997-10-26,8,23.050,PIT,,JAX,W 23-17,,0,0,,0,0,0,1,-4,0
6,1997,1997-11-03,9,23.058,PIT,@,KAN,L 10-13,,,,,,,,,,
7,1997,1997-11-09,10,23.064,CIN,@,IND,W 28-13,,,,,,,,,,
8,1997,1997-11-16,11,23.071,PIT,,CIN,W 20-3,,,,,,,,,,
9,1997,1997-11-23,12,23.078,PIT,@,PHI,L 20-23,,,,,,,,,,
10,1997,1997-11-30,13,23.085,PIT,@,ARI,W 26-20,,,,,,,,,,
11,1997,1997-12-07,14,23.092,PIT,,DEN,W 35-24,,,,,,,,,,
12,1997,1997-12-13,15,23.098,PIT,@,NWE,W 24-21,,,,,,,,,,
13,1997,1997-12-21,16,23.106,PIT,@,TEN,L 6-16,,0,0,,0,0,0,1,0,0
14,1999,1999-09-12,1,25.006,PIT,@,CLE,W 43-0,*,,,,,,,,,
15,1999,1999-09-19,2,25.013,PIT,@,BAL,W 23-20,*,,,,,,,,,
16,1999,1999-09-26,3,25.020,PIT,,SEA,L 10-29,*,,,,,,,,,
17,1999,1999-10-03,4,25.027,PIT,,JAX,L 3-17,*,,,,,,,,,
18,1999,1999-10-10,5,25.034,PIT,@,BUF,L 21-24,*,,,,,,,,,
19,1999,1999-10-17,6,25.041,PIT,@,CIN,W 17-3,*,,,,,,,,,
20,1999,1999-10-25,7,25.049,PIT,,ATL,W 13-9,*,0,0,,0,0,0,1,16,0
21,1999,1999-11-07,8,25.062,PIT,@,SFO,W 27-6,*,,,,,,,,,
22,1999,1999-11-14,9,25.069,PIT,,CLE,L 15-16,*,,,,,,,,,
23,1999,1999-12-12,13,25.097,PIT,,BAL,L 24-31,,,,,,,,,,
24,1999,1999-12-18,14,25.103,PIT,@,KAN,L 19-35,*,,,,,,,,,
25,1999,1999-12-26,15,25.111,PIT,,CAR,W 30-20,*,,,,,,,,,
26,1999,2000-01-02,16,25.118,PIT,,TEN,L 36-47,*,,,,,,,,,
27,2000,2000-09-03,1,25.363,PIT,,BAL,L 0-16,,,,,,,,,,
28,2000,2000-09-17,2,26.011,PIT,@,CLE,L 20-23,*,,,,,,,,,
29,2000,2000-09-24,3,26.018,PIT,,TEN,L 20-23,*,0,0,,0,0,0,2,38,0
30,2000,2000-10-01,4,26.025,PIT,@,JAX,W 24-13,,,,,,,,,,
31,2000,2000-10-08,5,26.032,PIT,@,NYJ,W 20-3,,,,,,,,,,
