ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.060,HOU,,KAN,W 20-3,,3,2,33,16.50,0,66.7%,11.00,1,4,4.00,0,0,0,,0,4,14,3.50,0,,0,0,0.0,,
2,2007,2007-09-16,2,23.067,HOU,@,CAR,W 34-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,32,16.00,0,,0,0,0.0,,
3,2007,2007-09-23,3,23.074,HOU,,IND,L 24-30,*,4,3,26,8.67,0,75.0%,6.50,1,3,3.00,0,0,0,,0,2,86,43.00,0,,0,0,0.0,,
4,2007,2007-10-14,6,23.095,HOU,@,JAX,L 17-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
5,2007,2007-10-21,7,23.102,HOU,,TEN,L 36-38,*,3,3,11,3.67,0,100.0%,3.67,0,0,,0,2,41,20.50,0,1,5,5.00,0,,0,0,0.0,,
6,2007,2007-10-28,8,23.109,HOU,@,SDG,L 10-35,*,6,5,51,10.20,0,83.3%,8.50,0,0,,0,1,19,19.00,0,3,13,4.33,0,,0,0,0.0,,
7,2007,2007-11-04,9,23.116,HOU,@,OAK,W 24-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,22,11.00,0,,0,0,0.0,,
8,2007,2007-11-18,10,23.130,HOU,,NOR,W 23-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,31,10.33,0,,0,0,0.0,,
9,2007,2007-11-25,11,23.137,HOU,@,CLE,L 17-27,,2,1,14,14.00,0,50.0%,7.00,1,-8,-8.00,0,1,18,18.00,0,1,16,16.00,0,,0,0,0.0,,
10,2007,2007-12-02,12,23.144,HOU,@,TEN,L 20-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,-4,-1.33,0,,0,0,0.0,,
11,2007,2007-12-09,13,23.151,HOU,,TAM,W 28-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,4,2.00,0,,0,0,0.0,,
12,2007,2007-12-13,14,23.155,HOU,,DEN,W 31-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,5,2.50,0,,0,0,0.0,,
13,2007,2007-12-23,15,23.165,HOU,@,IND,L 15-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,,
14,2007,2007-12-30,16,23.172,HOU,,JAX,W 42-28,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,4,50,12.50,0,,0,0,0.0,,
15,2008,2008-09-07,1,24.058,HOU,@,PIT,L 17-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,5,2.50,0,,0,0,0.0,0,0
16,2008,2008-09-21,2,24.072,HOU,@,TEN,L 12-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,45,11.25,0,,0,0,0.0,0,0
17,2008,2008-09-28,3,24.079,HOU,@,JAX,L 27-30,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0
18,2008,2008-10-05,4,24.086,HOU,,IND,L 27-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2008,2008-10-12,5,24.093,HOU,,MIA,W 29-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,87,21.75,1,,1,6,0.0,0,0
20,2008,2008-10-19,6,24.100,HOU,,DET,W 28-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,-12,-6.00,0,,0,0,0.0,0,0
21,2008,2008-10-26,7,24.107,HOU,,CIN,W 35-6,,0,0,0,,0,0.0%,,0,0,,0,3,58,19.33,0,1,73,73.00,1,,1,6,0.0,0,0
22,2008,2008-11-02,8,24.114,HOU,@,MIN,L 21-28,,1,1,31,31.00,0,100.0%,31.00,0,0,,0,4,70,17.50,0,2,-1,-0.50,0,,0,0,0.0,0,0
23,2008,2008-11-09,9,24.121,HOU,,BAL,L 13-41,,2,1,45,45.00,0,50.0%,22.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
24,2008,2008-11-16,10,24.128,HOU,@,IND,L 27-33,,0,0,0,,0,0.0%,,0,0,,0,6,152,25.33,0,1,39,39.00,0,,0,0,0.0,0,0
25,2008,2008-11-23,11,24.135,HOU,@,CLE,W 16-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,18,9.00,0,,0,0,0.0,0,0
26,2008,2008-12-01,12,24.143,HOU,,JAX,W 30-17,,0,0,0,,0,0.0%,,1,-5,-5.00,0,0,0,,0,1,28,28.00,0,,0,0,0.0,0,0
27,2008,2008-12-07,13,24.149,HOU,@,GNB,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,20,4.00,0,,0,0,0.0,0,0
