ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1980,1980-09-07,1,22.345,NOR,,SFO,L 23-26,,,,
2,1980,1980-09-14,2,22.352,NOR,@,CHI,L 3-22,,,,
3,1980,1980-09-21,3,22.359,NOR,,BUF,L 26-35,,,,
4,1980,1980-09-28,4,23.000,NOR,@,MIA,L 16-21,,,,
5,1980,1980-10-05,5,23.007,NOR,,STL,L 7-40,,,,
6,1980,1980-10-12,6,23.014,NOR,@,DET,L 13-24,,,,
7,1980,1980-10-19,7,23.021,NOR,,ATL,L 14-41,,,,
8,1980,1980-11-30,13,23.063,NOR,,MIN,L 20-23,1,0,0.00,0
9,1980,1980-12-07,14,23.070,NOR,@,SFO,L 35-38,,,,
10,1980,1980-12-14,15,23.077,NOR,@,NYJ,W 21-20,,,,
11,1980,1980-12-21,16,23.084,NOR,,NWE,L 27-38,,,,
