ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,22.050,IND,@,BAL,W 24-7,,,,,,,,,,,,,
2,2005,2005-09-18,2,22.057,IND,,JAX,W 10-3,,,,,,,,,,,,,
3,2005,2005-09-25,3,22.064,IND,,CLE,W 13-6,,,,,,,,,,,,,
4,2005,2005-10-02,4,22.071,IND,@,TEN,W 31-10,,,,,,,,,,,,,
5,2005,2005-10-09,5,22.078,IND,@,SFO,W 28-3,,,,,,,,,,,,,
6,2005,2005-10-17,6,22.086,IND,,STL,W 45-28,,,,,,,,,,,,,
7,2005,2005-10-23,7,22.092,IND,@,HOU,W 38-20,,,,,,,,,,,,,
8,2005,2005-11-07,8,22.107,IND,@,NWE,W 40-21,,,,,,,,,,,,,
9,2005,2005-11-13,9,22.113,IND,,HOU,W 31-17,,,,,,,,,,,,,
10,2005,2005-11-20,10,22.120,IND,@,CIN,W 45-37,,,,,,,,,,,,,
11,2005,2005-11-28,11,22.128,IND,,PIT,W 26-7,,,,,,,,,,,,,
12,2005,2005-12-04,12,22.134,IND,,TEN,W 35-3,,,,,,,,,,,,,
13,2005,2005-12-11,13,22.141,IND,@,JAX,W 26-18,,,,,,,,,,,,,
14,2005,2005-12-18,14,22.148,IND,,SDG,L 17-26,,,,,,,,,,,,,
15,2005,2005-12-24,15,22.154,IND,@,SEA,L 13-28,,,,,,,,,,,,,
16,2005,2006-01-01,16,22.162,IND,,ARI,W 17-13,,,,,,,,,,,,,
17,2006,2006-09-10,1,23.049,IND,@,NYG,W 26-21,,,,,,,,,,,,,
18,2006,2006-09-17,2,23.056,IND,,HOU,W 43-24,,,,,,,,,,,,,
19,2006,2006-10-01,4,23.070,IND,@,NYJ,W 31-28,*,,,,,,,,,,,,
20,2006,2006-10-08,5,23.077,IND,,TEN,W 14-13,,,,,,,,,,,,,
21,2006,2006-10-22,6,23.091,IND,,WAS,W 36-22,,,,,,,,,,,,,
22,2006,2006-10-29,7,23.098,IND,@,DEN,W 34-31,,,,,,,,,,,,,
23,2006,2006-11-05,8,23.105,IND,@,NWE,W 27-20,,,,,,,,,,,,,
24,2006,2006-11-12,9,23.112,IND,,BUF,W 17-16,,,,,,,,,,,,,
25,2006,2006-11-19,10,23.119,IND,@,DAL,L 14-21,,,,,,,,,,,,,
26,2006,2006-11-26,11,23.126,IND,,PHI,W 45-21,,,,,,,,,,,,,
27,2006,2006-12-03,12,23.133,IND,@,TEN,L 17-20,,1,1,1.00,0,0,0,0.0,,,0,0,0
28,2006,2006-12-10,13,23.140,IND,@,JAX,L 17-44,,,,,,,,,,,,,
29,2006,2006-12-18,14,23.148,IND,,CIN,W 34-16,,,,,,,,,,,,,
30,2006,2006-12-24,15,23.154,IND,@,HOU,L 24-27,,,,,,,,,,,,,
31,2006,2006-12-31,16,23.161,IND,,MIA,W 27-22,,,,,,,,,,,,,
32,2007,2007-09-06,1,24.045,IND,,NOR,W 41-10,*,,,,,,,,,,,,
33,2007,2007-09-16,2,24.055,IND,@,TEN,W 22-20,*,,,,,,,,,,,,
34,2007,2007-09-23,3,24.062,IND,@,HOU,W 30-24,*,,,,,,,,,,,,
35,2007,2007-09-30,4,24.069,IND,,DEN,W 38-20,*,,,,,,,,,,,,
36,2007,2007-10-07,5,24.076,IND,,TAM,W 33-14,*,,,,,,,,,,,,
37,2007,2007-10-22,6,24.091,IND,@,JAX,W 29-7,*,0,0,,0,0,0,0.0,,,1,0,0
38,2007,2007-10-28,7,24.097,IND,@,CAR,W 31-7,*,,,,,,,,,,,,
39,2007,2007-11-04,8,24.104,IND,,NWE,L 20-24,*,,,,,,,,,,,,
40,2007,2007-11-11,9,24.111,IND,@,SDG,L 21-23,*,,,,,,,,,,,,
41,2007,2007-11-18,10,24.118,IND,,KAN,W 13-10,*,,,,,,,,,,,,
42,2007,2007-11-22,11,24.122,IND,@,ATL,W 31-13,*,0,0,,0,0,0,0.0,,,1,-3,0
43,2007,2007-12-02,12,24.132,IND,,JAX,W 28-25,*,,,,,,,,,,,,
44,2007,2007-12-09,13,24.139,IND,@,BAL,W 44-20,*,0,0,,0,0,0,0.0,,,1,20,0
45,2007,2007-12-16,14,24.146,IND,@,OAK,W 21-14,*,,,,,,,,,,,,
46,2007,2007-12-23,15,24.153,IND,,HOU,W 38-15,*,,,,,,,,,,,,
47,2007,2007-12-30,16,24.160,IND,,TEN,L 10-16,*,,,,,,,,,,,,
48,2008,2008-09-07,1,25.046,IND,,CHI,L 13-29,*,0,0,,0,0,0,0.0,2,0,0,0,0
49,2008,2008-09-14,2,25.053,IND,@,MIN,W 18-15,*,0,0,,0,0,0,0.0,5,2,0,0,0
50,2008,2008-09-21,3,25.060,IND,,JAX,L 21-23,*,0,0,,0,0,0,0.0,3,1,1,28,0
51,2008,2008-10-05,4,25.074,IND,@,HOU,W 31-27,*,0,0,,0,0,0,0.0,4,0,0,0,0
52,2008,2008-11-23,11,25.123,IND,@,SDG,W 23-20,*,0,0,,0,0,0,0.0,3,3,0,0,0
53,2008,2008-11-30,12,25.130,IND,@,CLE,W 10-6,*,0,0,,0,0,0,0.0,4,0,0,0,0
54,2008,2008-12-07,13,25.137,IND,,CIN,W 35-3,*,0,0,,0,1,6,0.0,4,0,2,107,1
55,2008,2008-12-14,14,25.144,IND,,DET,W 31-21,*,0,0,,0,0,0,0.0,6,0,0,0,0
56,2008,2008-12-18,15,25.148,IND,@,JAX,W 31-24,*,0,0,,0,0,0,0.0,4,0,0,0,0
57,2008,2008-12-28,16,25.158,IND,,TEN,W 23-0,*,0,0,,0,0,0,0.0,1,0,0,0,0
58,2009,2009-09-13,1,26.052,IND,,JAX,W 14-12,*,0,0,,0,0,0,0.0,3,2,0,0,0
59,2009,2009-09-21,2,26.060,IND,@,MIA,W 27-23,*,0,0,,0,0,0,0.0,5,0,0,0,0
60,2009,2009-10-25,6,26.094,IND,@,STL,W 42-6,*,0,0,,0,0,0,0.0,4,0,1,6,0
61,2009,2009-11-01,7,26.101,IND,,SFO,W 18-14,*,0,0,,0,0,0,0.0,4,0,0,0,0
62,2009,2009-12-06,12,26.136,IND,,TEN,W 27-17,,0,0,,0,0,0,0.0,2,0,0,0,0
63,2009,2009-12-13,13,26.143,IND,,DEN,W 28-16,*,0,0,,0,0,0,0.0,5,2,0,0,0
64,2009,2009-12-17,14,26.147,IND,@,JAX,W 35-31,*,0,0,,0,0,0,0.0,8,1,0,0,0
65,2009,2009-12-27,15,26.157,IND,,NYJ,L 15-29,*,0,0,,0,0,0,0.0,4,3,0,0,0
66,2009,2010-01-03,16,26.164,IND,@,BUF,L 7-30,*,0,0,,0,0,0,0.0,7,0,0,0,0
67,2010,2010-09-12,1,27.051,IND,@,HOU,L 24-34,*,0,0,,0,0,0,0.0,4,2,0,0,0
68,2010,2010-09-19,2,27.058,IND,,NYG,W 38-14,*,0,0,,0,0,0,0.0,6,2,0,0,0
69,2010,2010-09-26,3,27.065,IND,@,DEN,W 27-13,*,0,0,,0,0,0,0.0,10,0,0,0,0
70,2010,2010-10-03,4,27.072,IND,@,JAX,L 28-31,*,0,0,,0,0,0,0.0,0,1,0,0,0
71,2010,2010-10-10,5,27.079,IND,,KAN,W 19-9,*,0,0,,0,0,0,0.0,3,1,0,0,0
72,2010,2010-10-17,6,27.086,IND,@,WAS,W 27-24,*,0,0,,0,0,0,0.0,4,2,0,0,0
73,2010,2010-11-01,7,27.101,IND,,HOU,W 30-17,*,0,0,,0,1,6,0.0,4,1,1,25,1
74,2010,2010-11-07,8,27.107,IND,@,PHI,L 24-26,*,0,0,,0,0,0,0.0,2,0,0,0,0
75,2010,2010-11-14,9,27.114,IND,,CIN,W 23-17,*,0,0,,0,1,6,0.0,5,4,1,31,1
76,2010,2010-11-21,10,27.121,IND,@,NWE,L 28-31,*,0,0,,0,0,0,0.0,2,3,0,0,0
77,2010,2010-11-28,11,27.128,IND,,SDG,L 14-36,*,0,0,,0,0,0,0.0,3,2,0,0,0
78,2011,2011-09-18,2,28.057,ATL,,PHI,W 35-31,*,0,0,,0,0,0,0.0,3,0,1,2,0
79,2011,2011-10-02,4,28.071,ATL,@,SEA,W 30-28,,0,0,,0,0,0,0.0,0,2,0,0,0
