ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.311,BUF,,NWE,W 31-0,,,,,,,,,,,,,,
2,2003,2003-09-14,2,23.318,BUF,@,JAX,W 38-17,,,,,,,,,,,,,,
3,2003,2003-09-21,3,23.325,BUF,@,MIA,L 7-17,,,,,,,,,,,,,,
4,2003,2003-09-28,4,23.332,BUF,,PHI,L 13-23,,,,,,,,,,,,,,
5,2003,2003-10-05,5,23.339,BUF,,CIN,W 22-16,,,,,,,,,,,,,,
6,2003,2003-10-12,6,23.346,BUF,@,NYJ,L 3-30,,,,,,,,,,,,,,
7,2003,2003-10-19,7,23.353,BUF,,WAS,W 24-7,,,,,,,,,,,,,,
8,2003,2003-10-26,8,23.360,BUF,@,KAN,L 5-38,,,,,,,,,,,,,,
9,2003,2003-11-09,9,24.009,BUF,@,DAL,L 6-10,,,,,,,,,,,,,,
10,2003,2003-11-16,10,24.016,BUF,,HOU,L 10-12,,,,,,,,,,,,,,
11,2003,2003-11-23,11,24.023,BUF,,IND,L 14-17,,,,,,,,,,,,,,
12,2003,2003-11-30,12,24.030,BUF,@,NYG,W 24-7,,,,,,,,,,,,,,
13,2003,2003-12-07,13,24.037,BUF,,NYJ,W 17-6,,,,,,,,,,,,,,
14,2003,2003-12-14,14,24.044,BUF,@,TEN,L 26-28,,,,,,,,,,,,,,
15,2003,2003-12-21,15,24.051,BUF,,MIA,L 3-20,,,,,,,,,,,,,,
16,2003,2003-12-27,16,24.057,BUF,@,NWE,L 0-31,,,,,,,,,,,,,,
17,2004,2004-09-12,1,24.317,BUF,,JAX,L 10-13,,,,,,,,,,,,,,
18,2004,2004-09-19,2,24.324,BUF,@,OAK,L 10-13,*,,,,,,,,,,,,,
19,2004,2004-10-03,3,24.338,BUF,,NWE,L 17-31,,,,,,,,,,,,,,
20,2004,2004-10-10,4,24.345,BUF,@,NYJ,L 14-16,*,0,0,,0,,0,0,1.0,,,0,0,0
21,2004,2004-10-17,5,24.352,BUF,,MIA,W 20-13,,,,,,,,,,,,,,
22,2004,2004-10-24,6,24.359,BUF,@,BAL,L 6-20,,,,,,,,,,,,,,
23,2004,2004-10-31,7,25.000,BUF,,ARI,W 38-14,,,,,,,,,,,,,,
24,2004,2004-11-07,8,25.007,BUF,,NYJ,W 22-17,*,0,0,,0,,0,0,1.0,,,0,0,0
25,2004,2004-11-14,9,25.014,BUF,@,NWE,L 6-29,*,0,0,,0,,0,0,1.0,,,0,0,0
26,2004,2004-11-21,10,25.021,BUF,,STL,W 37-17,*,,,,,,,,,,,,,
27,2004,2004-11-28,11,25.028,BUF,@,SEA,W 38-9,*,,,,,,,,,,,,,
28,2004,2004-12-05,12,25.035,BUF,@,MIA,W 42-32,,0,0,,0,,0,0,0.5,,,0,0,0
29,2004,2004-12-12,13,25.042,BUF,,CLE,W 37-7,*,0,0,,0,,0,0,1.0,,,0,0,0
30,2004,2004-12-19,14,25.049,BUF,@,CIN,W 33-17,*,0,0,,0,,0,0,0.0,,,1,3,0
31,2004,2004-12-26,15,25.056,BUF,@,SFO,W 41-7,*,,,,,,,,,,,,,
32,2004,2005-01-02,16,25.063,BUF,,PIT,L 24-29,*,1,14,14.00,0,,0,0,0.0,,,0,0,0
33,2005,2005-09-11,1,25.315,BUF,,HOU,W 22-7,*,0,0,,0,,0,0,1.0,,,0,0,0
34,2005,2005-09-18,2,25.322,BUF,@,TAM,L 3-19,*,,,,,,,,,,,,,
35,2005,2005-09-25,3,25.329,BUF,,ATL,L 16-24,*,0,0,,0,,0,0,0.0,,,1,17,0
36,2005,2005-10-02,4,25.336,BUF,@,NOR,L 7-19,*,,,,,,,,,,,,,
37,2005,2005-10-09,5,25.343,BUF,,MIA,W 20-14,*,0,0,,0,,0,0,1.0,,,0,0,0
38,2005,2005-10-16,6,25.350,BUF,,NYJ,W 27-17,*,,,,,,,,,,,,,
39,2005,2005-10-23,7,25.357,BUF,@,OAK,L 17-38,*,,,,,,,,,,,,,
40,2005,2005-10-30,8,25.364,BUF,@,NWE,L 16-21,*,0,0,,0,,0,0,0.5,,,0,0,0
41,2005,2005-11-13,9,26.013,BUF,,KAN,W 14-3,*,,,,,,,,,,,,,
42,2005,2005-11-20,10,26.020,BUF,@,SDG,L 10-48,*,,,,,,,,,,,,,
43,2005,2005-11-27,11,26.027,BUF,,CAR,L 9-13,*,,,,,,,,,,,,,
44,2005,2005-12-04,12,26.034,BUF,@,MIA,L 23-24,*,,,,,,,,,,,,,
45,2005,2005-12-11,13,26.041,BUF,,NWE,L 7-35,*,,,,,,,,,,,,,
46,2005,2005-12-17,14,26.047,BUF,,DEN,L 17-28,*,,,,,,,,,,,,,
47,2005,2005-12-24,15,26.054,BUF,@,CIN,W 37-27,*,,,,,,,,,,,,,
48,2005,2006-01-01,16,26.062,BUF,@,NYJ,L 26-30,*,,,,,,,,,,,,,
49,2006,2006-09-10,1,26.314,BUF,@,NWE,L 17-19,*,0,0,,0,,0,0,1.0,,,0,0,0
50,2006,2006-09-17,2,26.321,BUF,@,MIA,W 16-6,*,0,0,,0,,0,0,1.0,,,0,0,0
51,2006,2006-09-24,3,26.328,BUF,,NYJ,L 20-28,*,0,0,,0,,0,0,1.0,,,0,0,0
52,2006,2006-10-01,4,26.335,BUF,,MIN,W 17-12,*,,,,,,,,,,,,,
53,2006,2006-10-08,5,26.342,BUF,@,CHI,L 7-40,*,,,,,,,,,,,,,
54,2006,2006-10-15,6,26.349,BUF,@,DET,L 17-20,*,0,0,,0,,0,0,1.0,,,0,0,0
55,2006,2006-10-22,7,26.356,BUF,,NWE,L 6-28,*,0,0,,0,,0,0,1.0,,,0,0,0
56,2006,2006-11-05,8,27.005,BUF,,GNB,W 24-10,*,,,,,,,,,,,,,
57,2006,2006-11-12,9,27.012,BUF,@,IND,L 16-17,*,,,,,,,,,,,,,
58,2006,2006-11-19,10,27.019,BUF,@,HOU,W 24-21,*,,,,,,,,,,,,,
59,2006,2006-11-26,11,27.026,BUF,,JAX,W 27-24,*,,,,,,,,,,,,,
60,2006,2006-12-03,12,27.033,BUF,,SDG,L 21-24,*,,,,,,,,,,,,,
61,2006,2006-12-10,13,27.040,BUF,@,NYJ,W 31-13,*,,,,,,,,,,,,,
