ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1973,1973-11-18,10,22.197,BUF,,MIA,L 0-17,2,42,21.00,0,1,12,12.00,0,0,0
2,1973,1973-11-25,11,22.204,BUF,@,BAL,W 24-17,,,,,,,,,,
3,1973,1973-12-02,12,22.211,BUF,@,ATL,W 17-6,,,,,,,,,,
4,1973,1973-12-09,13,22.218,BUF,,NWE,W 37-13,,,,,,,,,,
5,1973,1973-12-16,14,22.225,BUF,@,NYJ,W 34-14,0,0,,0,3,61,20.33,1,1,6
6,1974,1974-09-16,1,23.134,BUF,,OAK,W 21-20,0,0,,0,1,13,13.00,0,0,0
7,1974,1974-09-22,2,23.140,BUF,,MIA,L 16-24,0,0,,0,1,6,6.00,0,0,0
8,1974,1974-09-29,3,23.147,BUF,,NYJ,W 16-12,,,,,,,,,,
9,1974,1974-10-06,4,23.154,BUF,@,GNB,W 27-7,0,0,,0,1,13,13.00,0,0,0
10,1974,1974-10-13,5,23.161,BUF,@,BAL,W 27-14,1,26,26.00,0,4,13,3.25,0,0,0
11,1974,1974-10-20,6,23.168,BUF,,NWE,W 30-28,,,,,,,,,,
12,1974,1974-10-27,7,23.175,BUF,,CHI,W 16-6,,,,,,,,,,
13,1974,1974-11-03,8,23.182,BUF,@,NWE,W 29-28,,,,,,,,,,
14,1974,1974-11-10,9,23.189,BUF,,HOU,L 9-21,,,,,,,,,,
15,1974,1974-11-17,10,23.196,BUF,@,MIA,L 28-35,0,0,,0,1,2,2.00,0,0,0
16,1974,1974-11-24,11,23.203,BUF,@,CLE,W 15-10,,,,,,,,,,
17,1974,1974-12-01,12,23.210,BUF,,BAL,W 6-0,0,0,,0,1,0,0.00,0,0,0
18,1974,1974-12-08,13,23.217,BUF,@,NYJ,L 10-20,,,,,,,,,,
19,1974,1974-12-15,14,23.224,BUF,@,RAM,L 14-19,0,0,,0,1,15,15.00,0,0,0
