ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1992,1992-10-04,5,24.283,KAN,@,DEN,L 19-20,,0,0,,0,0.0%,
2,1992,1992-10-11,6,24.290,KAN,,PHI,W 24-17,1,1,13,13.00,0,100.0%,13.00
3,1992,1992-10-18,7,24.297,KAN,@,DAL,L 10-17,1,0,0,,0,0.0%,0.00
4,1992,1992-10-25,8,24.304,KAN,,PIT,L 3-27,,0,0,,0,0.0%,
5,1992,1992-11-08,9,24.318,KAN,,SDG,W 16-14,,0,0,,0,0.0%,
6,1992,1992-11-15,10,24.325,KAN,,WAS,W 35-16,3,2,31,15.50,0,66.7%,10.33
7,1992,1992-11-22,11,24.332,KAN,@,SEA,W 24-14,2,2,14,7.00,0,100.0%,7.00
8,1992,1992-11-29,12,24.339,KAN,@,NYJ,W 23-7,2,2,22,11.00,0,100.0%,11.00
9,1992,1992-12-06,13,24.346,KAN,@,RAI,L 7-28,4,2,28,14.00,0,50.0%,7.00
10,1992,1992-12-13,14,24.353,KAN,,NWE,W 27-20,2,0,0,,0,0.0%,0.00
11,1992,1992-12-19,15,24.359,KAN,@,NYG,L 21-35,10,6,76,12.67,0,60.0%,7.60
12,1992,1992-12-27,16,25.001,KAN,,DEN,W 42-20,4,2,21,10.50,0,50.0%,5.25
