ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,21.326,KAN,,CIN,L 10-23,,1,4,4.00,0,0.0,,,0,0,0
2,2006,2006-09-17,2,21.333,KAN,@,DEN,L 6-9,,,,,,,,,,,
3,2006,2006-10-01,3,21.347,KAN,,SFO,W 41-0,,,,,,,,,,,
4,2006,2006-10-08,4,21.354,KAN,@,ARI,W 23-20,,,,,,,,,,,
5,2006,2006-10-15,5,21.361,KAN,@,PIT,L 7-45,,,,,,,,,,,
6,2006,2006-10-22,6,22.003,KAN,,SDG,W 30-27,,,,,,,,,,,
7,2006,2006-10-29,7,22.010,KAN,,SEA,W 35-28,,,,,,,,,,,
8,2006,2006-11-05,8,22.017,KAN,@,STL,W 31-17,,,,,,,,,,,
9,2006,2006-11-12,9,22.024,KAN,@,MIA,L 10-13,*,,,,,,,,,,
10,2006,2006-11-19,10,22.031,KAN,,OAK,W 17-13,*,0,0,,0,0.0,,,1,0,0
11,2006,2006-11-23,11,22.035,KAN,,DEN,W 19-10,,,,,,,,,,,
12,2006,2006-12-03,12,22.045,KAN,@,CLE,L 28-31,,,,,,,,,,,
13,2006,2006-12-10,13,22.052,KAN,,BAL,L 10-20,,,,,,,,,,,
14,2006,2006-12-17,14,22.059,KAN,@,SDG,L 9-20,,,,,,,,,,,
15,2006,2006-12-23,15,22.065,KAN,@,OAK,W 20-9,,0,0,,0,1.0,,,2,30,0
16,2006,2006-12-31,16,22.073,KAN,,JAX,W 35-30,,,,,,,,,,,
17,2007,2007-09-09,1,22.325,KAN,@,HOU,L 3-20,*,0,0,,0,0.0,,,1,0,0
18,2007,2007-09-16,2,22.332,KAN,@,CHI,L 10-20,*,,,,,,,,,,
19,2007,2007-09-23,3,22.339,KAN,,MIN,W 13-10,*,,,,,,,,,,
20,2007,2007-09-30,4,22.346,KAN,@,SDG,W 30-16,*,,,,,,,,,,
21,2007,2007-10-07,5,22.353,KAN,,JAX,L 7-17,*,,,,,,,,,,
22,2007,2007-10-14,6,22.360,KAN,,CIN,W 27-20,*,,,,,,,,,,
23,2007,2007-10-21,7,23.002,KAN,@,OAK,W 12-10,*,0,0,,0,0.0,,,1,37,0
24,2007,2007-11-04,8,23.016,KAN,,GNB,L 22-33,*,,,,,,,,,,
25,2007,2007-11-11,9,23.023,KAN,,DEN,L 11-27,*,,,,,,,,,,
26,2007,2007-11-18,10,23.030,KAN,@,IND,L 10-13,*,0,0,,0,0.0,,,1,0,0
27,2007,2007-11-25,11,23.037,KAN,,OAK,L 17-20,*,,,,,,,,,,
28,2007,2007-12-02,12,23.044,KAN,,SDG,L 10-24,*,,,,,,,,,,
29,2007,2007-12-09,13,23.051,KAN,@,DEN,L 7-41,*,,,,,,,,,,
30,2007,2007-12-16,14,23.058,KAN,,TEN,L 17-26,*,,,,,,,,,,
31,2007,2007-12-23,15,23.065,KAN,@,DET,L 20-25,*,,,,,,,,,,
32,2007,2007-12-30,16,23.072,KAN,@,NYJ,L 10-13,*,,,,,,,,,,
33,2008,2008-09-07,1,23.324,KAN,@,NWE,L 10-17,*,0,0,,0,0.0,5,2,0,0,0
34,2008,2008-09-14,2,23.331,KAN,,OAK,L 8-23,*,0,0,,0,0.0,4,3,0,0,0
35,2008,2008-09-21,3,23.338,KAN,@,ATL,L 14-38,*,0,0,,0,0.0,3,1,0,0,0
36,2008,2008-09-28,4,23.345,KAN,,DEN,W 33-19,*,0,0,,0,0.0,4,0,0,0,0
37,2008,2008-10-05,5,23.352,KAN,@,CAR,L 0-34,*,0,0,,0,0.0,1,2,1,0,0
38,2008,2008-10-19,6,24.000,KAN,,TEN,L 10-34,*,0,0,,0,0.0,7,0,0,0,0
39,2008,2008-10-26,7,24.007,KAN,@,NYJ,L 24-28,*,0,0,,0,0.0,3,0,1,0,0
40,2008,2008-11-02,8,24.014,KAN,,TAM,L 27-30,*,0,0,,0,0.0,1,2,0,0,0
41,2008,2008-11-09,9,24.021,KAN,@,SDG,L 19-20,*,0,0,,0,0.0,1,0,0,0,0
42,2008,2008-11-16,10,24.028,KAN,,NOR,L 20-30,*,0,0,,0,0.0,4,2,1,2,0
43,2008,2008-11-23,11,24.035,KAN,,BUF,L 31-54,*,0,0,,0,0.0,2,2,0,0,0
44,2008,2008-11-30,12,24.042,KAN,@,OAK,W 20-13,*,0,0,,0,0.0,5,1,0,0,0
45,2008,2008-12-07,13,24.049,KAN,@,DEN,L 17-24,*,0,0,,0,0.0,8,1,0,0,0
46,2008,2008-12-14,14,24.056,KAN,,SDG,L 21-22,*,0,0,,0,0.0,4,2,0,0,0
47,2008,2008-12-21,15,24.063,KAN,,MIA,L 31-38,*,0,0,,0,0.0,7,2,1,0,0
48,2008,2008-12-28,16,24.070,KAN,@,CIN,L 6-16,*,0,0,,0,0.0,3,2,0,0,0
49,2009,2009-09-13,1,24.329,KAN,@,BAL,L 24-38,*,0,0,,0,0.0,6,0,0,0,0
50,2009,2009-09-20,2,24.336,KAN,,OAK,L 10-13,*,0,0,,0,0.0,1,0,0,0,0
51,2009,2009-09-27,3,24.343,KAN,@,PHI,L 14-34,*,0,0,,0,0.0,3,0,0,0,0
52,2009,2009-10-04,4,24.350,KAN,,NYG,L 16-27,*,0,0,,0,0.0,4,0,0,0,0
53,2009,2009-10-11,5,24.357,KAN,,DAL,L 20-26,*,0,0,,0,0.0,5,0,0,0,0
54,2010,2010-09-12,1,25.328,NWE,,CIN,W 38-24,,,,,,,,,,,
55,2010,2010-09-19,2,25.335,NWE,@,NYJ,L 14-28,,,,,,,,,,,
56,2010,2010-09-26,3,25.342,NWE,,BUF,W 38-30,,0,0,,0,0.0,1,0,0,0,0
57,2010,2010-10-04,4,25.350,NWE,@,MIA,W 41-14,,0,0,,0,0.0,0,0,1,0,0
58,2010,2010-10-17,5,25.363,NWE,,BAL,W 23-20,,0,0,,0,0.0,0,1,0,0,0
59,2010,2010-12-06,12,26.048,NWE,,NYJ,W 45-3,,0,0,,0,0.0,3,2,0,0,0
60,2010,2010-12-12,13,26.054,NWE,@,CHI,W 36-7,,0,0,,0,0.0,1,0,0,0,0
61,2010,2010-12-19,14,26.061,NWE,,GNB,W 31-27,,0,0,,0,0.0,2,1,0,0,0
