ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1979,1979-09-02,1,23.120,WAS,,HOU,L 27-29,,,,,,,,,,,,,
2,1979,1979-09-09,2,23.127,WAS,@,DET,W 27-24,,1,23,23.00,0,,,0,0,,0,0,0
3,1979,1979-09-17,3,23.135,WAS,,NYG,W 27-0,,,,,,,,,,,,,
4,1979,1979-09-23,4,23.141,WAS,@,STL,W 17-7,,1,6,6.00,0,,,0,0,,0,0,0
5,1979,1979-09-30,5,23.148,WAS,@,ATL,W 16-7,,1,14,14.00,0,,,0,0,,0,0,0
6,1979,1979-10-07,6,23.155,WAS,@,PHI,L 17-28,,1,12,12.00,0,,,0,0,,0,0,0
7,1979,1979-10-14,7,23.162,WAS,@,CLE,W 13-9,,4,32,8.00,0,,,0,0,,0,0,0
8,1979,1979-10-21,8,23.169,WAS,,PHI,W 17-7,,1,9,9.00,0,,,0,0,,0,0,0
9,1979,1979-10-28,9,23.176,WAS,,NOR,L 10-14,,2,31,15.50,0,,,0,0,,0,0,0
10,1979,1979-11-04,10,23.183,WAS,@,PIT,L 7-38,,1,13,13.00,0,,,0,0,,0,0,0
11,1979,1979-11-11,11,23.190,WAS,,STL,W 30-28,,3,40,13.33,0,,,0,0,,0,0,0
12,1979,1979-11-18,12,23.197,WAS,,DAL,W 34-20,,1,7,7.00,0,,,0,0,,0,0,0
13,1979,1979-11-25,13,23.204,WAS,@,NYG,L 6-14,,2,21,10.50,0,,,0,0,,0,0,0
14,1979,1979-12-02,14,23.211,WAS,,GNB,W 38-21,,3,40,13.33,0,,,0,0,,0,0,0
15,1979,1979-12-09,15,23.218,WAS,,CIN,W 28-14,,4,46,11.50,0,,,0,0,,0,0,0
16,1979,1979-12-16,16,23.225,WAS,@,DAL,L 34-35,,1,9,9.00,0,,,0,0,,0,0,0
17,1980,1980-09-14,2,24.132,WAS,@,NYG,W 23-21,,1,16,16.00,0,,,0,0,,0,0,0
