ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.032,PHI,,NYG,W 23-17,,,,,,,,,,
2,1979,1979-09-10,2,22.040,PHI,,ATL,L 10-14,1,10,10.00,0,0,0,,0,0,0
3,1979,1979-09-16,3,22.046,PHI,@,NOR,W 26-14,,,,,,,,,,
4,1979,1979-09-23,4,22.053,PHI,@,NYG,W 17-13,,,,,,,,,,
5,1979,1979-09-30,5,22.060,PHI,,PIT,W 17-14,,,,,,,,,,
6,1979,1979-10-07,6,22.067,PHI,,WAS,W 28-17,,,,,,,,,,
7,1979,1979-10-14,7,22.074,PHI,@,STL,W 24-20,,,,,,,,,,
8,1979,1979-10-21,8,22.081,PHI,@,WAS,L 7-17,,,,,,,,,,
9,1979,1979-10-28,9,22.088,PHI,@,CIN,L 13-37,,,,,,,,,,
10,1979,1979-11-04,10,22.095,PHI,,CLE,L 19-24,,,,,,,,,,
11,1979,1979-11-12,11,22.103,PHI,@,DAL,W 31-21,,,,,,,,,,
12,1979,1979-11-18,12,22.109,PHI,,STL,W 16-13,,,,,,,,,,
13,1979,1979-11-25,13,22.116,PHI,@,GNB,W 21-10,,,,,,,,,,
14,1979,1979-12-02,14,22.123,PHI,,DET,W 44-7,,,,,,,,,,
15,1979,1979-12-08,15,22.129,PHI,,DAL,L 17-24,,,,,,,,,,
16,1979,1979-12-16,16,22.137,PHI,@,HOU,W 26-20,1,14,14.00,0,0,0,,0,0,0
17,1980,1980-09-07,1,23.037,PHI,,DEN,W 27-6,3,29,9.67,1,0,0,,0,1,6
18,1980,1980-09-14,2,23.044,PHI,@,MIN,W 42-7,2,16,8.00,0,0,0,,0,0,0
19,1980,1980-09-22,3,23.052,PHI,,NYG,W 35-3,0,0,,0,1,0,0.00,0,0,0
20,1980,1980-09-28,4,23.058,PHI,@,STL,L 14-24,2,22,11.00,0,0,0,,0,0,0
21,1980,1980-10-05,5,23.065,PHI,,WAS,W 24-14,,,,,,,,,,
22,1980,1980-10-12,6,23.072,PHI,@,NYG,W 31-16,,,,,,,,,,
23,1980,1980-10-19,7,23.079,PHI,,DAL,W 17-10,1,20,20.00,0,0,0,,0,0,0
24,1980,1980-10-26,8,23.086,PHI,,CHI,W 17-14,,,,,,,,,,
25,1980,1980-11-02,9,23.093,PHI,@,SEA,W 27-20,1,10,10.00,0,0,0,,0,0,0
26,1980,1980-11-09,10,23.100,PHI,@,NOR,W 34-21,,,,,,,,,,
27,1980,1980-11-16,11,23.107,PHI,@,WAS,W 24-0,1,14,14.00,1,0,0,,0,1,6
28,1980,1980-11-23,12,23.114,PHI,,OAK,W 10-7,3,32,10.67,0,0,0,,0,0,0
29,1980,1980-11-30,13,23.121,PHI,@,SDG,L 21-22,,,,,,,,,,
30,1980,1980-12-07,14,23.128,PHI,,ATL,L 17-20,3,38,12.67,1,0,0,,0,1,6
31,1980,1980-12-14,15,23.135,PHI,,STL,W 17-3,1,0,0.00,0,0,0,,0,0,0
32,1980,1980-12-21,16,23.142,PHI,@,DAL,L 27-35,1,12,12.00,0,0,0,,0,0,0
33,1981,1981-09-06,1,24.036,PHI,@,NYG,W 24-10,1,6,6.00,0,0,0,,0,0,0
34,1981,1981-09-13,2,24.043,PHI,,NWE,W 13-3,0,0,,0,,,,,,
35,1981,1981-09-17,3,24.047,PHI,@,BUF,W 20-14,0,0,,0,,,,,,
36,1981,1981-09-27,4,24.057,PHI,,WAS,W 36-13,0,0,,0,,,,,,
37,1981,1981-11-01,9,24.092,PHI,,DAL,L 14-17,1,28,28.00,0,0,0,,0,0,0
38,1981,1981-11-08,10,24.099,PHI,@,STL,W 52-10,0,0,,0,,,,,,
39,1981,1981-11-15,11,24.106,PHI,,BAL,W 38-13,1,15,15.00,0,0,0,,0,0,0
40,1981,1981-11-30,13,24.121,PHI,@,MIA,L 10-13,0,0,,0,,,,,,
41,1981,1981-12-06,14,24.127,PHI,@,WAS,L 13-15,1,17,17.00,0,0,0,,0,0,0
42,1981,1981-12-13,15,24.134,PHI,@,DAL,L 10-21,2,17,8.50,0,0,0,,0,0,0
43,1981,1981-12-20,16,24.141,PHI,,STL,W 38-0,0,0,,0,,,,,,
44,1982,1982-09-12,1,25.042,PHI,,WAS,L 34-37,4,57,14.25,0,0,0,,0,0,0
45,1982,1982-09-19,2,25.049,PHI,@,CLE,W 24-21,2,21,10.50,0,0,0,,0,0,0
46,1982,1982-11-21,3,25.112,PHI,,CIN,L 14-18,4,32,8.00,0,0,0,,0,0,0
47,1982,1982-11-28,4,25.119,PHI,@,WAS,L 9-13,4,34,8.50,0,0,0,,0,0,0
48,1982,1982-12-05,5,25.126,PHI,,STL,L 20-23,2,13,6.50,1,0,0,,0,1,6
49,1982,1982-12-11,6,25.132,PHI,@,NYG,L 7-23,3,74,24.67,0,0,0,,0,0,0
50,1982,1982-12-19,7,25.140,PHI,,HOU,W 35-14,1,5,5.00,0,0,0,,0,0,0
51,1982,1982-12-26,8,25.147,PHI,@,DAL,W 24-20,3,37,12.33,0,0,0,,0,0,0
52,1982,1983-01-02,9,25.154,PHI,,NYG,L 24-26,3,40,13.33,1,0,0,,0,1,6
53,1984,1984-09-02,1,27.032,PHI,@,NYG,L 27-28,1,10,10.00,0,0,0,,0,0,0
54,1984,1984-09-09,2,27.039,PHI,,MIN,W 19-17,8,62,7.75,1,0,0,,0,1,6
55,1984,1984-09-16,3,27.046,PHI,@,DAL,L 17-23,8,80,10.00,0,0,0,,0,0,0
56,1984,1984-09-23,4,27.053,PHI,,SFO,L 9-21,0,0,,0,,,,,,
57,1984,1984-09-30,5,27.060,PHI,@,WAS,L 0-20,2,20,10.00,0,0,0,,0,0,0
58,1984,1984-10-07,6,27.067,PHI,@,BUF,W 27-17,5,68,13.60,0,0,0,,0,0,0
59,1984,1984-10-14,7,27.074,PHI,,IND,W 16-7,7,46,6.57,0,0,0,,0,0,0
60,1984,1984-10-21,8,27.081,PHI,,NYG,W 24-10,3,36,12.00,0,0,0,,0,0,0
61,1984,1984-10-28,9,27.088,PHI,,STL,L 14-34,2,26,13.00,0,0,0,,0,0,0
62,1984,1984-11-04,10,27.095,PHI,@,DET,T 23-23,4,63,15.75,0,0,0,,0,0,0
63,1984,1984-11-11,11,27.102,PHI,@,MIA,L 23-24,4,39,9.75,0,0,0,,0,0,0
64,1984,1984-11-18,12,27.109,PHI,,WAS,W 16-10,2,26,13.00,0,0,0,,0,0,0
65,1984,1984-11-25,13,27.116,PHI,@,STL,L 16-17,3,29,9.67,0,0,0,,0,0,0
66,1984,1984-12-02,14,27.123,PHI,,DAL,L 10-26,11,114,10.36,0,0,0,,0,0,0
67,1984,1984-12-09,15,27.130,PHI,,NWE,W 27-17,1,16,16.00,0,0,0,,0,0,0
68,1984,1984-12-16,16,27.137,PHI,@,ATL,L 10-26,4,66,16.50,0,0,0,,0,0,0
69,1985,1985-09-08,1,28.038,PHI,@,NYG,L 0-21,3,55,18.33,0,0,0,,0,0,0
70,1985,1985-09-15,2,28.045,PHI,,RAM,L 6-17,3,21,7.00,0,0,0,,0,0,0
71,1985,1985-09-22,3,28.052,PHI,@,WAS,W 19-6,2,46,23.00,0,0,0,,0,0,0
72,1985,1985-09-29,4,28.059,PHI,,NYG,L 10-16,4,42,10.50,0,0,0,,0,0,0
73,1985,1985-10-06,5,28.066,PHI,@,NOR,L 21-23,12,124,10.33,2,0,0,,0,2,12
74,1985,1985-10-13,6,28.073,PHI,,STL,W 30-7,4,60,15.00,1,0,0,,0,1,6
75,1985,1985-10-20,7,28.080,PHI,,DAL,W 16-14,6,72,12.00,0,0,0,,0,0,0
76,1985,1985-10-27,8,28.087,PHI,,BUF,W 21-17,2,18,9.00,0,0,0,,0,0,0
77,1985,1985-11-03,9,28.094,PHI,@,SFO,L 13-24,3,56,18.67,0,0,0,,0,0,0
78,1985,1985-11-10,10,28.101,PHI,,ATL,W 23-17,2,28,14.00,0,0,0,,0,0,0
79,1985,1985-11-17,11,28.108,PHI,@,STL,W 24-14,3,37,12.33,0,0,0,,0,0,0
80,1985,1985-11-24,12,28.115,PHI,@,DAL,L 17-34,6,47,7.83,0,0,0,,0,0,0
81,1985,1985-12-01,13,28.122,PHI,,MIN,L 23-28,5,69,13.80,1,0,0,,0,1,6
82,1985,1985-12-08,14,28.129,PHI,,WAS,L 12-17,4,39,9.75,0,0,0,,0,0,0
83,1985,1985-12-15,15,28.136,PHI,@,SDG,L 14-20,5,58,11.60,1,0,0,,0,1,6
84,1985,1985-12-22,16,28.143,PHI,@,MIN,W 37-35,0,0,,0,,,,,,
85,1986,1986-09-07,1,29.037,PHI,@,WAS,L 14-41,2,24,12.00,0,0,0,,0,0,0
86,1986,1986-09-14,2,29.044,PHI,@,CHI,L 10-13,1,2,2.00,0,0,0,,0,0,0
87,1986,1986-09-21,3,29.051,PHI,,DEN,L 7-33,4,24,6.00,0,0,0,,0,0,0
88,1986,1986-09-28,4,29.058,PHI,,RAM,W 34-20,4,48,12.00,1,0,0,,0,1,6
89,1986,1986-10-05,5,29.065,PHI,@,ATL,W 16-0,1,6,6.00,0,0,0,,0,0,0
90,1986,1986-10-12,6,29.072,PHI,@,NYG,L 3-35,4,40,10.00,0,0,0,,0,0,0
91,1986,1986-10-19,7,29.079,PHI,,DAL,L 14-17,2,13,6.50,0,0,0,,0,0,0
92,1986,1986-10-26,8,29.086,PHI,,SDG,W 23-7,7,72,10.29,0,0,0,,0,0,0
93,1986,1986-11-02,9,29.093,PHI,@,STL,L 10-13,2,28,14.00,0,0,0,,0,0,0
94,1986,1986-11-09,10,29.100,PHI,,NYG,L 14-17,0,0,,0,,,,,,
95,1986,1986-11-16,11,29.107,PHI,,DET,L 11-13,0,0,,0,,,,,,
96,1986,1986-11-23,12,29.114,PHI,@,SEA,L 20-24,3,44,14.67,0,0,0,,0,0,0
97,1986,1986-11-30,13,29.121,PHI,@,RAI,W 33-27,3,33,11.00,0,0,0,,0,0,0
98,1986,1986-12-14,15,29.135,PHI,@,DAL,W 23-21,2,32,16.00,0,0,0,,0,0,0
99,1986,1986-12-21,16,29.142,PHI,,WAS,L 14-21,4,31,7.75,0,0,0,,0,0,0
100,1987,1987-09-13,1,30.043,PHI,@,WAS,L 24-34,6,61,10.17,0,0,0,,0,0,0
101,1987,1987-09-20,2,30.050,PHI,,NOR,W 27-17,4,37,9.25,0,0,0,,0,0,0
102,1987,1987-10-25,6,30.085,PHI,,DAL,W 37-20,2,15,7.50,2,0,0,,0,2,12
103,1987,1987-11-01,7,30.092,PHI,@,STL,W 28-23,3,47,15.67,0,0,0,,0,0,0
104,1987,1987-11-08,8,30.099,PHI,,WAS,W 31-27,1,8,8.00,0,0,0,,0,0,0
105,1987,1987-11-15,9,30.106,PHI,,NYG,L 17-20,2,26,13.00,0,0,0,,0,0,0
106,1987,1987-11-22,10,30.113,PHI,,STL,L 19-31,4,28,7.00,0,0,0,,0,0,0
107,1987,1987-11-29,11,30.120,PHI,@,NWE,W 34-31,5,58,11.60,0,0,0,,0,0,0
108,1987,1987-12-06,12,30.127,PHI,@,NYG,L 20-23,1,8,8.00,0,0,0,,0,0,0
109,1987,1987-12-13,13,30.134,PHI,,MIA,L 10-28,4,31,7.75,0,0,0,,0,0,0
110,1987,1987-12-20,14,30.141,PHI,@,NYJ,W 38-27,1,7,7.00,0,0,0,,0,0,0
111,1987,1987-12-27,15,30.148,PHI,,BUF,W 17-7,3,24,8.00,0,0,0,,0,0,0
112,1988,1988-09-04,1,31.034,SEA,@,DEN,W 21-14,0,0,,0,,,,,,
113,1988,1988-09-11,2,31.041,SEA,,KAN,W 31-10,0,0,,0,,,,,,
114,1988,1988-09-18,3,31.048,SEA,@,SDG,L 6-17,0,0,,0,,,,,,
115,1988,1988-09-25,4,31.055,SEA,,SFO,L 7-38,0,0,,0,,,,,,
116,1988,1988-10-02,5,31.062,SEA,@,ATL,W 31-20,0,0,,0,,,,,,
117,1988,1988-10-09,6,31.069,SEA,@,CLE,W 16-10,0,0,,0,,,,,,
118,1988,1988-10-16,7,31.076,SEA,,NOR,L 19-20,0,0,,0,,,,,,
119,1988,1988-10-23,8,31.083,SEA,@,RAM,L 10-31,0,0,,0,,,,,,
120,1988,1988-10-30,9,31.090,SEA,,SDG,W 17-14,0,0,,0,,,,,,
121,1988,1988-11-06,10,31.097,SEA,,BUF,L 3-13,0,0,,0,,,,,,
122,1988,1988-11-13,11,31.104,SEA,,HOU,W 27-24,2,21,10.50,0,0,0,,0,0,0
123,1988,1988-11-20,12,31.111,SEA,@,KAN,L 24-27,1,0,0.00,0,0,0,,0,0,0
124,1988,1988-11-28,13,31.119,SEA,,RAI,W 35-27,0,0,,0,,,,,,
125,1988,1988-12-04,14,31.125,SEA,@,NWE,L 7-13,0,0,,0,,,,,,
126,1988,1988-12-11,15,31.132,SEA,,DEN,W 42-14,2,19,9.50,1,0,0,,0,1,6
127,1988,1988-12-18,16,31.139,SEA,@,RAI,W 43-37,0,0,,0,,,,,,
128,1989,1989-11-19,11,32.110,GNB,@,SFO,W 21-17,0,0,,0,,,,,,
129,1989,1989-11-26,12,32.117,GNB,,MIN,W 20-19,0,0,,0,,,,,,
130,1989,1989-12-03,13,32.124,GNB,@,TAM,W 17-16,0,0,,0,,,,,,
131,1989,1989-12-10,14,32.131,GNB,,KAN,L 3-21,1,14,14.00,0,0,0,,0,0,0
132,1989,1989-12-17,15,32.138,GNB,@,CHI,W 40-28,1,-1,-1.00,0,0,0,,0,0,0
133,1989,1989-12-24,16,32.145,GNB,@,DAL,W 20-10,0,0,,0,,,,,,
