ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2015,2015-11-05,9,24.068,CLE,@,CIN,L 10-31,,0,0,0,,0,0.0%,
2,2015,2015-11-30,11,24.093,CLE,,BAL,L 27-33,,1,0,0,,0,0.0%,0.00
3,2015,2015-12-06,12,24.099,CLE,,CIN,L 3-37,,1,1,7,7.00,0,100.0%,7.00
4,2015,2015-12-13,13,24.106,CLE,,SFO,W 24-10,,0,0,0,,0,0.0%,
5,2015,2015-12-20,14,24.113,CLE,@,SEA,L 13-30,,0,0,0,,0,0.0%,
6,2015,2015-12-27,15,24.120,CLE,@,KAN,L 13-17,,0,0,0,,0,0.0%,
7,2015,2016-01-03,16,24.127,CLE,,PIT,L 12-28,,0,0,0,,0,0.0%,
