ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-10-13,6,23.029,HOU,@,ATL,W 23-13,,,,,,,,,,,
2,1996,1996-10-20,7,23.036,HOU,,PIT,W 23-13,,,,,,,,,,,
3,1996,1996-10-27,8,23.043,HOU,,SFO,L 9-10,,,,,,,,,,,
4,1996,1996-11-03,9,23.050,HOU,@,SEA,L 16-23,,,,,,,,,,,
5,1996,1996-11-10,10,23.057,HOU,@,NOR,W 31-14,,,,,,,,,,,
6,1996,1996-11-17,11,23.064,HOU,,MIA,L 20-23,,,,,,,,,,,
7,1996,1996-11-24,12,23.071,HOU,,CAR,L 6-31,,,,,,,,,,,
8,1996,1996-12-22,16,23.099,CIN,,IND,W 31-24,,,,,,,,,,,
9,1997,1997-08-31,1,23.351,TEN,,OAK,W 24-21,,,,,,,,,,,
10,1997,1997-09-07,2,23.358,TEN,@,MIA,L 13-16,,,,,,,,,,,
11,1997,1997-09-21,4,24.007,BUF,,IND,W 37-35,,,,,,,,,,,
12,1997,1997-09-28,4,24.014,TEN,@,PIT,L 24-37,,,,,,,,,,,
13,1997,1997-10-05,5,24.021,TEN,@,SEA,L 13-16,,,,,,,,,,,
14,1997,1997-10-12,6,24.028,TEN,,CIN,W 30-7,,,,,,,,,,,
15,1997,1997-10-19,7,24.035,TEN,,WAS,W 28-14,,,,,,,,,,,
16,1997,1997-10-26,8,24.042,TEN,@,ARI,W 41-14,,,,,,,,,,,
17,1997,1997-11-02,9,24.049,TEN,,JAX,L 24-30,,,,,,,,,,,
18,1997,1997-11-09,10,24.056,TEN,,NYG,W 10-6,,,,,,,,,,,
19,1997,1997-11-16,11,24.063,TEN,@,JAX,L 9-17,,,,,,,,,,,
20,1997,1997-11-23,12,24.070,TEN,,BUF,W 31-14,,,,,,,,,,,
21,1997,1997-11-27,13,24.074,TEN,@,DAL,W 27-14,,,,,,,,,,,
22,1997,1997-12-04,14,24.081,TEN,@,CIN,L 14-41,,,,,,,,,,,
23,1997,1997-12-14,15,24.091,MIA,@,IND,L 0-41,,,,,,,,,,,
24,1997,1997-12-21,16,24.098,TEN,,PIT,W 16-6,,,,,,,,,,,
25,1998,1998-09-06,1,24.357,TEN,@,CIN,W 23-14,,,,,,,,,,,
26,1998,1998-09-13,2,24.364,TEN,,SDG,L 7-13,,,,,,,,,,,
27,1998,1998-09-20,3,25.006,TEN,@,NWE,L 16-27,,,,,,,,,,,
28,1998,1998-09-27,4,25.013,TEN,,JAX,L 22-27,,,,,,,,,,,
29,1998,1998-10-18,6,25.034,TEN,,CIN,W 44-14,,,,,,,,,,,
30,1998,1998-10-25,7,25.041,TEN,,CHI,L 20-23,,,,,,,,,,,
31,1998,1998-11-01,8,25.048,TEN,@,PIT,W 41-31,,,,,,,,,,,
32,1998,1998-11-08,9,25.055,TEN,@,TAM,W 31-22,,,,,,,,,,,
33,1998,1998-11-15,10,25.062,TEN,,PIT,W 23-14,,,,,,,,,,,
34,1998,1998-11-22,11,25.069,TEN,,NYJ,L 3-24,,,,,,,,,,,
35,1998,1998-11-29,12,25.076,TEN,@,SEA,L 18-20,,,,,,,,,,,
36,1998,1998-12-13,14,25.090,TEN,@,JAX,W 16-13,,,,,,,,,,,
37,1998,1998-12-20,15,25.097,TEN,@,GNB,L 22-30,,,,,,,,,,,
38,1998,1998-12-26,16,25.103,TEN,,MIN,L 16-26,,,,,,,,,,,
39,1999,1999-09-12,1,25.363,TEN,,CIN,W 36-35,,,,,,,,,,,
40,1999,1999-09-19,2,26.005,TEN,,CLE,W 26-9,,,,,,,,,,,
