ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1954,1954-10-10,2,21.196,CLE,,CRD,W 31-7,3,11,3.67,0,0,0,,0,0,0,,0,0,,,,,,
2,1954,1954-10-24,4,21.210,CLE,@,CRD,W 35-3,4,11,2.75,0,2,39,19.50,0,0,0,,0,0,,,,,,
3,1954,1954-10-31,5,21.217,CLE,,NYG,W 24-14,2,-1,-0.50,0,0,0,,0,0,0,,0,0,,,,,,
4,1954,1954-11-07,6,21.224,CLE,,WAS,W 62-3,7,21,3.00,0,1,2,2.00,0,0,0,,0,0,,,,,,
5,1954,1954-11-14,7,21.231,CLE,@,CHI,W 39-10,11,90,8.18,1,1,20,20.00,0,0,0,,0,0,,,,,,
6,1954,1954-11-21,8,21.238,CLE,,PHI,W 6-0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,
7,1954,1954-11-28,9,21.245,CLE,@,NYG,W 16-7,2,4,2.00,0,0,0,,0,0,0,,0,0,,,,,,
8,1954,1954-12-05,10,21.252,CLE,@,WAS,W 34-14,5,34,6.80,0,1,4,4.00,0,0,0,,0,0,,,,,,
9,1954,1954-12-12,11,21.259,CLE,,PIT,W 42-7,12,94,7.83,3,0,0,,0,0,0,,0,0,,,,,,
10,1954,1954-12-19,12,21.266,CLE,,DET,L 10-14,12,29,2.42,0,1,15,15.00,0,0,0,,0,0,,,,,,
11,1957,1957-09-29,1,24.185,CLE,,NYG,W 6-3,17,16,0.94,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
12,1957,1957-10-05,2,24.191,CLE,@,PIT,W 23-12,11,40,3.64,0,0,0,,0,1,1,100.00,32,1,0,158.3,0,0,32.00,52.00
13,1957,1957-10-13,3,24.199,CLE,,PHI,W 24-7,8,89,11.13,1,0,0,,0,0,0,,0,0,,,,,,
14,1957,1957-10-20,4,24.206,CLE,@,PHI,L 7-17,3,3,1.00,0,0,0,,0,0,0,,0,0,,,,,,
15,1957,1957-10-27,5,24.213,CLE,@,CRD,W 17-7,21,74,3.52,0,0,0,,0,0,0,,0,0,,,,,,
16,1957,1957-11-03,6,24.220,CLE,,WAS,W 21-17,20,50,2.50,0,0,0,,0,0,0,,0,0,,,,,,
17,1957,1957-11-10,7,24.227,CLE,,PIT,W 24-0,16,38,2.38,0,0,0,,0,0,0,,0,0,,,,,,
18,1957,1957-11-17,8,24.234,CLE,@,WAS,T 30-30,14,26,1.86,1,0,0,,0,0,0,,0,0,,,,,,
19,1957,1957-11-24,9,24.241,CLE,,RAM,W 45-31,4,0,0.00,0,1,19,19.00,0,0,0,,0,0,,,,,,
20,1957,1957-12-01,10,24.248,CLE,,CRD,W 31-0,6,21,3.50,1,1,8,8.00,0,0,0,,0,0,,,,,,
21,1957,1957-12-08,11,24.255,CLE,@,DET,L 7-20,5,18,3.60,0,1,11,11.00,0,0,0,,0,0,,,,,,
