ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,21.205,MIN,,TAM,W 31-7,,5,4,95,23.75,2,80.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
2,1998,1998-09-13,2,21.212,MIN,@,STL,W 38-31,,8,6,89,14.83,0,75.0%,11.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
3,1998,1998-09-20,3,21.219,MIN,,DET,W 29-6,,10,5,37,7.40,1,50.0%,3.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
4,1998,1998-09-27,4,21.226,MIN,@,CHI,W 31-28,,4,2,52,26.00,1,50.0%,13.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
5,1998,1998-10-05,5,21.234,MIN,@,GNB,W 37-24,,6,5,190,38.00,2,83.3%,31.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
6,1998,1998-10-18,6,21.247,MIN,,WAS,W 41-7,,10,5,64,12.80,0,50.0%,6.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,,,0,0,0
7,1998,1998-10-25,7,21.254,MIN,@,DET,W 34-13,,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
8,1998,1998-11-01,8,21.261,MIN,@,TAM,L 24-27,,2,2,52,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
9,1998,1998-11-08,9,21.268,MIN,,NOR,W 31-24,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
10,1998,1998-11-15,10,21.275,MIN,,CIN,W 24-3,,6,4,99,24.75,1,66.7%,16.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
11,1998,1998-11-22,11,21.282,MIN,,GNB,W 28-14,,11,8,153,19.13,1,72.7%,13.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
12,1998,1998-11-26,12,21.286,MIN,@,DAL,W 46-36,,8,3,163,54.33,3,37.5%,20.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,,,0,0,0
13,1998,1998-12-06,13,21.296,MIN,,CHI,W 48-22,,10,8,106,13.25,3,80.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,,,0,0,0
14,1998,1998-12-13,14,21.303,MIN,@,BAL,W 38-28,,19,6,89,14.83,1,31.6%,4.68,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
15,1998,1998-12-20,15,21.310,MIN,,JAX,W 50-10,,8,3,72,24.00,1,37.5%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
16,1998,1998-12-26,16,21.316,MIN,@,TEN,W 26-16,,11,5,32,6.40,1,45.5%,2.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
17,1999,1999-09-12,1,22.211,MIN,@,ATL,W 17-14,*,5,3,24,8.00,0,60.0%,4.80,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
18,1999,1999-09-19,2,22.218,MIN,,OAK,L 17-22,*,7,4,86,21.50,0,57.1%,12.29,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
19,1999,1999-09-26,3,22.225,MIN,@,GNB,L 20-23,*,5,2,13,6.50,1,40.0%,2.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
20,1999,1999-10-03,4,22.232,MIN,,TAM,W 21-14,*,7,4,120,30.00,2,57.1%,17.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
21,1999,1999-10-10,5,22.239,MIN,,CHI,L 22-24,*,11,8,122,15.25,0,72.7%,11.09,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,0,0.00,0,,0,0,0.0,,,0,0,0
22,1999,1999-10-17,6,22.246,MIN,@,DET,L 23-25,*,13,10,125,12.50,1,76.9%,9.62,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
23,1999,1999-10-24,7,22.253,MIN,,SFO,W 40-16,*,4,1,24,24.00,0,25.0%,6.00,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
