ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1996,1996-09-08,2,22.047,NWE,@,BUF,L 10-17,,17,6,76,12.67,1,35.3%,4.47,0,0,,0,0,0,,0,0,0,,,,,,1,6
2,1996,1996-09-15,3,22.054,NWE,,ARI,W 31-0,,9,5,66,13.20,0,55.6%,7.33,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0
3,1996,1996-09-22,4,22.061,NWE,,JAX,W 28-25,,12,6,89,14.83,0,50.0%,7.42,0,0,,0,0,0,,0,0,0,,,,,,0,0
4,1996,1996-10-06,5,22.075,NWE,@,BAL,W 46-38,,9,6,88,14.67,0,66.7%,9.78,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0
5,1996,1996-10-13,6,22.082,NWE,,WAS,L 22-27,,15,7,84,12.00,0,46.7%,5.60,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
6,1996,1996-10-20,7,22.089,NWE,@,IND,W 27-9,,7,3,29,9.67,1,42.9%,4.14,0,0,,0,0,0,,0,0,0,,,,,,1,6
7,1996,1996-10-27,8,22.096,NWE,,BUF,W 28-25,,9,4,65,16.25,0,44.4%,7.22,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,1996,1996-11-03,9,22.103,NWE,,MIA,W 42-23,,13,10,112,11.20,0,76.9%,8.62,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1996,1996-11-10,10,22.110,NWE,@,NYJ,W 31-27,,9,6,83,13.83,1,66.7%,9.22,1,26,26.00,0,0,0,,0,0,0,,,,,,1,6
10,1996,1996-11-17,11,22.117,NWE,,DEN,L 8-34,,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,1996,1996-11-24,12,22.124,NWE,,IND,W 27-13,,11,7,82,11.71,1,63.6%,7.45,0,0,,0,0,0,,0,0,0,,,,,,1,6
12,1996,1996-12-01,13,22.131,NWE,@,SDG,W 45-7,,9,5,63,12.60,1,55.6%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
13,1996,1996-12-08,14,22.138,NWE,,NYJ,W 34-10,,16,7,66,9.43,0,43.8%,4.13,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1996,1996-12-15,15,22.145,NWE,@,DAL,L 6-12,,15,8,83,10.38,0,53.3%,5.53,0,0,,0,0,0,,0,0,0,,,,,,0,0
15,1996,1996-12-21,16,22.151,NWE,@,NYG,W 23-22,,12,8,124,15.50,1,66.7%,10.33,1,-2,-2.00,0,0,0,,0,0,0,,,,,,1,6
