ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1972,1972-10-16,5,23.170,DET,,GNB,L 23-24
2,1972,1972-10-22,6,23.176,DET,,SDG,W 34-20
3,1972,1972-10-30,7,23.184,DET,@,DAL,L 24-28
4,1972,1972-11-05,8,23.190,DET,,CHI,W 14-0
5,1972,1972-11-12,9,23.197,DET,@,MIN,L 14-16
6,1972,1972-11-19,10,23.204,DET,,NOR,W 27-14
7,1972,1972-11-23,11,23.208,DET,,NYJ,W 37-20
8,1972,1972-12-03,12,23.218,DET,@,GNB,L 7-33
9,1972,1972-12-10,13,23.225,DET,@,BUF,T 21-21
10,1972,1972-12-17,14,23.232,DET,@,RAM,W 34-17
