ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-22,3,24.042,DET,,GNB,L 31-37,,,,,,,,,,,,,
2,2002,2002-09-29,4,24.049,DET,,NOR,W 26-21,*,,,,,,,,,,,,
3,2002,2002-10-13,5,24.063,DET,@,MIN,L 24-31,*,,,,,,,,,,,,
4,2002,2002-10-20,6,24.070,DET,,CHI,W 23-20,*,,,,,,,,,,,,
5,2002,2002-10-27,7,24.077,DET,@,BUF,L 17-24,,,,,,,,,,,,,
6,2002,2002-11-03,8,24.084,DET,,DAL,W 9-7,,,,,,,,,,,,,
7,2002,2002-11-10,9,24.091,DET,@,GNB,L 14-40,,,,,,,,,,,,,
8,2002,2002-11-17,10,24.098,DET,,NYJ,L 14-31,,,,,,,,,,,,,
9,2002,2002-11-24,11,24.105,DET,@,CHI,L 17-20,,,,,,,,,,,,,
10,2002,2002-11-28,12,24.109,DET,,NWE,L 12-20,,,,,,,,,,,,,
11,2002,2002-12-08,13,24.119,DET,@,ARI,L 20-23,,,,,,,,,,,,,
12,2002,2002-12-15,14,24.126,DET,,TAM,L 20-23,*,,,,,,,,,,,,
13,2002,2002-12-22,15,24.133,DET,@,ATL,L 15-36,*,,,,,,,,,,,,
14,2002,2002-12-29,16,24.140,DET,,MIN,L 36-38,*,0,0,,0,0,0,0.0,,,1,2,0
15,2003,2003-09-07,1,25.027,DET,,ARI,W 42-24,*,,,,,,,,,,,,
16,2003,2003-09-14,2,25.034,DET,@,GNB,L 6-31,*,,,,,,,,,,,,
17,2003,2003-09-21,3,25.041,DET,,MIN,L 13-23,*,,,,,,,,,,,,
18,2004,2004-09-12,1,26.032,DET,@,CHI,W 20-16,,0,0,,0,0,0,0.0,,,1,0,0
19,2004,2004-10-31,7,26.081,DET,@,DAL,L 21-31,,,,,,,,,,,,,
20,2004,2004-11-07,8,26.088,DET,,WAS,L 10-17,,,,,,,,,,,,,
21,2004,2004-11-14,9,26.095,DET,@,JAX,L 17-23,,,,,,,,,,,,,
22,2004,2004-11-21,10,26.102,DET,@,MIN,L 19-22,,,,,,,,,,,,,
23,2004,2004-11-25,11,26.106,DET,,IND,L 9-41,,,,,,,,,,,,,
24,2004,2004-12-05,12,26.116,DET,,ARI,W 26-12,,,,,,,,,,,,,
25,2004,2004-12-12,13,26.123,DET,@,GNB,L 13-16,*,,,,,,,,,,,,
26,2004,2004-12-19,14,26.130,DET,,MIN,L 27-28,*,,,,,,,,,,,,
27,2004,2004-12-26,15,26.137,DET,,CHI,W 19-13,*,,,,,,,,,,,,
28,2004,2005-01-02,16,26.144,DET,@,TEN,L 19-24,*,,,,,,,,,,,,
29,2005,2005-09-11,1,27.031,DET,,GNB,W 17-3,,,,,,,,,,,,,
30,2005,2005-09-18,2,27.038,DET,@,CHI,L 6-38,,,,,,,,,,,,,
31,2005,2005-10-02,3,27.052,DET,@,TAM,L 13-17,*,,,,,,,,,,,,
32,2005,2005-10-09,4,27.059,DET,,BAL,W 35-17,*,,,,,,,,,,,,
