ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1996,1996-11-17,11,23.023,TAM,@,SDG,W 25-17,,,,,,
2,1996,1996-11-24,12,23.030,TAM,,NOR,W 13-7,,,,,,
3,1996,1996-12-01,13,23.037,TAM,@,CAR,L 0-24,,,,,,
4,1996,1996-12-22,16,23.058,TAM,,CHI,W 34-19,,,,,,
5,1997,1997-08-31,1,23.310,TAM,,SFO,W 13-6,,0,0,,0,
6,1997,1997-09-07,2,23.317,TAM,@,DET,W 24-17,,0,0,,0,
7,1997,1997-09-14,3,23.324,TAM,@,MIN,W 28-14,,0,0,,0,
8,1997,1997-09-21,4,23.331,TAM,,MIA,W 31-21,,1,0,0.00,0,0.0
9,1997,1997-09-28,5,23.338,TAM,,ARI,W 19-18,,0,0,,0,
10,1997,1997-10-05,6,23.345,TAM,@,GNB,L 16-21,,0,0,,0,
11,1997,1997-10-26,8,24.001,TAM,,MIN,L 6-10,,0,0,,0,
12,1997,1997-11-02,9,24.008,TAM,@,IND,W 31-28,,0,0,,0,
13,1997,1997-11-09,10,24.015,TAM,@,ATL,W 31-10,,0,0,,0,
14,1997,1997-11-16,11,24.022,TAM,,NWE,W 27-7,,0,0,,0,
15,1997,1997-11-23,12,24.029,TAM,@,CHI,L 7-13,,0,0,,0,
16,1997,1997-11-30,13,24.036,TAM,@,NYG,W 20-8,,0,0,,0,
17,1997,1997-12-07,14,24.043,TAM,,GNB,L 6-17,,0,0,,0,
18,1997,1997-12-14,15,24.050,TAM,@,NYJ,L 0-31,,0,0,,0,
19,1997,1997-12-21,16,24.057,TAM,,CHI,W 31-15,,0,0,,0,
20,1998,1998-09-06,1,24.316,TAM,@,MIN,L 7-31,,,,,,
21,1998,1998-09-13,2,24.323,TAM,@,GNB,L 15-23,,,,,,
22,1998,1998-09-20,3,24.330,TAM,,CHI,W 27-15,,,,,,
23,1998,1998-09-28,4,24.338,TAM,@,DET,L 6-27,,,,,,
24,1998,1998-10-04,5,24.344,TAM,,NYG,W 20-3,,,,,,
25,1998,1998-10-18,6,24.358,TAM,,CAR,W 16-13,,,,,,
26,1998,1998-10-25,7,25.000,TAM,@,NOR,L 3-9,,,,,,
27,1998,1998-11-01,8,25.007,TAM,,MIN,W 27-24,,,,,,
28,1998,1998-11-08,9,25.014,TAM,,TEN,L 22-31,,,,,,
29,1998,1998-11-15,10,25.021,TAM,@,JAX,L 24-29,,,,,,
30,1998,1998-11-22,11,25.028,TAM,,DET,L 25-28,,,,,,
31,1998,1998-11-29,12,25.035,TAM,@,CHI,W 31-17,,,,,,
32,1998,1998-12-07,13,25.043,TAM,,GNB,W 24-22,,,,,,
33,1998,1998-12-13,14,25.049,TAM,,PIT,W 16-3,,0,0,,0,2.0
34,1998,1998-12-19,15,25.055,TAM,@,WAS,L 16-20,,,,,,
35,1998,1998-12-27,16,25.063,TAM,@,CIN,W 35-0,,,,,,
36,1999,1999-09-12,1,25.322,TAM,,NYG,L 13-17,*,0,0,,0,1.0
37,1999,1999-09-19,2,25.329,TAM,@,PHI,W 19-5,*,,,,,
