ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-01,1,24.017,PHI,@,WAS,W 17-14,0,0,0,,0,0.0%,,3,10,3.33,0,0,0
2,1996,1996-09-15,3,24.031,PHI,,DET,W 24-17,0,0,0,,0,0.0%,,2,17,8.50,0,0,0
3,1996,1996-10-20,7,24.066,PHI,,MIA,W 35-28,,0,0,,0,0.0%,,0,0,,0,,
4,1996,1996-10-27,8,24.073,PHI,,CAR,W 20-9,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0
5,1996,1996-11-03,9,24.080,PHI,@,DAL,W 31-21,1,0,0,,0,0.0%,0.00,0,0,,0,,
6,1996,1996-11-10,10,24.087,PHI,,BUF,L 17-24,1,0,0,,0,0.0%,0.00,0,0,,0,,
7,1996,1996-11-17,11,24.094,PHI,,WAS,L 21-26,1,0,0,,0,0.0%,0.00,0,0,,0,,
8,1996,1996-11-24,12,24.101,PHI,@,ARI,L 30-36,4,3,54,18.00,0,75.0%,13.50,0,0,,0,0,0
9,1996,1996-12-01,13,24.108,PHI,,NYG,W 24-0,,0,0,,0,0.0%,,0,0,,0,,
10,1996,1996-12-05,14,24.112,PHI,@,IND,L 10-37,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0
11,1996,1996-12-14,15,24.121,PHI,@,NYJ,W 21-20,2,0,0,,0,0.0%,0.00,0,0,,0,,
12,1996,1996-12-22,16,24.129,PHI,,ARI,W 29-19,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
13,1997,1997-09-07,2,25.023,PHI,,GNB,W 10-9,2,2,9,4.50,1,100.0%,4.50,0,0,,0,1,6
14,1997,1997-09-15,3,25.031,PHI,@,DAL,L 20-21,2,2,72,36.00,0,100.0%,36.00,0,0,,0,0,0
15,1997,1997-09-28,4,25.044,PHI,@,MIN,L 19-28,2,0,0,,0,0.0%,0.00,0,0,,0,,
16,1997,1997-10-05,5,25.051,PHI,,WAS,W 24-10,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0
17,1997,1997-10-12,6,25.058,PHI,@,JAX,L 21-38,1,0,0,,0,0.0%,0.00,2,22,11.00,0,0,0
18,1997,1997-10-19,7,25.065,PHI,,ARI,W 13-10,6,4,57,14.25,0,66.7%,9.50,0,0,,0,0,0
19,1997,1997-10-26,8,25.072,PHI,,DAL,W 13-12,,0,0,,0,0.0%,,0,0,,0,,
20,1997,1997-11-02,9,25.079,PHI,@,ARI,L 21-31,6,4,77,19.25,1,66.7%,12.83,0,0,,0,1,6
21,1997,1997-11-10,10,25.087,PHI,,SFO,L 12-24,6,3,29,9.67,0,50.0%,4.83,2,7,3.50,0,0,0
22,1997,1997-11-16,11,25.093,PHI,@,BAL,T 10-10,3,2,42,21.00,0,66.7%,14.00,3,19,6.33,0,0,0
23,1997,1997-11-23,12,25.100,PHI,,PIT,W 23-20,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0
24,1997,1997-11-30,13,25.107,PHI,,CIN,W 44-42,4,2,18,9.00,0,50.0%,4.50,3,7,2.33,0,0,0
25,1997,1997-12-07,14,25.114,PHI,,NYG,L 21-31,3,0,0,,0,0.0%,0.00,0,0,,0,,
26,1997,1997-12-14,15,25.121,PHI,@,ATL,L 17-20,2,2,64,32.00,0,100.0%,32.00,0,0,,0,0,0
27,1997,1997-12-21,16,25.128,PHI,@,WAS,L 32-35,3,3,30,10.00,1,100.0%,10.00,0,0,,0,1,6
28,1998,1998-09-06,1,26.022,PHI,,SEA,L 0-38,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0
29,1998,1998-09-13,2,26.029,PHI,@,ATL,L 12-17,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0
30,1998,1998-09-20,3,26.036,PHI,@,ARI,L 3-17,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0
31,1998,1998-09-27,4,26.043,PHI,,KAN,L 21-24,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
32,1998,1998-10-04,5,26.050,PHI,@,DEN,L 16-41,3,1,20,20.00,0,33.3%,6.67,3,23,7.67,0,0,0
33,1998,1998-10-11,6,26.057,PHI,,WAS,W 17-12,3,0,0,,0,0.0%,0.00,2,55,27.50,0,0,0
34,1998,1998-10-18,7,26.064,PHI,@,SDG,L 10-13,1,1,14,14.00,0,100.0%,14.00,1,8,8.00,0,0,0
35,1998,1998-11-02,8,26.079,PHI,,DAL,L 0-34,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0
36,1998,1998-11-08,9,26.085,PHI,,DET,W 10-9,0,0,0,,0,0.0%,,1,12,12.00,0,0,0
37,1998,1998-11-15,10,26.092,PHI,@,WAS,L 3-28,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0
38,1998,1998-11-22,11,26.099,PHI,@,NYG,L 0-20,1,,,,,0.0%,,,,,,,
39,1998,1998-11-29,12,26.106,PHI,@,GNB,L 16-24,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
40,1998,1998-12-03,13,26.110,PHI,,STL,W 17-14,6,4,21,5.25,1,66.7%,3.50,0,0,,0,1,6
41,1998,1998-12-13,14,26.120,PHI,,ARI,L 17-20,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
42,1998,1998-12-20,15,26.127,PHI,@,DAL,L 9-13,3,0,0,,0,0.0%,0.00,4,2,0.50,0,0,0
43,1998,1998-12-27,16,26.134,PHI,,NYG,L 10-20,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0
