ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1993,1993-10-03,4,23.041,NYG,@,BUF,L 14-17,0,0,,0,,0,0,,0,0.0%,,0,
2,1993,1993-10-10,5,23.048,NYG,@,WAS,W 41-7,4,32,8.00,1,,0,0,,0,0.0%,,1,6
3,1993,1993-10-17,6,23.055,NYG,,PHI,W 21-10,3,5,1.67,0,,0,0,,0,0.0%,,0,0
4,1993,1993-12-12,13,23.111,NYG,,IND,W 20-6,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0
5,1993,1993-12-20,14,23.119,NYG,@,NOR,W 24-14,2,5,2.50,0,,0,0,,0,0.0%,,0,0
6,1994,1994-09-04,1,24.012,NYG,,PHI,W 28-23,3,6,2.00,0,0,0,0,,0,0.0%,,0,0
7,1994,1994-09-11,2,24.019,NYG,@,ARI,W 20-17,1,0,0.00,0,4,3,47,15.67,0,75.0%,11.75,0,0
8,1994,1994-09-18,3,24.026,NYG,,WAS,W 31-23,1,3,3.00,0,1,1,9,9.00,0,100.0%,9.00,0,0
9,1994,1994-10-02,4,24.040,NYG,@,NOR,L 22-27,2,7,3.50,0,0,0,0,,0,0.0%,,0,0
10,1994,1994-10-10,5,24.048,NYG,,MIN,L 10-27,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0
11,1994,1994-10-16,6,24.054,NYG,@,RAM,L 10-17,0,0,,0,,0,0,,0,0.0%,,0,
12,1994,1994-10-23,7,24.061,NYG,,PIT,L 6-10,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0
13,1994,1994-10-30,8,24.068,NYG,,DET,L 25-28,2,3,1.50,0,0,0,0,,0,0.0%,,0,0
14,1994,1994-11-07,9,24.076,NYG,@,DAL,L 10-38,0,0,,0,1,0,0,,0,0.0%,0.00,0,
15,1994,1994-11-13,10,24.082,NYG,,ARI,L 9-10,2,9,4.50,0,1,0,0,,0,0.0%,0.00,0,0
16,1994,1994-11-21,11,24.090,NYG,@,HOU,W 13-10,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
17,1994,1994-11-27,12,24.096,NYG,@,WAS,W 21-19,0,0,,0,,0,0,,0,0.0%,,0,
18,1994,1994-12-04,13,24.103,NYG,@,CLE,W 16-13,2,8,4.00,0,3,3,27,9.00,0,100.0%,9.00,0,0
19,1994,1994-12-11,14,24.110,NYG,,CIN,W 27-20,0,0,,0,,0,0,,0,0.0%,,0,
20,1994,1994-12-18,15,24.117,NYG,@,PHI,W 16-13,1,3,3.00,0,1,1,1,1.00,0,100.0%,1.00,0,0
21,1994,1994-12-24,16,24.123,NYG,,DAL,W 15-10,1,6,6.00,0,1,1,3,3.00,0,100.0%,3.00,0,0
22,1995,1995-12-03,13,25.102,NYJ,,STL,L 20-23,0,0,,0,,0,0,,0,0.0%,,0,
23,1995,1995-12-17,15,25.116,NYJ,@,HOU,L 6-23,0,0,,0,,0,0,,0,0.0%,,0,
24,1995,1995-12-24,16,25.123,NYJ,,NOR,L 0-12,1,3,3.00,0,2,2,15,7.50,0,100.0%,7.50,0,0
