ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1990,1990-09-09,1,23.212,NYJ,@,CIN,L 20-25,0,0,,0,1,-3,-3.00,0
2,1990,1990-09-16,2,23.219,NYJ,,CLE,W 24-21,1,13,13.00,0,0,0,,0
3,1990,1990-09-24,3,23.227,NYJ,,BUF,L 7-30,0,0,,0,0,0,,0
4,1990,1990-09-30,4,23.233,NYJ,@,NWE,W 37-13,0,0,,0,0,0,,0
5,1990,1990-10-07,5,23.240,NYJ,@,MIA,L 16-20,0,0,,0,0,0,,0
6,1990,1990-10-14,6,23.247,NYJ,,SDG,L 3-39,0,0,,0,0,0,,0
7,1990,1990-10-21,7,23.254,NYJ,@,BUF,L 27-30,0,0,,0,0,0,,0
8,1990,1990-10-28,8,23.261,NYJ,@,HOU,W 17-12,0,0,,0,0,0,,0
9,1990,1990-11-04,9,23.268,NYJ,,DAL,W 24-9,1,16,16.00,0,0,0,,0
10,1990,1990-11-11,10,23.275,NYJ,,MIA,L 3-17,0,0,,0,0,0,,0
11,1990,1990-11-18,11,23.282,NYJ,@,IND,L 14-17,0,0,,0,0,0,,0
12,1990,1990-11-25,12,23.289,NYJ,,PIT,L 7-24,0,0,,0,0,0,,0
13,1990,1990-12-02,13,23.296,NYJ,@,SDG,L 17-38,0,0,,0,0,0,,0
14,1990,1990-12-16,14,23.310,NYJ,,IND,L 21-29,0,0,,0,0,0,,0
15,1990,1990-12-23,15,23.317,NYJ,,NWE,W 42-7,1,20,20.00,0,0,0,,0
16,1990,1990-12-30,16,23.324,NYJ,@,TAM,W 16-14,2,8,4.00,0,0,0,,0
