ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,22.327,NYJ,@,BAL,L 0-22,,,,,,,,,
2,1971,1971-09-27,2,22.335,NYJ,@,STL,L 10-17,,,,,,,,,
3,1971,1971-10-03,3,22.341,NYJ,@,MIA,W 14-10,,,,,,,,,
4,1971,1971-10-10,4,22.348,NYJ,@,NWE,L 0-20,,,,,,,,,
5,1971,1971-10-17,5,22.355,NYJ,,BUF,W 28-17,,,,,,,,,
6,1971,1971-10-24,6,22.362,NYJ,,MIA,L 14-30,,,,,,,,,
7,1971,1971-10-31,7,23.004,NYJ,@,SDG,L 21-49,,,,,,,,,
8,1971,1971-11-07,8,23.011,NYJ,,KAN,W 13-10,,,,,,,,,
9,1972,1972-09-17,1,23.326,NYJ,@,BUF,W 41-24,,,,,,,,,
10,1972,1972-09-24,2,23.333,NYJ,@,BAL,W 44-34,,,,,,,,,
11,1972,1972-10-01,3,23.340,NYJ,@,HOU,L 20-26,,,,,,,,,
12,1972,1972-10-08,4,23.347,NYJ,,MIA,L 17-27,,,,,,,,,
13,1972,1972-10-15,5,23.354,NYJ,@,NWE,W 41-13,,,,,,,,,
14,1972,1972-10-22,6,23.361,NYJ,,BAL,W 24-20,,,,,,,,,
15,1972,1972-10-29,7,24.002,NYJ,,NWE,W 34-10,0,0,,0,0,0,1,0,0
16,1972,1972-11-23,11,24.027,NYJ,@,DET,L 20-37,,,,,,,,,
17,1972,1972-12-03,12,24.037,NYJ,,NOR,W 18-17,,,,,,,,,
18,1972,1972-12-11,13,24.045,NYJ,@,OAK,L 16-24,0,0,,0,0,0,1,14,0
19,1972,1972-12-17,14,24.051,NYJ,,CLE,L 10-26,,,,,,,,,
20,1973,1973-09-17,1,24.325,NYJ,@,GNB,L 7-23,,,,,,,,,
21,1973,1973-09-23,2,24.331,NYJ,@,BAL,W 34-10,0,0,,0,1,6,3,55,1
22,1973,1973-09-30,3,24.338,NYJ,@,BUF,L 7-9,,,,,,,,,
23,1973,1973-10-07,4,24.345,NYJ,@,MIA,L 3-31,,,,,,,,,
24,1973,1973-10-21,6,24.359,NYJ,@,PIT,L 14-26,,,,,,,,,
25,1973,1973-10-28,7,25.001,NYJ,,DEN,L 28-40,,,,,,,,,
26,1973,1973-11-04,8,25.008,NYJ,,MIA,L 14-24,,,,,,,,,
27,1973,1973-11-11,9,25.015,NYJ,,NWE,W 33-13,,,,,,,,,
28,1973,1973-11-18,10,25.022,NYJ,@,CIN,L 14-20,,,,,,,,,
29,1973,1973-11-25,11,25.029,NYJ,,ATL,L 20-28,,,,,,,,,
30,1973,1973-12-02,12,25.036,NYJ,,BAL,W 20-17,,,,,,,,,
31,1973,1973-12-09,13,25.043,NYJ,@,PHI,L 23-24,,,,,,,,,
32,1974,1974-09-15,1,25.323,NYJ,@,KAN,L 16-24,0,0,,0,0,0,1,0,0
33,1974,1974-09-22,2,25.330,NYJ,@,CHI,W 23-21,,,,,,,,,
34,1974,1974-09-29,3,25.337,NYJ,@,BUF,L 12-16,,,,,,,,,
35,1974,1974-10-07,4,25.345,NYJ,@,MIA,L 17-21,,,,,,,,,
36,1974,1974-10-13,5,25.351,NYJ,,NWE,L 0-24,,,,,,,,,
37,1974,1974-10-20,6,25.358,NYJ,,BAL,L 20-35,,,,,,,,,
38,1974,1974-10-27,7,26.000,NYJ,,RAM,L 13-20,,,,,,,,,
39,1974,1974-11-03,8,26.007,NYJ,,HOU,L 22-27,,,,,,,,,
40,1974,1974-11-10,9,26.014,NYJ,@,NYG,W 26-20,,,,,,,,,
41,1974,1974-11-17,10,26.021,NYJ,@,NWE,W 21-16,0,0,,0,0,0,1,0,0
42,1974,1974-11-24,11,26.028,NYJ,,MIA,W 17-14,,,,,,,,,
43,1974,1974-12-01,12,26.035,NYJ,,SDG,W 27-14,,,,,,,,,
44,1974,1974-12-08,13,26.042,NYJ,,BUF,W 20-10,,,,,,,,,
45,1974,1974-12-15,14,26.049,NYJ,@,BAL,W 45-38,,,,,,,,,
46,1975,1975-09-21,1,26.329,NYJ,@,BUF,L 14-42,,,,,,,,,
47,1975,1975-09-28,2,26.336,NYJ,@,KAN,W 30-24,,,,,,,,,
48,1975,1975-10-05,3,26.343,NYJ,,NWE,W 36-7,,,,,,,,,
49,1975,1975-10-12,4,26.350,NYJ,@,MIN,L 21-29,,,,,,,,,
50,1975,1975-10-19,5,26.357,NYJ,,MIA,L 0-43,0,0,,0,0,0,1,0,0
51,1975,1975-10-26,6,26.364,NYJ,,BAL,L 28-45,,,,,,,,,
52,1975,1975-11-02,7,27.006,NYJ,,BUF,L 23-24,,,,,,,,,
53,1975,1975-11-09,8,27.013,NYJ,@,MIA,L 7-27,,,,,,,,,
54,1975,1975-11-16,9,27.020,NYJ,@,BAL,L 19-52,,,,,,,,,
55,1975,1975-11-23,10,27.027,NYJ,,STL,L 6-37,,,,,,,,,
56,1975,1975-11-30,11,27.034,NYJ,,PIT,L 7-20,,,,,,,,,
57,1975,1975-12-07,12,27.041,NYJ,@,NWE,W 30-28,,,,,,,,,
58,1975,1975-12-15,13,27.049,NYJ,@,SDG,L 16-24,,,,,,,,,
59,1975,1975-12-21,14,27.055,NYJ,,DAL,L 21-31,1,0,0.00,0,0,0,0,0,0
60,1976,1976-10-10,5,27.349,NYJ,,BUF,W 17-14,,,,,,,,,
61,1976,1976-10-18,6,27.357,NYJ,@,NWE,L 7-41,,,,,,,,,
62,1976,1976-10-24,7,27.363,NYJ,,BAL,L 0-20,,,,,,,,,
63,1976,1976-10-31,8,28.004,NYJ,@,BUF,W 19-14,0,0,,0,0,0,1,19,0
64,1976,1976-11-07,9,28.011,NYJ,,MIA,L 7-27,,,,,,,,,
65,1976,1976-11-14,10,28.018,NYJ,,TAM,W 34-0,0,0,,0,0,0,1,27,0
