ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1965,1965-09-11,1,24.309,DEN,@,SDG,L 31-34,4,4,100.0,1,3,33.3,0,7
2,1965,1965-09-19,2,24.317,DEN,,BUF,L 15-30,1,1,100.0,,1,0.0,0,1
3,1965,1965-09-24,3,24.322,DEN,@,BOS,W 27-10,3,3,100.0,2,2,100.0,0,9
4,1965,1965-10-03,4,24.331,DEN,,NYJ,W 16-13,1,1,100.0,3,4,75.0,0,10
5,1965,1965-10-10,5,24.338,DEN,,KAN,L 23-31,2,2,100.0,1,2,50.0,0,5
6,1965,1965-10-17,6,24.345,DEN,,HOU,W 28-17,4,4,100.0,,2,0.0,0,4
7,1965,1965-10-24,7,24.352,DEN,@,BUF,L 13-31,1,1,100.0,2,3,66.7,0,7
8,1965,1965-10-31,8,24.359,DEN,@,NYJ,L 10-45,1,1,100.0,1,3,33.3,0,4
9,1965,1965-11-07,9,25.001,DEN,,SDG,L 21-35,3,3,100.0,,3,0.0,0,3
10,1965,1965-11-14,10,25.008,DEN,@,HOU,W 31-21,4,4,100.0,1,1,100.0,0,7
11,1965,1965-11-21,11,25.015,DEN,,OAK,L 20-28,2,2,100.0,,,,0,2
12,1965,1965-12-05,12,25.029,DEN,@,OAK,L 13-24,1,1,100.0,2,3,66.7,0,7
13,1965,1965-12-12,13,25.036,DEN,,BOS,L 20-28,,,,,1,0.0,0,0
14,1965,1965-12-19,14,25.043,DEN,@,KAN,L 35-45,5,5,100.0,,1,0.0,0,5
15,1966,1966-09-03,1,25.301,DEN,@,HOU,L 7-45,1,1,100.0,,,,0,1
16,1966,1966-09-18,2,25.316,DEN,,BOS,L 10-24,1,1,100.0,1,1,100.0,0,4
17,1966,1966-09-25,3,25.323,DEN,,NYJ,L 7-16,1,1,100.0,,,,0,1
18,1966,1966-10-02,4,25.330,DEN,,HOU,W 40-38,4,4,100.0,4,6,66.7,0,16
19,1966,1966-10-08,5,25.336,DEN,@,KAN,L 10-37,1,1,100.0,1,2,50.0,0,4
20,1966,1966-10-16,6,25.344,DEN,@,MIA,L 7-24,1,1,100.0,,,,0,1
21,1966,1966-10-23,7,25.351,DEN,,KAN,L 10-56,1,1,100.0,1,1,100.0,0,4
22,1966,1966-10-30,8,25.358,DEN,@,SDG,L 17-24,2,2,100.0,1,1,100.0,0,5
23,1966,1966-11-06,9,26.000,DEN,@,BOS,W 17-10,2,2,100.0,1,2,50.0,0,5
24,1966,1966-11-20,10,26.014,DEN,,OAK,L 3-17,,,,1,3,33.3,0,3
25,1966,1966-11-27,11,26.021,DEN,,SDG,W 20-17,2,2,100.0,2,4,50.0,0,8
26,1966,1966-12-04,12,26.028,DEN,,MIA,W 17-7,2,2,100.0,1,3,33.3,0,5
27,1966,1966-12-11,13,26.035,DEN,@,OAK,L 10-28,1,1,100.0,1,2,50.0,0,4
28,1966,1966-12-18,14,26.042,DEN,@,BUF,L 21-38,1,1,100.0,,,,0,1
29,1967,1967-09-03,1,26.301,DEN,,BOS,W 26-21,2,3,66.7,2,2,100.0,0,8
30,1967,1967-09-17,3,26.315,DEN,@,MIA,L 21-35,3,3,100.0,,,,0,3
