ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-19,1,22.116,HOU,@,CLE,L 0-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,256,42.67,0
2,1971,1971-09-26,2,22.123,HOU,,KAN,L 16-20,,10,21,47.62,156,1,2,49.0,0,0,7.43,4.10,1,1,1.00,0,,,,,,,0,0,4,191,47.75,0
3,1971,1971-10-03,3,22.130,HOU,,NOR,T 13-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,264,44.00,0
4,1971,1971-10-10,4,22.137,HOU,@,WAS,L 13-22,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,,,,0,0,7,313,44.71,0
5,1971,1971-10-17,5,22.144,HOU,,DET,L 7-31,*,15,40,37.50,209,1,4,23.9,0,0,5.23,1.23,2,31,15.50,0,,,,,,,0,0,7,235,33.57,0
6,1971,1971-10-24,6,22.151,HOU,@,PIT,L 16-23,*,17,34,50.00,191,0,1,54.9,0,0,5.62,4.29,4,33,8.25,0,,,,,,,0,0,5,227,45.40,0
7,1971,1971-10-31,7,22.158,HOU,,CIN,W 10-6,*,6,15,40.00,86,0,4,19.7,0,0,5.73,-6.27,2,13,6.50,0,,,,,,,0,0,7,308,44.00,0
8,1971,1971-11-07,8,22.165,HOU,@,NWE,L 20-28,*,18,36,50.00,260,1,3,48.4,0,0,7.22,4.03,5,8,1.60,1,,,,,,,1,6,5,161,32.20,0
9,1971,1971-11-14,9,22.172,HOU,@,OAK,L 21-41,,8,21,38.10,90,2,1,63.6,0,0,4.29,4.05,3,6,2.00,1,,,,,,,1,6,6,242,40.33,0
10,1971,1971-11-21,10,22.179,HOU,@,CIN,L 13-28,*,6,17,35.29,71,0,1,24.4,0,0,4.18,1.53,1,10,10.00,0,,,,,,,0,0,5,168,33.60,0
11,1971,1971-11-28,11,22.186,HOU,,CLE,L 24-37,,4,8,50.00,90,0,1,51.0,0,0,11.25,5.63,3,12,4.00,1,,,,,,,1,6,5,192,38.40,0
12,1971,1971-12-05,12,22.193,HOU,,PIT,W 29-3,*,12,22,54.55,126,1,0,86.6,0,0,5.73,6.64,3,16,5.33,0,,,,,,,0,0,4,153,38.25,0
13,1971,1971-12-12,13,22.200,HOU,@,BUF,W 20-14,*,17,33,51.52,211,0,0,71.7,0,0,6.39,6.39,1,7,7.00,0,,,,,,,0,0,5,225,45.00,0
14,1971,1971-12-19,14,22.207,HOU,,SDG,W 49-33,*,14,22,63.64,212,1,3,70.8,0,0,9.64,4.41,1,3,3.00,0,,,,,,,0,0,3,109,36.33,0
15,1972,1972-09-17,1,23.114,HOU,@,DEN,L 17-30,*,14,33,42.42,203,2,1,70.6,0,0,6.15,6.00,1,3,3.00,0,,,,,,,0,0,7,354,50.57,0
16,1972,1972-09-24,2,23.121,HOU,@,MIA,L 13-34,*,9,21,42.86,104,1,1,54.5,0,0,4.95,3.76,5,10,2.00,0,,,,,,,0,0,6,253,42.17,0
17,1972,1972-10-01,3,23.128,HOU,,NYJ,W 26-20,*,14,26,53.85,278,1,0,104.3,0,0,10.69,11.46,4,16,4.00,0,,,,,,,0,0,1,56,56.00,0
18,1972,1972-10-09,4,23.136,HOU,,OAK,L 0-34,*,3,21,14.29,31,0,4,0.0,0,0,1.48,-7.10,3,7,2.33,0,,,,,,,0,0,8,355,44.38,0
19,1972,1972-10-15,5,23.142,HOU,@,PIT,L 7-24,*,10,22,45.45,40,0,1,33.5,0,0,1.82,-0.23,2,6,3.00,0,,,,,,,0,0,10,381,38.10,0
20,1972,1972-10-22,6,23.149,HOU,,CLE,L 17-23,*,17,27,62.96,239,2,0,116.1,0,0,8.85,10.33,4,33,8.25,0,,,,,,,0,0,6,243,40.50,0
21,1972,1972-10-29,7,23.156,HOU,@,CIN,L 7-30,*,3,8,37.50,18,0,0,45.8,0,0,2.25,2.25,1,10,10.00,0,,,,,,,0,0,5,187,37.40,0
22,1972,1972-11-05,8,23.163,HOU,@,CLE,L 0-20,*,7,14,50.00,68,0,0,64.0,0,0,4.86,4.86,1,17,17.00,0,,,,,,,0,0,8,312,39.00,0
23,1972,1972-11-12,9,23.170,HOU,,PHI,L 17-18,*,15,25,60.00,138,0,3,35.5,0,0,5.52,0.12,5,37,7.40,1,,,,,,,1,6,5,177,35.40,0
24,1972,1972-11-19,10,23.177,HOU,,GNB,L 10-23,*,13,27,48.15,161,0,0,67.1,0,0,5.96,5.96,5,15,3.00,0,,,,,,,0,0,5,227,45.40,0
25,1972,1972-11-26,11,23.184,HOU,@,SDG,L 20-34,*,17,35,48.57,166,1,1,59.9,0,0,4.74,4.03,1,15,15.00,0,,,,,,,0,0,5,143,28.60,1
26,1972,1972-12-03,12,23.191,HOU,@,ATL,L 10-20,,12,21,57.14,182,0,1,66.0,0,0,8.67,6.52,1,9,9.00,1,,,,,,,1,6,5,205,41.00,0
27,1972,1972-12-10,13,23.198,HOU,,PIT,L 3-9,*,10,19,52.63,83,0,0,64.1,0,0,4.37,4.37,5,27,5.40,0,,,,,,,0,0,5,222,44.40,0
28,1972,1972-12-17,14,23.205,HOU,,CIN,L 17-61,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,266,44.33,0
29,1973,1973-09-16,1,24.113,HOU,@,NYG,L 14-34,*,8,17,47.06,74,2,4,59.1,0,0,4.35,-3.88,3,14,4.67,0,,,,,,,0,0,6,236,39.33,0
30,1973,1973-09-23,2,24.120,HOU,@,CIN,L 10-24,*,11,23,47.83,105,0,2,24.7,0,0,4.57,0.65,2,23,11.50,0,,,,,,,0,0,5,205,41.00,0
31,1973,1973-09-30,3,24.127,HOU,,PIT,L 7-36,*,14,25,56.00,87,1,2,43.2,0,0,3.48,0.68,2,7,3.50,0,,,,,,,0,0,8,340,42.50,0
32,1973,1973-10-07,4,24.134,HOU,,RAM,L 26-31,*,25,38,65.79,245,0,2,61.8,0,0,6.45,4.08,4,20,5.00,0,,,,,,,0,0,2,66,33.00,0
33,1973,1973-10-14,5,24.141,HOU,,DEN,L 20-48,*,17,22,77.27,147,0,1,75.4,0,0,6.68,4.64,1,-9,-9.00,0,,,,,,,0,0,3,139,46.33,0
34,1973,1973-10-21,6,24.148,HOU,@,CLE,L 13-42,*,6,19,31.58,118,1,1,49.9,0,0,6.21,4.89,3,19,6.33,0,,,,,,,0,0,0,0,,0
35,1973,1973-10-28,7,24.155,HOU,@,CHI,L 14-35,*,5,13,38.46,10,0,0,46.6,0,0,0.77,0.77,2,-1,-0.50,0,,,,,,,0,0,0,0,,0
