ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-17,1,22.302,TAM,,CHI,W 29-7,*,3,1,17,17.00,0,33.3%,5.67,0,0
2,2017,2017-09-24,2,22.309,TAM,@,MIN,L 17-34,*,1,1,12,12.00,0,100.0%,12.00,0,0
3,2017,2017-10-01,3,22.316,TAM,,NYG,W 25-23,*,4,2,63,31.50,1,50.0%,15.75,1,6
4,2017,2017-10-05,4,22.320,TAM,,NWE,L 14-19,*,1,0,0,,0,0.0%,0.00,0,0
5,2017,2017-10-15,5,22.330,TAM,@,ARI,L 33-38,*,3,1,15,15.00,0,33.3%,5.00,0,0
6,2017,2017-10-22,6,22.337,TAM,@,BUF,L 27-30,*,6,6,98,16.33,2,100.0%,16.33,2,12
7,2017,2017-10-29,7,22.344,TAM,,CAR,L 3-17,*,2,2,16,8.00,0,100.0%,8.00,0,0
8,2017,2017-11-05,8,22.351,TAM,@,NOR,L 10-30,*,2,1,6,6.00,0,50.0%,3.00,0,0
9,2017,2017-11-12,9,22.358,TAM,,NYJ,W 15-10,*,0,0,0,,0,0.0%,,0,0
10,2017,2017-11-19,10,23.000,TAM,@,MIA,W 30-20,*,4,3,52,17.33,1,75.0%,13.00,1,6
11,2017,2017-11-26,11,23.007,TAM,@,ATL,L 20-34,*,4,3,52,17.33,0,75.0%,13.00,0,0
12,2017,2017-12-03,12,23.014,TAM,@,GNB,L 20-26,*,2,1,17,17.00,0,50.0%,8.50,0,0
13,2017,2017-12-10,13,23.021,TAM,,DET,L 21-24,*,6,4,54,13.50,1,66.7%,9.00,1,6
14,2017,2017-12-18,14,23.029,TAM,,ATL,L 21-24,*,1,1,30,30.00,1,100.0%,30.00,1,6
15,2018,2018-09-09,1,23.294,TAM,@,NOR,W 48-40,*,2,2,54,27.00,0,100.0%,27.00,0,0
16,2018,2018-09-16,2,23.301,TAM,,PHI,W 27-21,*,4,3,96,32.00,1,75.0%,24.00,1,6
17,2018,2018-09-24,3,23.309,TAM,,PIT,L 27-30,*,8,6,72,12.00,0,75.0%,9.00,0,0
