ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2008,2008-11-09,9,28.214,NOR,@,ATL,L 20-34,,3,145,48.33,0
2,2008,2008-11-16,10,28.221,NOR,@,KAN,W 30-20,,2,97,48.50,0
3,2008,2008-11-24,11,28.229,NOR,,GNB,W 51-29,,3,132,44.00,0
4,2008,2008-11-30,12,28.235,NOR,@,TAM,L 20-23,,5,247,49.40,0
5,2008,2008-12-07,13,28.242,NOR,,ATL,W 29-25,,3,152,50.67,0
6,2008,2008-12-11,14,28.246,NOR,@,CHI,L 24-27,,5,207,41.40,0
7,2008,2008-12-21,15,28.256,NOR,@,DET,W 42-7,,,,,
8,2008,2008-12-28,16,28.263,NOR,,CAR,L 31-33,,3,164,54.67,0
9,2009,2009-10-11,5,29.185,WAS,@,CAR,L 17-20,,5,212,42.40,0
10,2009,2009-10-18,6,29.192,WAS,,KAN,L 6-14,,8,286,35.75,0
