ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1984,1984-09-02,1,23.005,ATL,@,NOR,W 36-28,1,20,20.00,0,0,0,,0
2,1984,1984-09-09,2,23.012,ATL,,DET,L 24-27,1,8,8.00,0,0,0,,0
3,1984,1984-09-16,3,23.019,ATL,@,MIN,L 20-27,3,19,6.33,0,0,0,,0
4,1984,1984-09-23,4,23.026,ATL,,HOU,W 42-10,2,5,2.50,0,0,0,,0
5,1984,1984-09-30,5,23.033,ATL,@,SFO,L 5-14,0,0,,0,0,0,,0
6,1984,1984-10-07,6,23.040,ATL,@,RAM,W 30-28,0,0,,0,0,0,,0
7,1984,1984-10-14,7,23.047,ATL,,NYG,L 7-19,1,17,17.00,0,0,0,,0
8,1984,1984-10-22,8,23.055,ATL,,RAM,L 10-24,1,-2,-2.00,0,0,0,,0
9,1984,1984-10-28,9,23.061,ATL,@,PIT,L 10-35,3,34,11.33,0,0,0,,0
10,1984,1984-11-05,10,23.069,ATL,@,WAS,L 14-27,2,22,11.00,0,0,0,,0
11,1984,1984-11-11,11,23.075,ATL,,NOR,L 13-17,5,50,10.00,0,1,6,6.00,0
12,1984,1984-11-18,12,23.082,ATL,,CLE,L 7-23,1,8,8.00,0,0,0,,0
13,1984,1984-11-25,13,23.089,ATL,@,CIN,L 14-35,2,18,9.00,0,2,2,1.00,0
14,1984,1984-12-02,14,23.096,ATL,,SFO,L 17-35,1,7,7.00,0,0,0,,0
15,1984,1984-12-09,15,23.103,ATL,@,TAM,L 6-23,2,19,9.50,0,0,0,,0
16,1984,1984-12-16,16,23.110,ATL,,PHI,W 26-10,1,19,19.00,0,0,0,,0
17,1985,1985-09-08,1,24.011,ATL,,DET,L 27-28,1,1,1.00,0,0,0,,0
18,1985,1985-09-15,2,24.018,ATL,@,SFO,L 16-35,2,9,4.50,0,0,0,,0
19,1985,1985-09-22,3,24.025,ATL,,DEN,L 28-44,0,0,,0,,,,
20,1985,1985-09-29,4,24.032,ATL,@,RAM,L 6-17,0,0,,0,,,,
21,1985,1985-10-06,5,24.039,ATL,,SFO,L 17-38,1,3,3.00,0,0,0,,0
22,1985,1985-10-13,6,24.046,ATL,@,SEA,L 26-30,1,2,2.00,0,0,0,,0
23,1985,1985-10-20,7,24.053,ATL,,NOR,W 31-24,1,3,3.00,0,0,0,,0
24,1985,1985-10-27,8,24.060,ATL,@,DAL,L 10-24,0,0,,0,,,,
25,1985,1985-11-03,9,24.067,ATL,,WAS,L 10-44,1,4,4.00,0,0,0,,0
26,1985,1985-11-10,10,24.074,ATL,@,PHI,L 17-23,2,10,5.00,0,0,0,,0
27,1985,1985-11-17,11,24.081,ATL,,RAM,W 30-14,0,0,,0,,,,
28,1985,1985-11-24,12,24.088,ATL,@,CHI,L 0-36,0,0,,0,,,,
29,1985,1985-12-01,13,24.095,ATL,,RAI,L 24-34,0,0,,0,,,,
30,1985,1985-12-08,14,24.102,ATL,@,KAN,L 10-38,1,5,5.00,0,0,0,,0
31,1985,1985-12-15,15,24.109,ATL,,MIN,W 14-13,0,0,,0,,,,
32,1985,1985-12-22,16,24.116,ATL,@,NOR,W 16-10,0,0,,0,,,,
33,1987,1987-09-13,1,26.016,WAS,,PHI,W 34-24,,,,,,,,
34,1987,1987-09-20,2,26.023,WAS,@,ATL,L 20-21,,,,,,,,
35,1987,1987-11-08,8,26.072,NOR,@,RAM,W 31-14,0,0,,0,,,,
36,1987,1987-11-15,9,26.079,NOR,@,SFO,W 26-24,0,0,,0,,,,
37,1987,1987-11-22,10,26.086,NOR,,NYG,W 23-14,0,0,,0,,,,
38,1987,1987-11-29,11,26.093,NOR,@,PIT,W 20-16,0,0,,0,,,,
39,1987,1987-12-06,12,26.100,NOR,,TAM,W 44-34,1,5,5.00,0,0,0,,0
40,1987,1987-12-13,13,26.107,NOR,,HOU,W 24-10,0,0,,0,,,,
41,1987,1987-12-20,14,26.114,NOR,@,CIN,W 41-24,0,0,,0,,,,
42,1987,1987-12-27,15,26.121,NOR,,GNB,W 33-24,1,6,6.00,0,0,0,,0
43,1988,1988-09-18,3,27.021,NOR,@,DET,W 22-14,1,5,5.00,0,0,0,,0
44,1988,1988-09-25,4,27.028,NOR,,TAM,W 13-9,0,0,,0,,,,
45,1988,1988-10-03,5,27.036,NOR,,DAL,W 20-17,0,0,,0,,,,
46,1988,1988-10-09,6,27.042,NOR,@,SDG,W 23-17,0,0,,0,,,,
47,1988,1988-10-16,7,27.049,NOR,@,SEA,W 20-19,0,0,,0,,,,
48,1988,1988-10-23,8,27.056,NOR,,RAI,W 20-6,0,0,,0,,,,
49,1988,1988-10-30,9,27.063,NOR,,RAM,L 10-12,0,0,,0,,,,
