ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-10-19,6,22.268,CHI,@,SEA,L 17-24,,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0,,0,0,0,0.0,,
2,2003,2003-10-26,7,22.275,CHI,,DET,W 24-16,,3,2,58,29.00,1,66.7%,19.33,0,0,,0,0,0,,0,1,6,0.0,,
3,2003,2003-11-02,8,22.282,CHI,,SDG,W 20-7,*,2,2,52,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,0.0,,
4,2003,2003-11-09,9,22.289,CHI,@,DET,L 10-12,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,0.0,,
5,2003,2003-11-16,10,22.296,CHI,,STL,L 21-23,,3,,,,,0.0%,,,,,,,,,,,,,,
6,2003,2003-11-23,11,22.303,CHI,@,DEN,W 19-10,,,,,,,0.0%,,,,,,,,,,,,,,
7,2003,2003-11-30,12,22.310,CHI,,ARI,W 28-3,,6,4,100,25.00,0,66.7%,16.67,0,0,,0,0,0,,0,0,0,0.0,,
8,2003,2003-12-07,13,22.317,CHI,@,GNB,L 21-34,,5,1,28,28.00,0,20.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,,
9,2003,2003-12-14,14,22.324,CHI,,MIN,W 13-10,*,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,,
10,2003,2003-12-21,15,22.331,CHI,,WAS,W 27-24,*,4,4,42,10.50,1,100.0%,10.50,0,0,,0,0,0,,0,1,6,0.0,,
11,2004,2004-09-12,1,23.232,CHI,,DET,L 16-20,,4,1,9,9.00,0,25.0%,2.25,0,,,0,0,56,,0,0,0,0.0,,
12,2004,2004-09-19,2,23.239,CHI,@,GNB,W 21-10,,,,,,,0.0%,,,,,,,,,,,,,,
13,2004,2004-09-26,3,23.246,CHI,@,MIN,L 22-27,,4,1,32,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,,
14,2004,2004-10-03,4,23.253,CHI,,PHI,L 9-19,*,,,,,,0.0%,,,,,,,,,,,,,,
15,2004,2004-10-17,5,23.267,CHI,,WAS,L 10-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,,
16,2004,2004-10-24,6,23.274,CHI,@,TAM,L 7-19,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,0.0,,
17,2004,2004-10-31,7,23.281,CHI,,SFO,W 23-13,,1,,,,,0.0%,,,,,,,,,,,,,,
18,2004,2004-11-07,8,23.288,CHI,@,NYG,W 28-21,,3,,,,,0.0%,,,,,,,,,,,,,,
19,2004,2004-11-14,9,23.295,CHI,@,TEN,W 19-17,,,,,,,0.0%,,,,,,,,,,,,,,
20,2004,2004-11-21,10,23.302,CHI,,IND,L 10-41,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,,
21,2004,2004-11-25,11,23.306,CHI,@,DAL,L 7-21,,,,,,,0.0%,,,,,,,,,,,,,,
22,2004,2004-12-05,12,23.316,CHI,,MIN,W 24-14,,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,0,0,0,0.0,,
23,2004,2004-12-12,13,23.323,CHI,@,JAX,L 3-22,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,,
24,2004,2004-12-19,14,23.330,CHI,,HOU,L 5-24,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,,
25,2004,2004-12-26,15,23.337,CHI,@,DET,L 13-19,,1,,,,,0.0%,,,,,,,,,,,,,,
26,2004,2005-01-02,16,23.344,CHI,,GNB,L 14-31,,,,,,,0.0%,,,,,,,,,,,,,,
27,2005,2005-09-11,1,24.230,CHI,@,WAS,L 7-9,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
28,2005,2005-09-18,2,24.237,CHI,,DET,W 38-6,*,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,,
29,2005,2005-09-25,3,24.244,CHI,,CIN,L 7-24,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
30,2005,2005-10-09,4,24.258,CHI,@,CLE,L 10-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
31,2005,2005-10-16,5,24.265,CHI,,MIN,W 28-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
32,2005,2005-10-30,7,24.279,CHI,@,DET,W 19-13,,4,2,47,23.50,0,50.0%,11.75,0,0,,0,0,0,,0,0,0,0.0,,
33,2005,2005-11-06,8,24.286,CHI,@,NOR,W 20-17,*,8,4,28,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,1,6,0.0,,
34,2005,2005-11-13,9,24.293,CHI,,SFO,W 17-9,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,,
35,2005,2005-11-20,10,24.300,CHI,,CAR,W 13-3,*,7,7,81,11.57,0,100.0%,11.57,0,0,,0,0,0,,0,0,0,0.0,,
36,2005,2005-11-27,11,24.307,CHI,@,TAM,W 13-10,*,8,4,32,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,,
37,2005,2005-12-04,12,24.314,CHI,,GNB,W 19-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
38,2005,2005-12-11,13,24.321,CHI,@,PIT,L 9-21,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,0.0,,
39,2005,2005-12-18,14,24.328,CHI,,ATL,W 16-3,*,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,0.0,,
40,2005,2005-12-25,15,24.335,CHI,@,GNB,W 24-17,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,,
41,2005,2006-01-01,16,24.342,CHI,@,MIN,L 10-34,*,8,6,67,11.17,1,75.0%,8.38,0,0,,0,0,0,,0,1,6,0.0,,
42,2006,2006-10-01,4,25.250,CHI,,SEA,W 37-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
43,2006,2006-10-08,5,25.257,CHI,,BUF,W 40-7,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,,
44,2006,2006-10-16,6,25.265,CHI,@,ARI,W 24-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
45,2006,2006-10-29,7,25.278,CHI,,SFO,W 41-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
46,2006,2006-11-05,8,25.285,CHI,,MIA,L 13-31,,6,2,51,25.50,0,33.3%,8.50,0,0,,0,0,0,,0,0,0,0.0,,
47,2006,2006-11-12,9,25.292,CHI,@,NYG,W 38-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
48,2006,2006-11-19,10,25.299,CHI,@,NYJ,W 10-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
49,2006,2006-12-24,15,25.334,CHI,@,DET,W 26-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
50,2007,2007-09-09,1,26.228,TEN,@,JAX,W 13-10,*,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,,
51,2007,2007-09-16,2,26.235,TEN,,IND,L 20-22,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,,
52,2007,2007-09-24,3,26.243,TEN,@,NOR,W 31-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
53,2007,2007-10-07,4,26.256,TEN,,ATL,W 20-13,,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,,
54,2007,2007-10-14,5,26.263,TEN,@,TAM,L 10-13,,5,4,82,20.50,0,80.0%,16.40,0,0,,0,0,0,,0,0,0,0.0,,
55,2007,2007-10-21,6,26.270,TEN,@,HOU,W 38-36,,7,5,48,9.60,0,71.4%,6.86,0,0,,0,0,0,,0,0,0,0.0,,
56,2007,2007-10-28,7,26.277,TEN,,OAK,W 13-9,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,0.0,,
57,2007,2007-11-04,8,26.284,TEN,,CAR,W 20-7,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,0.0,,
58,2007,2007-11-11,9,26.291,TEN,,JAX,L 13-28,,9,7,90,12.86,1,77.8%,10.00,0,0,,0,0,0,,0,1,6,0.0,,
59,2007,2007-11-19,10,26.299,TEN,@,DEN,L 20-34,*,10,6,66,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,0.0,,
60,2007,2007-11-25,11,26.305,TEN,@,CIN,L 6-35,*,7,4,98,24.50,0,57.1%,14.00,0,0,,0,0,0,,0,0,0,0.0,,
61,2007,2007-12-02,12,26.312,TEN,,HOU,W 28-20,*,8,5,64,12.80,1,62.5%,8.00,0,0,,0,0,0,,0,1,6,0.0,,
62,2007,2007-12-09,13,26.319,TEN,,SDG,L 17-23,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,,
63,2007,2007-12-16,14,26.326,TEN,@,KAN,W 26-17,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,,
64,2007,2007-12-23,15,26.333,TEN,,NYJ,W 10-6,*,6,3,48,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,,
65,2007,2007-12-30,16,26.340,TEN,@,IND,W 16-10,*,9,7,104,14.86,0,77.8%,11.56,0,0,,0,0,0,,0,0,0,0.0,,
66,2008,2008-09-07,1,27.227,TEN,,JAX,W 17-10,*,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0,,0,0,0,0.0,0,0
67,2008,2008-09-14,2,27.234,TEN,@,CIN,W 24-7,*,7,5,59,11.80,1,71.4%,8.43,0,0,,0,0,0,,0,1,6,0.0,0,0
68,2008,2008-09-28,4,27.248,TEN,,MIN,W 30-17,*,10,5,92,18.40,0,50.0%,9.20,0,0,,0,0,0,,0,0,0,0.0,0,0
69,2008,2008-10-27,7,27.277,TEN,,IND,W 31-21,,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0
70,2008,2008-11-02,8,27.283,TEN,,GNB,W 19-16,*,5,,,,,0.0%,,,,,,,,,,,,,,
71,2008,2008-11-09,9,27.290,TEN,@,CHI,W 21-14,*,9,4,47,11.75,1,44.4%,5.22,0,0,,0,0,0,,0,1,6,0.0,0,0
72,2008,2008-11-16,10,27.297,TEN,@,JAX,W 24-14,*,6,4,147,36.75,2,66.7%,24.50,0,0,,0,0,0,,0,2,12,0.0,0,0
73,2008,2008-11-23,11,27.304,TEN,,NYJ,L 13-34,*,5,1,37,37.00,0,20.0%,7.40,0,0,,0,0,0,,0,0,0,0.0,0,0
74,2008,2008-11-27,12,27.308,TEN,@,DET,W 47-10,*,5,2,40,20.00,0,40.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
75,2008,2008-12-07,13,27.318,TEN,,CLE,W 28-9,*,6,2,18,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,1,6,0.0,2,0
76,2008,2008-12-14,14,27.325,TEN,@,HOU,L 12-13,*,3,3,76,25.33,0,100.0%,25.33,0,0,,0,0,0,,0,0,0,0.0,0,0
77,2008,2008-12-21,15,27.332,TEN,,PIT,W 31-14,*,8,5,104,20.80,1,62.5%,13.00,0,0,,0,0,0,,0,1,6,0.0,0,0
78,2009,2009-09-10,1,28.229,TEN,@,PIT,L 10-13,*,11,7,78,11.14,1,63.6%,7.09,0,0,,0,0,0,,0,1,6,0.0,0,0
79,2009,2009-09-20,2,28.239,TEN,,HOU,L 31-34,*,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,0,0.0,1,0
80,2009,2009-09-27,3,28.246,TEN,@,NYJ,L 17-24,*,10,4,37,9.25,0,40.0%,3.70,0,0,,0,0,0,,0,0,0,0.0,0,0
81,2009,2009-10-04,4,28.253,TEN,@,JAX,L 17-37,*,5,1,15,15.00,0,20.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0
82,2009,2009-10-11,5,28.260,TEN,,IND,L 9-31,*,7,1,7,7.00,0,14.3%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
83,2009,2009-10-18,6,28.267,TEN,@,NWE,L 0-59,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0
84,2009,2009-11-01,7,28.281,TEN,,JAX,W 30-13,*,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,0,0,0.0,0,0
85,2009,2009-11-08,8,28.288,TEN,@,SFO,W 34-27,*,8,4,97,24.25,0,50.0%,12.13,0,0,,0,0,0,,0,0,0,0.0,0,0
86,2009,2009-12-13,13,28.323,TEN,,STL,W 47-7,,1,,,,,0.0%,,,,,,,,,,,,,,
87,2009,2009-12-20,14,28.330,TEN,,MIA,W 27-24,,3,2,43,21.50,2,66.7%,14.33,0,0,,0,0,0,,0,2,12,0.0,0,0
88,2009,2009-12-25,15,28.335,TEN,,SDG,L 17-42,*,4,,,,,0.0%,,,,,,,,,,,,,,
89,2009,2010-01-03,16,28.344,TEN,@,SEA,W 17-13,*,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,0.0,1,0
90,2010,2010-09-12,1,29.231,TEN,,OAK,W 38-13,*,1,,,,,0.0%,,,,,,,,,,,,,,
91,2010,2010-09-19,2,29.238,TEN,,PIT,L 11-19,*,5,4,74,18.50,0,80.0%,14.80,0,0,,0,0,0,,0,0,0,0.0,0,0
92,2010,2010-09-26,3,29.245,TEN,@,NYG,W 29-10,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,0.0,0,0
93,2010,2010-10-03,4,29.252,TEN,,DEN,L 20-26,*,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0
94,2010,2010-11-14,9,29.294,TEN,@,MIA,L 17-29,,9,3,18,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
95,2010,2010-11-21,10,29.301,TEN,,WAS,L 16-19,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,0.0,0,0
96,2010,2010-11-28,11,29.308,TEN,@,HOU,L 0-20,,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,0.0,1,0
97,2010,2010-12-05,12,29.315,TEN,,JAX,L 6-17,,4,1,25,25.00,0,25.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0
